cell_id,Icterus cucullatus,Icterus cucullatus cucullatus/sennetti,Icterus cucullatus [nelsoni Group],Icterus cucullatus igneus
832802fffffffff,112.0,0.0,7.0,0.0
832806fffffffff,11.0,0.0,0.0,0.0
832810fffffffff,4.0,0.0,0.0,0.0
832814fffffffff,61.0,0.0,0.0,0.0
832815fffffffff,81.0,0.0,0.0,0.0
832830fffffffff,3966.0,0.0,73.0,0.0
832831fffffffff,253.0,0.0,26.0,0.0
832832fffffffff,1216.0,0.0,0.0,0.0
832833fffffffff,179.0,0.0,8.0,0.0
832834fffffffff,5730.0,0.0,689.0,0.0
832835fffffffff,267.0,0.0,0.0,0.0
832836fffffffff,164.0,0.0,0.0,0.0
832912fffffffff,3331.0,0.0,0.0,0.0
832913fffffffff,215.0,0.0,0.0,0.0
832916fffffffff,31.0,0.0,0.0,0.0
83291afffffffff,399.0,0.0,257.0,0.0
832980fffffffff,7.0,0.0,0.0,0.0
832981fffffffff,39.0,0.0,0.0,0.0
832982fffffffff,9.0,0.0,0.0,0.0
832984fffffffff,217.0,0.0,0.0,0.0
832985fffffffff,92.0,0.0,0.0,0.0
832986fffffffff,348.0,0.0,0.0,0.0
832989fffffffff,8.0,0.0,0.0,0.0
83298cfffffffff,432.0,0.0,0.0,0.0
83298dfffffffff,2.0,0.0,0.0,0.0
83298efffffffff,7.0,0.0,0.0,0.0
832990fffffffff,6.0,0.0,0.0,0.0
832995fffffffff,356.0,0.0,7.0,0.0
8329a0fffffffff,10764.0,0.0,78.0,0.0
8329a1fffffffff,9214.0,0.0,159.0,0.0
8329a2fffffffff,149.0,0.0,2.0,0.0
8329a3fffffffff,106.0,0.0,0.0,0.0
8329a4fffffffff,10499.0,0.0,1.0,0.0
8329a5fffffffff,7925.0,0.0,31.0,0.0
8329a6fffffffff,1081.0,0.0,6.0,0.0
8329a8fffffffff,34.0,0.0,0.0,0.0
8329a9fffffffff,166.0,0.0,34.0,0.0
8329aafffffffff,30.0,0.0,0.0,0.0
8329abfffffffff,69.0,0.0,0.0,0.0
8329acfffffffff,1239.0,0.0,0.0,0.0
8329adfffffffff,1400.0,0.0,0.0,0.0
8329aefffffffff,602.0,0.0,0.0,0.0
8329b0fffffffff,334.0,0.0,28.0,0.0
8329b1fffffffff,217.0,0.0,0.0,0.0
8329b2fffffffff,540.0,0.0,8.0,0.0
8329b3fffffffff,19.0,0.0,0.0,0.0
8329b4fffffffff,6.0,0.0,0.0,0.0
8329b5fffffffff,275.0,0.0,5.0,0.0
8329b6fffffffff,839.0,0.0,187.0,0.0
834424fffffffff,365.0,0.0,0.0,25.0
834501fffffffff,548.0,0.0,0.0,20.0
834505fffffffff,2006.0,0.0,0.0,100.0
834508fffffffff,672.0,0.0,0.0,93.0
834509fffffffff,3475.0,0.0,0.0,839.0
83450afffffffff,3333.0,0.0,0.0,215.0
83450bfffffffff,1255.0,0.0,0.0,123.0
83450cfffffffff,293.0,0.0,0.0,18.0
83450dfffffffff,448.0,0.0,0.0,101.0
83450efffffffff,1331.0,0.0,0.0,51.0
834519fffffffff,85.0,0.0,0.0,5.0
83451dfffffffff,31.0,0.0,0.0,4.0
834523fffffffff,270.0,0.0,0.0,7.0
834528fffffffff,50.0,0.0,0.0,0.0
834529fffffffff,81.0,0.0,0.0,0.0
83452afffffffff,2830.0,0.0,0.0,197.0
83452bfffffffff,288.0,0.0,0.0,32.0
83452dfffffffff,5.0,0.0,0.0,0.0
83452efffffffff,211.0,0.0,0.0,22.0
834564fffffffff,6.0,0.0,0.0,0.0
834569fffffffff,5.0,0.0,0.0,0.0
83456dfffffffff,7.0,0.0,0.0,0.0
834572fffffffff,939.0,0.0,0.0,255.0
834574fffffffff,26.0,0.0,0.0,0.0
834576fffffffff,93.0,0.0,0.0,3.0
834801fffffffff,4.0,0.0,0.0,0.0
834802fffffffff,56.0,0.0,0.0,0.0
834803fffffffff,3.0,0.0,0.0,0.0
834805fffffffff,572.0,0.0,0.0,0.0
834806fffffffff,43.0,0.0,0.0,0.0
834808fffffffff,8.0,0.0,0.0,0.0
834809fffffffff,360.0,0.0,0.0,0.0
83480afffffffff,716.0,0.0,0.0,0.0
83480bfffffffff,33.0,0.0,0.0,0.0
83480cfffffffff,4.0,0.0,0.0,0.0
83480dfffffffff,295.0,0.0,0.0,0.0
83480efffffffff,80.0,0.0,0.0,0.0
834814fffffffff,10.0,0.0,0.0,0.0
834815fffffffff,39.0,0.0,0.0,0.0
83481bfffffffff,5.0,0.0,0.0,0.0
83481dfffffffff,44.0,0.0,0.0,0.0
834823fffffffff,1081.0,0.0,0.0,0.0
834828fffffffff,9.0,0.0,0.0,0.0
834829fffffffff,6.0,0.0,0.0,0.0
83482afffffffff,861.0,0.0,0.0,0.0
83482bfffffffff,85.0,0.0,0.0,0.0
83482efffffffff,863.0,0.0,0.0,0.0
834830fffffffff,28.0,0.0,0.0,0.0
834832fffffffff,16.0,0.0,0.0,0.0
834833fffffffff,446.0,0.0,0.0,0.0
834836fffffffff,1470.0,0.0,0.0,0.0
834842fffffffff,57.0,0.0,0.0,0.0
834843fffffffff,53.0,0.0,0.0,0.0
834846fffffffff,18.0,0.0,0.0,0.0
83484afffffffff,609.0,0.0,0.0,0.0
834852fffffffff,7.0,0.0,0.0,0.0
834855fffffffff,22.0,0.0,0.0,0.0
834856fffffffff,306.0,0.0,0.0,0.0
834858fffffffff,19.0,0.0,0.0,0.0
834859fffffffff,256.0,0.0,0.0,0.0
83485afffffffff,41.0,0.0,2.0,0.0
83485bfffffffff,95.0,0.0,11.0,0.0
83485cfffffffff,19.0,0.0,0.0,0.0
83485dfffffffff,92.0,0.0,0.0,0.0
83485efffffffff,10.0,0.0,0.0,0.0
834871fffffffff,40.0,0.0,0.0,0.0
834872fffffffff,333.0,0.0,0.0,0.0
834873fffffffff,180.0,0.0,0.0,0.0
834876fffffffff,7.0,0.0,0.0,0.0
834880fffffffff,314.0,0.0,0.0,0.0
834881fffffffff,24.0,0.0,0.0,0.0
834882fffffffff,158.0,0.0,0.0,0.0
834883fffffffff,927.0,1.0,0.0,0.0
834884fffffffff,83.0,0.0,0.0,0.0
834885fffffffff,3.0,0.0,0.0,0.0
834886fffffffff,455.0,2.0,0.0,0.0
834888fffffffff,74.0,0.0,0.0,0.0
83488afffffffff,2.0,0.0,0.0,0.0
83488cfffffffff,82.0,0.0,0.0,0.0
83488dfffffffff,68.0,0.0,0.0,0.0
83488efffffffff,971.0,3.0,0.0,0.0
834891fffffffff,9.0,0.0,0.0,0.0
834895fffffffff,1086.0,9.0,0.0,0.0
83489cfffffffff,47.0,0.0,0.0,0.0
83489dfffffffff,29.0,0.0,0.0,0.0
8348a0fffffffff,9.0,0.0,0.0,0.0
8348a2fffffffff,429.0,0.0,0.0,0.0
8348a3fffffffff,7.0,0.0,0.0,0.0
8348a6fffffffff,3.0,0.0,0.0,0.0
8348abfffffffff,153.0,0.0,0.0,0.0
8348b1fffffffff,2068.0,2.0,0.0,0.0
8348b2fffffffff,1823.0,0.0,0.0,0.0
8348b3fffffffff,5379.0,191.0,0.0,0.0
8348b4fffffffff,7.0,0.0,0.0,0.0
8348b5fffffffff,142.0,0.0,0.0,0.0
8348c0fffffffff,76.0,0.0,0.0,0.0
8348c1fffffffff,453.0,0.0,18.0,0.0
8348c5fffffffff,6004.0,0.0,992.0,0.0
8348c6fffffffff,90.0,0.0,1.0,0.0
8348c9fffffffff,14.0,0.0,0.0,0.0
8348ccfffffffff,15.0,0.0,1.0,0.0
8348cdfffffffff,306.0,0.0,29.0,0.0
8348d0fffffffff,2.0,0.0,0.0,0.0
8348d4fffffffff,65.0,0.0,4.0,0.0
8348e0fffffffff,11.0,0.0,0.0,0.0
8348e1fffffffff,29.0,0.0,0.0,0.0
8348e2fffffffff,6.0,0.0,0.0,0.0
8348e3fffffffff,371.0,0.0,32.0,0.0
8348e4fffffffff,45.0,0.0,0.0,0.0
8348e5fffffffff,112.0,0.0,0.0,0.0
8348e8fffffffff,9099.0,0.0,1300.0,0.0
8348e9fffffffff,161.0,0.0,32.0,0.0
8348eafffffffff,691.0,0.0,95.0,0.0
8348ebfffffffff,1369.0,0.0,133.0,0.0
8348ecfffffffff,3776.0,0.0,731.0,0.0
8348edfffffffff,78.0,0.0,11.0,0.0
8348eefffffffff,5258.0,0.0,783.0,0.0
8348f0fffffffff,3.0,0.0,0.0,0.0
8348f2fffffffff,11.0,0.0,0.0,0.0
8348f3fffffffff,2.0,0.0,0.0,0.0
8348f5fffffffff,2.0,0.0,0.0,0.0
8348f6fffffffff,10.0,0.0,0.0,0.0
834980fffffffff,494.0,0.0,0.0,0.0
834981fffffffff,55.0,0.0,0.0,0.0
834982fffffffff,34.0,1.0,0.0,0.0
834983fffffffff,162.0,0.0,0.0,0.0
834985fffffffff,37.0,0.0,0.0,0.0
834986fffffffff,138.0,0.0,0.0,0.0
834988fffffffff,27.0,0.0,0.0,0.0
83498cfffffffff,118.0,0.0,0.0,0.0
83498dfffffffff,2.0,0.0,0.0,0.0
83498efffffffff,25.0,0.0,0.0,0.0
834990fffffffff,18.0,0.0,0.0,0.0
834991fffffffff,7.0,0.0,0.0,0.0
834992fffffffff,25.0,0.0,0.0,0.0
834993fffffffff,18.0,0.0,0.0,0.0
834994fffffffff,341.0,0.0,0.0,0.0
834995fffffffff,401.0,20.0,0.0,0.0
834996fffffffff,56.0,0.0,0.0,0.0
834998fffffffff,148.0,1.0,0.0,0.0
83499afffffffff,4.0,0.0,0.0,0.0
83499bfffffffff,38.0,0.0,0.0,0.0
83499cfffffffff,67.0,0.0,0.0,0.0
83499dfffffffff,4.0,0.0,0.0,0.0
83499efffffffff,68.0,0.0,0.0,0.0
8349a2fffffffff,19.0,0.0,0.0,0.0
8349a3fffffffff,7.0,0.0,0.0,0.0
8349a8fffffffff,345.0,0.0,3.0,0.0
8349a9fffffffff,722.0,33.0,2.0,0.0
8349aafffffffff,420.0,2.0,0.0,0.0
8349abfffffffff,177.0,0.0,0.0,0.0
8349adfffffffff,3.0,0.0,0.0,0.0
8349aefffffffff,2.0,0.0,0.0,0.0
8349b0fffffffff,4.0,0.0,0.0,0.0
