cell_id,Falco sparverius,Falco sparverius [sparverius Group],Falco sparverius paulus,Falco sparverius caribaearum,Falco sparverius dominicensis,Falco sparverius sparverioides,Falco sparverius [cinnamominus Group],Falco sparverius fernandensis
840c051ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840c251ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840c609ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840c60dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840c625ffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840c629ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840c641ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840c645ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840c657ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840c659ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840c65dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840c663ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840c665ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840c711ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840c715ffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840c71bffffffff,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840c731ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840c733ffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840c739ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840c73bffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840c741ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840c745ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840c74dffffffff,41.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
840c769ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840d093ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840d425ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840d463ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840d483ffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840d495ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840d499ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840d49bffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840d49dffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840d4a1ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840d4a7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840d4a9ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840d4c1ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840d4c3ffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
