cell_id,Aegithalos iouschistos,Aegithalos iouschistos iouschistos,Aegithalos iouschistos sharpei,Aegithalos iouschistos bonvaloti/obscuratus
823c07fffffffff,43.0,8.0,0.0,0.0
823c0ffffffffff,496.0,268.0,0.0,0.0
823c1ffffffffff,128.0,60.0,0.0,0.0
823c37fffffffff,2.0,0.0,0.0,0.0
823c47fffffffff,60.0,25.0,0.0,19.0
823c57fffffffff,261.0,168.0,0.0,0.0
823c5ffffffffff,130.0,2.0,0.0,60.0
823cdffffffffff,85.0,0.0,66.0,0.0
823ce7fffffffff,125.0,57.0,0.0,0.0
824047fffffffff,109.0,0.0,0.0,54.0
82404ffffffffff,22.0,0.0,0.0,15.0
82405ffffffffff,77.0,0.0,0.0,37.0
824077fffffffff,3.0,0.0,0.0,3.0
8240c7fffffffff,52.0,0.0,0.0,27.0
8240e7fffffffff,13.0,0.0,0.0,12.0
8240effffffffff,107.0,0.0,0.0,69.0
