cell_id,Turdus rufopalliatus,Turdus rufopalliatus rufopalliatus,Turdus rufopalliatus graysoni
832698fffffffff,79.0,0.0,0.0
832984fffffffff,2.0,0.0,0.0
832986fffffffff,145.0,3.0,0.0
832995fffffffff,1.0,0.0,0.0
8329a0fffffffff,3.0,0.0,0.0
8329a2fffffffff,12.0,0.0,0.0
8329a3fffffffff,27.0,0.0,0.0
8329a5fffffffff,4.0,0.0,0.0
8329a6fffffffff,51.0,0.0,0.0
8329b1fffffffff,2.0,0.0,0.0
8329b2fffffffff,7.0,0.0,0.0
8329b5fffffffff,36.0,1.0,0.0
8329b6fffffffff,90.0,2.0,0.0
83480afffffffff,7.0,7.0,0.0
834833fffffffff,2.0,2.0,0.0
834836fffffffff,20.0,3.0,11.0
83485afffffffff,12.0,0.0,0.0
83485bfffffffff,7.0,0.0,0.0
834883fffffffff,64.0,0.0,0.0
83488afffffffff,2.0,0.0,0.0
83488efffffffff,8.0,0.0,0.0
834895fffffffff,4.0,0.0,0.0
8348a2fffffffff,13.0,0.0,0.0
8348b3fffffffff,9.0,0.0,0.0
8348c0fffffffff,73.0,0.0,0.0
8348c1fffffffff,2.0,0.0,0.0
8348c5fffffffff,41.0,2.0,0.0
8348c6fffffffff,15.0,0.0,0.0
8348c9fffffffff,25.0,0.0,0.0
8348cdfffffffff,11.0,0.0,0.0
8348e3fffffffff,10.0,0.0,0.0
8348e8fffffffff,436.0,19.0,0.0
8348e9fffffffff,45.0,0.0,0.0
8348eafffffffff,10.0,1.0,0.0
8348ebfffffffff,79.0,5.0,0.0
8348ecfffffffff,757.0,2.0,0.0
8348edfffffffff,3.0,0.0,0.0
8348eefffffffff,376.0,11.0,0.0
83498efffffffff,9.0,0.0,0.0
834991fffffffff,6.0,0.0,0.0
834994fffffffff,10.0,0.0,0.0
834995fffffffff,11.0,1.0,0.0
834996fffffffff,2.0,0.0,0.0
8349a8fffffffff,1.0,1.0,0.0
8349b2fffffffff,2.0,0.0,0.0
8349b3fffffffff,45.0,37.0,0.0
836d04fffffffff,1.0,0.0,0.0
836d15fffffffff,8.0,0.0,0.0
836d32fffffffff,3.0,0.0,0.0
836d65fffffffff,1.0,0.0,0.0
