cell_id,Ocreatus addae,Ocreatus addae annae,Ocreatus addae addae
848b203ffffffff,4.0,0.0,1.0
848b205ffffffff,9.0,0.0,0.0
848b211ffffffff,5.0,0.0,0.0
848b213ffffffff,6.0,0.0,0.0
848b229ffffffff,1.0,0.0,0.0
848b2c1ffffffff,4.0,0.0,0.0
848b2c5ffffffff,19.0,0.0,0.0
848b2cdffffffff,11.0,0.0,0.0
848b2d9ffffffff,4.0,0.0,0.0
848b2dbffffffff,11.0,0.0,0.0
848b611ffffffff,4.0,2.0,0.0
848b613ffffffff,6.0,0.0,0.0
848b617ffffffff,1250.0,100.0,0.0
848b61bffffffff,1.0,0.0,0.0
848b639ffffffff,2.0,0.0,0.0
848b63bffffffff,5.0,0.0,0.0
848b6c1ffffffff,11.0,0.0,0.0
848b6c5ffffffff,8.0,0.0,0.0
848b6cdffffffff,423.0,29.0,0.0
848b74bffffffff,1.0,0.0,0.0
848b759ffffffff,4.0,0.0,0.0
848e641ffffffff,107.0,1.0,0.0
848e643ffffffff,43.0,1.0,0.0
848e649ffffffff,47.0,0.0,0.0
848e64bffffffff,37.0,0.0,0.0
848e651ffffffff,21.0,3.0,0.0
848e655ffffffff,1.0,0.0,0.0
848f4b3ffffffff,4.0,0.0,0.0
84b3251ffffffff,1.0,0.0,0.0
84b3253ffffffff,26.0,0.0,2.0
84b3257ffffffff,3.0,0.0,0.0
84b325bffffffff,5.0,0.0,0.0
