cell_id,Haemorhous mexicanus,Haemorhous mexicanus [mexicanus Group],Haemorhous mexicanus mcgregori
82121ffffffffff,14.0,0.0,0.0
82124ffffffffff,2.0,0.0,0.0
821257fffffffff,59.0,0.0,0.0
82125ffffffffff,1240.0,0.0,0.0
82128ffffffffff,216.0,0.0,0.0
82129ffffffffff,35.0,0.0,0.0
8212affffffffff,341.0,0.0,0.0
8212c7fffffffff,444.0,0.0,0.0
8212cffffffffff,14928.0,0.0,0.0
8212d7fffffffff,6667.0,0.0,0.0
8212dffffffffff,10195.0,0.0,0.0
8212e7fffffffff,85.0,0.0,0.0
8212effffffffff,8847.0,0.0,0.0
8212f7fffffffff,40.0,0.0,0.0
821edffffffffff,85.0,0.0,0.0
822607fffffffff,1959.0,9.0,0.0
82260ffffffffff,4885.0,58.0,0.0
822617fffffffff,813.0,1.0,0.0
82261ffffffffff,1358.0,0.0,0.0
822627fffffffff,4928.0,0.0,0.0
82262ffffffffff,11147.0,0.0,0.0
822637fffffffff,1196.0,0.0,0.0
822647fffffffff,9607.0,0.0,0.0
82264ffffffffff,13005.0,0.0,0.0
822657fffffffff,12011.0,2.0,0.0
82265ffffffffff,11080.0,0.0,0.0
822667fffffffff,43473.0,0.0,0.0
82266ffffffffff,14248.0,0.0,0.0
822677fffffffff,2907.0,0.0,0.0
822687fffffffff,35059.0,0.0,0.0
82268ffffffffff,64289.0,0.0,0.0
822697fffffffff,24944.0,0.0,0.0
82269ffffffffff,19376.0,0.0,0.0
8226a7fffffffff,738.0,0.0,0.0
8226affffffffff,12629.0,18.0,0.0
8226b7fffffffff,1179.0,0.0,0.0
8226c7fffffffff,3655.0,0.0,0.0
8226cffffffffff,10545.0,0.0,0.0
8226d7fffffffff,4011.0,0.0,0.0
8226dffffffffff,4134.0,0.0,0.0
8226e7fffffffff,8850.0,0.0,0.0
8226effffffffff,4214.0,0.0,0.0
8226f7fffffffff,4180.0,0.0,0.0
822707fffffffff,1215.0,0.0,0.0
82270ffffffffff,209.0,0.0,0.0
822717fffffffff,126.0,0.0,0.0
82271ffffffffff,1217.0,0.0,0.0
822747fffffffff,3972.0,0.0,0.0
82274ffffffffff,49731.0,0.0,0.0
822757fffffffff,9760.0,0.0,0.0
82275ffffffffff,43389.0,0.0,0.0
822767fffffffff,52.0,0.0,0.0
82276ffffffffff,2276.0,0.0,0.0
822777fffffffff,13.0,0.0,0.0
822787fffffffff,445.0,0.0,0.0
