cell_id,Pyrrhura picta,Pyrrhura picta eisenmanni,Pyrrhura picta subandina,Pyrrhura picta caeruleiceps,Pyrrhura picta emma,Pyrrhura picta picta
835f01fffffffff,2.0,0.0,0.0,0.0,0.0,2.0
835f42fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
835f46fffffffff,4.0,0.0,0.0,0.0,0.0,4.0
835f48fffffffff,1.0,0.0,0.0,0.0,1.0,0.0
835f4afffffffff,1.0,0.0,0.0,0.0,0.0,1.0
835f4bfffffffff,1.0,0.0,0.0,0.0,1.0,0.0
836601fffffffff,1.0,0.0,0.0,1.0,0.0,0.0
836605fffffffff,1.0,0.0,0.0,1.0,0.0,0.0
83662efffffffff,40.0,0.0,0.0,19.0,0.0,0.0
8366a3fffffffff,35.0,28.0,0.0,0.0,0.0,0.0
836741fffffffff,28.0,0.0,0.0,0.0,12.0,0.0
836742fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83674cfffffffff,10.0,0.0,0.0,0.0,0.0,0.0
83674efffffffff,9.0,0.0,0.0,0.0,9.0,0.0
836751fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83675cfffffffff,10.0,0.0,0.0,0.0,0.0,0.0
