cell_id,Cercotrichas leucophrys,Cercotrichas leucophrys [leucoptera Group],Cercotrichas leucophrys [leucophrys Group]
84528edffffffff,2.0,0.0,0.0
8452b1dffffffff,1.0,0.0,0.0
8452ca9ffffffff,2.0,0.0,0.0
846a49bffffffff,1.0,0.0,0.0
846a4a3ffffffff,1.0,0.0,0.0
846a4b3ffffffff,7.0,4.0,0.0
846a4bbffffffff,4.0,0.0,0.0
846a581ffffffff,51.0,0.0,0.0
846a583ffffffff,10.0,0.0,0.0
846a587ffffffff,16.0,0.0,0.0
846a5a9ffffffff,21.0,0.0,0.0
846a5abffffffff,17.0,0.0,0.0
846a5adffffffff,2.0,0.0,0.0
846a5bbffffffff,11.0,0.0,0.0
846ac03ffffffff,8.0,0.0,0.0
846ac0bffffffff,2.0,0.0,0.0
846ac15ffffffff,12.0,0.0,0.0
846ac19ffffffff,2.0,0.0,0.0
846ac1dffffffff,2.0,0.0,0.0
846ac31ffffffff,14.0,0.0,0.0
846ac35ffffffff,3.0,0.0,0.0
846ac39ffffffff,4.0,0.0,0.0
846ac3dffffffff,77.0,0.0,0.0
846ac89ffffffff,20.0,0.0,0.0
846ac93ffffffff,60.0,0.0,0.0
846ac9bffffffff,7.0,0.0,0.0
846acc3ffffffff,2.0,0.0,0.0
846acc7ffffffff,3.0,0.0,0.0
846ace5ffffffff,250.0,0.0,0.0
846ad81ffffffff,13.0,0.0,0.0
846ad85ffffffff,1.0,0.0,0.0
846ad89ffffffff,4.0,0.0,0.0
846ad8bffffffff,22.0,0.0,0.0
846ad8dffffffff,3.0,0.0,0.0
846adc1ffffffff,6.0,0.0,0.0
846adc9ffffffff,25.0,0.0,0.0
846add7ffffffff,12.0,0.0,0.0
846adddffffffff,1.0,0.0,0.0
846adebffffffff,1.0,0.0,0.0
846ae85ffffffff,24.0,0.0,2.0
846aea1ffffffff,39.0,0.0,0.0
846aea3ffffffff,14.0,0.0,0.0
846aea5ffffffff,3.0,0.0,0.0
846aea9ffffffff,9.0,0.0,3.0
846aeabffffffff,3.0,0.0,0.0
846aee1ffffffff,2.0,0.0,2.0
846aee3ffffffff,36.0,0.0,2.0
847a1ebffffffff,2.0,0.0,0.0
847a401ffffffff,28.0,1.0,0.0
847a403ffffffff,27.0,0.0,0.0
847a405ffffffff,15.0,0.0,0.0
847a407ffffffff,109.0,0.0,0.0
847a40bffffffff,12.0,0.0,0.0
847a40dffffffff,9.0,0.0,0.0
