cell_id,Horornis fortipes,Horornis fortipes [fortipes Group],Horornis fortipes robustipes
84209a1ffffffff,3.0,0.0,0.0
84209a5ffffffff,83.0,0.0,0.0
84209a7ffffffff,19.0,0.0,0.0
84209abffffffff,19.0,0.0,0.0
84209e1ffffffff,4.0,0.0,0.0
84209e7ffffffff,18.0,0.0,0.0
84209ebffffffff,2.0,0.0,0.0
8430833ffffffff,2.0,0.0,0.0
8430911ffffffff,15.0,0.0,0.0
8430915ffffffff,2.0,0.0,0.0
843091dffffffff,20.0,0.0,0.0
8430929ffffffff,1.0,0.0,0.0
8430963ffffffff,5.0,0.0,0.0
8430985ffffffff,5.0,0.0,0.0
8430989ffffffff,2.0,0.0,0.0
843098dffffffff,6.0,0.0,0.0
84309a1ffffffff,2.0,0.0,0.0
84309a3ffffffff,8.0,0.0,0.0
84309a5ffffffff,230.0,1.0,0.0
84309a7ffffffff,6.0,0.0,0.0
84309abffffffff,2.0,0.0,0.0
84309adffffffff,20.0,0.0,0.0
84309b3ffffffff,29.0,0.0,0.0
84309b5ffffffff,1.0,0.0,0.0
84309b9ffffffff,19.0,0.0,0.0
84309bdffffffff,8.0,1.0,0.0
84309c7ffffffff,2.0,0.0,0.0
84309d9ffffffff,13.0,0.0,0.0
84309e1ffffffff,6.0,0.0,0.0
84309e3ffffffff,2.0,0.0,0.0
84309e5ffffffff,2.0,0.0,0.0
84309e7ffffffff,14.0,0.0,0.0
843c0a3ffffffff,11.0,0.0,0.0
843c0a5ffffffff,182.0,0.0,0.0
843c0a9ffffffff,8.0,0.0,0.0
843c0adffffffff,56.0,0.0,0.0
843c0b5ffffffff,67.0,0.0,0.0
843c0b7ffffffff,58.0,0.0,0.0
843c0bdffffffff,3.0,0.0,0.0
843c0e7ffffffff,4.0,0.0,0.0
843c199ffffffff,16.0,0.0,0.0
843c1d1ffffffff,12.0,0.0,0.0
843c1d3ffffffff,97.0,0.0,0.0
843c1d7ffffffff,2.0,0.0,0.0
843c1dbffffffff,9.0,0.0,0.0
843c315ffffffff,2.0,0.0,0.0
843c521ffffffff,233.0,0.0,0.0
843c525ffffffff,59.0,0.0,0.0
843c527ffffffff,651.0,0.0,0.0
843c529ffffffff,7.0,0.0,0.0
843c52dffffffff,15.0,0.0,0.0
843c533ffffffff,21.0,0.0,0.0
843c565ffffffff,1.0,0.0,0.0
843c567ffffffff,2.0,0.0,0.0
843c581ffffffff,97.0,0.0,0.0
843c583ffffffff,30.0,0.0,0.0
843c585ffffffff,4.0,0.0,0.0
843c587ffffffff,8.0,0.0,0.0
843c589ffffffff,13.0,0.0,0.0
843c591ffffffff,1.0,0.0,0.0
843c595ffffffff,125.0,0.0,0.0
843c5b9ffffffff,5.0,0.0,0.0
843c5bbffffffff,6.0,0.0,0.0
843c5c1ffffffff,93.0,0.0,0.0
843c5c5ffffffff,10.0,0.0,0.0
843c5c7ffffffff,5.0,0.0,0.0
843c5cbffffffff,21.0,0.0,0.0
