cell_id,Cyclarhis gujanensis,Cyclarhis gujanensis [gujanensis Group],Cyclarhis gujanensis insularis,Cyclarhis gujanensis [virenticeps Group],Cyclarhis gujanensis viridis/cearensis,Cyclarhis gujanensis ochrocephala
8445057ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
84450adffffffff,4.0,0.0,3.0,0.0,0.0,0.0
8445209ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
844520dffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8445233ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
844526bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84452a9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84452adffffffff,3.0,2.0,0.0,0.0,0.0,0.0
84452e3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84452e5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8449901ffffffff,2.0,2.0,0.0,0.0,0.0,0.0
8449961ffffffff,12.0,8.0,0.0,0.0,0.0,0.0
8449963ffffffff,8.0,3.0,0.0,0.0,0.0,0.0
8449981ffffffff,2.0,2.0,0.0,0.0,0.0,0.0
8449987ffffffff,9.0,6.0,0.0,0.0,0.0,0.0
845f4b3ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
845f583ffffffff,19.0,19.0,0.0,0.0,0.0,0.0
845f5b9ffffffff,6.0,6.0,0.0,0.0,0.0,0.0
8466081ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84660c7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84661ebffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8466205ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
846620bffffffff,3.0,0.0,0.0,0.0,0.0,0.0
846623bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
846629dffffffff,1.0,1.0,0.0,0.0,0.0,0.0
8466a01ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8466a33ffffffff,10.0,2.0,0.0,0.0,0.0,0.0
8466b41ffffffff,2.0,2.0,0.0,0.0,0.0,0.0
8466b45ffffffff,3.0,1.0,0.0,0.0,0.0,0.0
8466b4dffffffff,6.0,3.0,0.0,0.0,0.0,0.0
8466b55ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8466d31ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8466d35ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8466d37ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8466f03ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8466f1dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8466f57ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8467413ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
846743bffffffff,1.0,1.0,0.0,0.0,0.0,0.0
84674e9ffffffff,2.0,2.0,0.0,0.0,0.0,0.0
84675adffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8467961ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
846d049ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
846d20bffffffff,2.0,2.0,0.0,0.0,0.0,0.0
846d239ffffffff,3.0,1.0,0.0,0.0,0.0,0.0
846d23bffffffff,10.0,0.0,0.0,0.0,0.0,0.0
846d23dffffffff,2.0,2.0,0.0,0.0,0.0,0.0
846d2b9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
