cell_id,Aerodramus fuciphagus,Aerodramus fuciphagus germani/amechanus,Aerodramus fuciphagus [fuciphagus Group]
824147fffffffff,8.0,8.0,0.0
82414ffffffffff,13.0,13.0,0.0
82415ffffffffff,6.0,6.0,0.0
824167fffffffff,103.0,103.0,0.0
82416ffffffffff,69.0,69.0,0.0
824177fffffffff,17.0,17.0,0.0
82640ffffffffff,957.0,0.0,956.0
826417fffffffff,521.0,521.0,0.0
82641ffffffffff,6.0,0.0,6.0
826427fffffffff,219.0,219.0,0.0
82642ffffffffff,109.0,0.0,109.0
826437fffffffff,2183.0,2183.0,0.0
826487fffffffff,153.0,153.0,0.0
82648ffffffffff,25.0,25.0,0.0
826497fffffffff,101.0,101.0,0.0
82649ffffffffff,1.0,1.0,0.0
8264a7fffffffff,1755.0,1755.0,0.0
8264affffffffff,16.0,16.0,0.0
8264b7fffffffff,445.0,445.0,0.0
8264e7fffffffff,210.0,0.0,210.0
826507fffffffff,684.0,684.0,0.0
82650ffffffffff,22.0,4.0,18.0
826517fffffffff,5.0,5.0,0.0
82651ffffffffff,1558.0,1558.0,0.0
826527fffffffff,189.0,160.0,29.0
82652ffffffffff,2.0,0.0,2.0
826557fffffffff,16.0,0.0,16.0
826577fffffffff,2.0,0.0,2.0
826587fffffffff,1961.0,1955.0,0.0
82658ffffffffff,5891.0,5890.0,0.0
826597fffffffff,439.0,439.0,0.0
82659ffffffffff,604.0,603.0,0.0
8265a7fffffffff,25.0,25.0,0.0
8265affffffffff,2.0,1.0,0.0
8265b7fffffffff,1248.0,1248.0,0.0
826807fffffffff,9.0,1.0,4.0
826817fffffffff,186.0,88.0,65.0
82681ffffffffff,494.0,48.0,334.0
82682ffffffffff,98.0,98.0,0.0
826847fffffffff,1.0,1.0,0.0
826877fffffffff,2.0,2.0,0.0
82688ffffffffff,10.0,0.0,10.0
826897fffffffff,48.0,0.0,48.0
82689ffffffffff,1.0,0.0,1.0
8268a7fffffffff,3.0,0.0,3.0
8268cffffffffff,1.0,0.0,1.0
8268f7fffffffff,6.0,0.0,6.0
826937fffffffff,20.0,20.0,0.0
82699ffffffffff,1.0,0.0,1.0
828c17fffffffff,208.0,0.0,208.0
828c8ffffffffff,4.0,0.0,4.0
828c97fffffffff,11.0,5.0,6.0
828caffffffffff,24.0,0.0,24.0
828cb7fffffffff,3.0,0.0,3.0
828cc7fffffffff,13.0,0.0,13.0
828cd7fffffffff,32.0,0.0,32.0
828cdffffffffff,3.0,0.0,3.0
828ce7fffffffff,3.0,0.0,3.0
828d87fffffffff,4.0,0.0,4.0
828d8ffffffffff,20.0,0.0,20.0
828d97fffffffff,2.0,0.0,2.0
828da7fffffffff,110.0,0.0,110.0
828db7fffffffff,314.0,0.0,314.0
829407fffffffff,10.0,0.0,10.0
829427fffffffff,29.0,0.0,29.0
82942ffffffffff,14.0,0.0,14.0
829437fffffffff,5.0,0.0,5.0
829467fffffffff,6.0,0.0,6.0
829507fffffffff,4.0,0.0,4.0
82950ffffffffff,3.0,0.0,2.0
829517fffffffff,7.0,0.0,7.0
82951ffffffffff,197.0,0.0,197.0
829557fffffffff,12.0,0.0,12.0
82955ffffffffff,5.0,0.0,5.0
8295a7fffffffff,281.0,0.0,281.0
8295affffffffff,30.0,0.0,30.0
