cell_id,Lagopus lagopus,Lagopus lagopus scotica/hibernica,Lagopus lagopus [lagopus Group]
8408865ffffffff,2.0,0.0,0.0
8409a47ffffffff,2.0,1.0,0.0
840c141ffffffff,2.0,0.0,0.0
840c143ffffffff,7.0,0.0,0.0
840c147ffffffff,11.0,0.0,0.0
840c1e1ffffffff,10.0,0.0,0.0
840c70dffffffff,2.0,0.0,0.0
840c733ffffffff,2.0,0.0,0.0
840c739ffffffff,2.0,0.0,0.0
840c74dffffffff,1.0,0.0,0.0
840cd8dffffffff,22.0,0.0,0.0
840cf45ffffffff,1.0,0.0,0.0
840d4d5ffffffff,1.0,0.0,0.0
840d605ffffffff,4.0,0.0,0.0
840d653ffffffff,1.0,0.0,0.0
840d751ffffffff,2.0,0.0,0.0
840d753ffffffff,39.0,0.0,0.0
840e299ffffffff,3.0,0.0,0.0
840e29bffffffff,1.0,0.0,0.0
840e453ffffffff,2.0,0.0,0.0
840e45bffffffff,8.0,0.0,0.0
840e481ffffffff,1.0,0.0,0.0
840e483ffffffff,1.0,0.0,0.0
840e491ffffffff,2.0,0.0,0.0
840e497ffffffff,2.0,0.0,0.0
840e4b1ffffffff,1.0,0.0,0.0
840e4b9ffffffff,1.0,0.0,0.0
840e4c5ffffffff,13.0,0.0,0.0
840e4cdffffffff,1.0,0.0,0.0
840e5a1ffffffff,2.0,0.0,0.0
840e5a3ffffffff,6.0,0.0,0.0
840e5a5ffffffff,2.0,0.0,0.0
840e5adffffffff,6.0,0.0,0.0
840e5b1ffffffff,2.0,0.0,0.0
840e5b3ffffffff,5.0,0.0,0.0
840e5b5ffffffff,2.0,0.0,0.0
840e623ffffffff,2.0,0.0,0.0
840e631ffffffff,2.0,0.0,0.0
840e6a5ffffffff,1.0,0.0,0.0
840e6adffffffff,2.0,0.0,0.0
840e6e5ffffffff,2.0,0.0,0.0
840e805ffffffff,2.0,0.0,0.0
840e8d1ffffffff,2.0,0.0,0.0
840ec0bffffffff,4.0,0.0,0.0
840ecd7ffffffff,5.0,0.0,0.0
840ee03ffffffff,8.0,0.0,0.0
840ee1dffffffff,3.0,0.0,0.0
840ee25ffffffff,1.0,0.0,0.0
840ee27ffffffff,1.0,0.0,0.0
840ee8bffffffff,2.0,0.0,0.0
840eed3ffffffff,2.0,0.0,0.0
840eed5ffffffff,1.0,0.0,0.0
840ef03ffffffff,2.0,0.0,2.0
840ef19ffffffff,1.0,0.0,0.0
840ef1bffffffff,2.0,0.0,0.0
840ef1dffffffff,41.0,0.0,38.0
840ef29ffffffff,1.0,0.0,0.0
8412293ffffffff,2.0,0.0,0.0
84126b5ffffffff,5.0,0.0,0.0
8412721ffffffff,2.0,0.0,0.0
8412729ffffffff,2.0,0.0,0.0
8412745ffffffff,2.0,0.0,0.0
841276bffffffff,4.0,0.0,0.0
841288dffffffff,12.0,0.0,0.0
84128e7ffffffff,2.0,0.0,0.0
8412a25ffffffff,1.0,0.0,0.0
8412f13ffffffff,2.0,0.0,0.0
8412f43ffffffff,4.0,0.0,0.0
8412f5dffffffff,2.0,0.0,0.0
8413825ffffffff,2.0,0.0,0.0
841382dffffffff,3.0,0.0,0.0
84138a7ffffffff,1.0,0.0,0.0
8413909ffffffff,2.0,0.0,0.0
841390bffffffff,12.0,0.0,0.0
8413919ffffffff,3.0,0.0,0.0
8413955ffffffff,7.0,0.0,0.0
8413a6bffffffff,2.0,0.0,0.0
8418059ffffffff,2.0,2.0,0.0
84190ddffffffff,1.0,0.0,0.0
84190e1ffffffff,1.0,1.0,0.0
84190e9ffffffff,4.0,2.0,0.0
8419427ffffffff,3.0,1.0,0.0
8419467ffffffff,2.0,0.0,0.0
8419513ffffffff,1.0,0.0,0.0
8419721ffffffff,3.0,1.0,0.0
8419765ffffffff,3.0,0.0,0.0
841a849ffffffff,10.0,0.0,0.0
841aa27ffffffff,3.0,0.0,0.0
841aa35ffffffff,21.0,0.0,0.0
841b823ffffffff,2.0,0.0,2.0
841b82bffffffff,2.0,0.0,0.0
841b98bffffffff,2.0,0.0,0.0
841b993ffffffff,1.0,0.0,0.0
841b999ffffffff,2.0,0.0,0.0
841b9e3ffffffff,4.0,0.0,0.0
841b9ebffffffff,1.0,0.0,0.0
84204b5ffffffff,6.0,0.0,0.0
842a341ffffffff,2.0,0.0,0.0
842ab2bffffffff,45.0,0.0,0.0
842b167ffffffff,1.0,0.0,0.0
842b369ffffffff,2.0,0.0,0.0
842b841ffffffff,8.0,0.0,0.0
842b8adffffffff,52.0,0.0,7.0
842b983ffffffff,9.0,0.0,2.0
842b9bdffffffff,7.0,0.0,2.0
842ba0dffffffff,9.0,0.0,0.0
842ba41ffffffff,2.0,0.0,0.0
842ba43ffffffff,4.0,0.0,0.0
842ba45ffffffff,5.0,0.0,0.0
842ba49ffffffff,1.0,0.0,0.0
842ba4bffffffff,1.0,0.0,0.0
842ba4dffffffff,5.0,0.0,0.0
842ba55ffffffff,5.0,0.0,0.0
842ba5dffffffff,1.0,0.0,0.0
842ba65ffffffff,6.0,0.0,0.0
842ba67ffffffff,2.0,0.0,0.0
842bb07ffffffff,1.0,0.0,0.0
842bb09ffffffff,2.0,0.0,0.0
842bb23ffffffff,3.0,0.0,0.0
842bb27ffffffff,15.0,0.0,0.0
842bb31ffffffff,16.0,0.0,0.0
842bb35ffffffff,2.0,0.0,0.0
842bb3dffffffff,24.0,0.0,0.0
842bb59ffffffff,4.0,0.0,0.0
842bb5dffffffff,2.0,0.0,0.0
