cell_id,Otus senegalensis,Otus senegalensis senegalensis,Otus senegalensis feae,Otus senegalensis nivosus
83529bfffffffff,3.0,0.0,0.0,0.0
835419fffffffff,1.0,0.0,0.0,0.0
83541afffffffff,38.0,9.0,0.0,0.0
83541bfffffffff,23.0,4.0,0.0,0.0
8354a9fffffffff,32.0,20.0,0.0,0.0
8354e4fffffffff,21.0,15.0,0.0,0.0
8354e5fffffffff,14.0,4.0,0.0,0.0
8354f0fffffffff,1.0,0.0,0.0,0.0
8354f1fffffffff,2.0,0.0,0.0,0.0
8354f3fffffffff,7.0,0.0,0.0,0.0
8354f4fffffffff,11.0,6.0,0.0,0.0
8354f5fffffffff,6.0,0.0,0.0,0.0
8354f6fffffffff,1.0,0.0,0.0,0.0
835886fffffffff,2.0,0.0,0.0,0.0
835894fffffffff,3.0,0.0,0.0,0.0
835896fffffffff,16.0,1.0,0.0,0.0
8358a6fffffffff,4.0,0.0,0.0,0.0
8358b5fffffffff,2.0,0.0,0.0,0.0
8358c8fffffffff,3.0,0.0,0.0,0.0
8358cdfffffffff,4.0,1.0,0.0,0.0
8358e2fffffffff,3.0,0.0,0.0,0.0
8358e3fffffffff,1.0,0.0,0.0,0.0
835982fffffffff,4.0,0.0,0.0,0.0
836a5afffffffff,17.0,0.0,0.0,0.0
836ac3fffffffff,2.0,0.0,0.0,0.0
836ac8fffffffff,3.0,0.0,0.0,0.0
836acefffffffff,62.0,0.0,0.0,0.0
836ad8fffffffff,2.0,0.0,0.0,0.0
836ad9fffffffff,2.0,0.0,0.0,0.0
836addfffffffff,5.0,1.0,0.0,0.0
836ae8fffffffff,4.0,0.0,0.0,0.0
836aeafffffffff,13.0,0.0,0.0,0.0
836aebfffffffff,1.0,0.0,0.0,0.0
836aeefffffffff,4.0,4.0,0.0,0.0
836b12fffffffff,12.0,0.0,0.0,0.0
837506fffffffff,1.0,0.0,0.0,0.0
837520fffffffff,150.0,17.0,0.0,0.0
837529fffffffff,19.0,3.0,0.0,0.0
83752bfffffffff,2.0,0.0,0.0,0.0
837531fffffffff,2.0,0.0,0.0,0.0
837a40fffffffff,37.0,0.0,0.0,0.0
837a41fffffffff,125.0,14.0,0.0,0.0
837a43fffffffff,3.0,0.0,0.0,0.0
837a48fffffffff,11.0,0.0,0.0,0.0
837a4cfffffffff,16.0,2.0,0.0,0.0
837a60fffffffff,14.0,0.0,0.0,0.0
837a64fffffffff,9.0,0.0,0.0,0.0
837a65fffffffff,1.0,0.0,0.0,0.0
837a68fffffffff,30.0,3.0,0.0,0.0
837a6dfffffffff,37.0,7.0,0.0,0.0
837ac8fffffffff,28.0,0.0,0.0,0.0
837ae9fffffffff,10.0,0.0,0.0,0.0
837aeafffffffff,2.0,0.0,0.0,0.0
837b4bfffffffff,1.0,0.0,0.0,0.0
838311fffffffff,2.0,2.0,0.0,0.0
838312fffffffff,8.0,2.0,0.0,0.0
83831efffffffff,1.0,0.0,0.0,0.0
839602fffffffff,4.0,0.0,0.0,0.0
839609fffffffff,1.0,0.0,0.0,0.0
839614fffffffff,17.0,0.0,0.0,0.0
839615fffffffff,3.0,0.0,0.0,0.0
83961cfffffffff,1.0,0.0,0.0,0.0
839620fffffffff,9.0,4.0,0.0,0.0
839623fffffffff,3.0,0.0,0.0,0.0
839626fffffffff,6.0,6.0,0.0,0.0
839628fffffffff,13.0,5.0,0.0,0.0
839629fffffffff,2.0,0.0,0.0,0.0
83962afffffffff,1.0,0.0,0.0,0.0
83962bfffffffff,2.0,2.0,0.0,0.0
83962cfffffffff,11.0,5.0,0.0,0.0
83962dfffffffff,6.0,5.0,0.0,0.0
839633fffffffff,17.0,0.0,0.0,0.0
839675fffffffff,2.0,2.0,0.0,0.0
839676fffffffff,1.0,1.0,0.0,0.0
839686fffffffff,2.0,0.0,0.0,0.0
83968cfffffffff,1.0,0.0,0.0,0.0
839690fffffffff,88.0,2.0,0.0,0.0
839692fffffffff,84.0,13.0,0.0,0.0
839693fffffffff,3.0,0.0,0.0,0.0
8396a2fffffffff,7.0,2.0,0.0,0.0
8396a5fffffffff,3.0,0.0,0.0,0.0
8396a8fffffffff,2.0,2.0,0.0,0.0
8396aafffffffff,1.0,0.0,0.0,0.0
8396b0fffffffff,1.0,1.0,0.0,0.0
8396b1fffffffff,24.0,7.0,0.0,0.0
839702fffffffff,6.0,0.0,0.0,0.0
839705fffffffff,1.0,0.0,0.0,0.0
83970afffffffff,3.0,3.0,0.0,0.0
839710fffffffff,6.0,0.0,0.0,0.0
839711fffffffff,19.0,6.0,0.0,0.0
839724fffffffff,1.0,0.0,0.0,0.0
839728fffffffff,25.0,11.0,0.0,0.0
839729fffffffff,21.0,1.0,0.0,0.0
83972afffffffff,4.0,0.0,0.0,0.0
83972cfffffffff,49.0,12.0,0.0,0.0
83972efffffffff,14.0,1.0,0.0,0.0
839731fffffffff,2.0,0.0,0.0,0.0
839741fffffffff,40.0,13.0,0.0,0.0
839743fffffffff,50.0,6.0,0.0,0.0
839748fffffffff,3.0,1.0,0.0,0.0
839749fffffffff,1.0,0.0,0.0,0.0
83974afffffffff,40.0,14.0,0.0,0.0
83974efffffffff,31.0,0.0,0.0,0.0
839750fffffffff,13.0,4.0,0.0,0.0
839751fffffffff,15.0,1.0,0.0,0.0
839752fffffffff,2.0,0.0,0.0,0.0
839755fffffffff,10.0,4.0,0.0,0.0
839758fffffffff,6.0,2.0,0.0,0.0
83975cfffffffff,31.0,3.0,0.0,0.0
83975dfffffffff,26.0,5.0,0.0,0.0
839771fffffffff,2.0,0.0,0.0,0.0
839773fffffffff,2.0,2.0,0.0,0.0
839780fffffffff,2.0,2.0,0.0,0.0
839782fffffffff,2.0,2.0,0.0,0.0
839789fffffffff,1.0,0.0,0.0,0.0
83978afffffffff,1.0,1.0,0.0,0.0
83978bfffffffff,3.0,3.0,0.0,0.0
83978efffffffff,2.0,0.0,0.0,0.0
83979dfffffffff,3.0,0.0,0.0,0.0
8397a8fffffffff,2.0,0.0,0.0,0.0
8397aafffffffff,8.0,0.0,0.0,0.0
83ac80fffffffff,11.0,5.0,0.0,0.0
83ac81fffffffff,46.0,18.0,0.0,0.0
83ac85fffffffff,19.0,11.0,0.0,0.0
83ac86fffffffff,71.0,31.0,0.0,0.0
83ac88fffffffff,1.0,0.0,0.0,0.0
83ac8afffffffff,18.0,0.0,0.0,0.0
83ac95fffffffff,6.0,0.0,0.0,0.0
83ac96fffffffff,5.0,2.0,0.0,0.0
83ac99fffffffff,2.0,0.0,0.0,0.0
83ac9dfffffffff,3.0,3.0,0.0,0.0
83aca0fffffffff,5.0,0.0,0.0,0.0
83aca1fffffffff,1.0,0.0,0.0,0.0
83aca2fffffffff,1.0,1.0,0.0,0.0
83aca3fffffffff,34.0,7.0,0.0,0.0
83aca6fffffffff,8.0,2.0,0.0,0.0
83acaefffffffff,11.0,0.0,0.0,0.0
83acb1fffffffff,12.0,3.0,0.0,0.0
83acb3fffffffff,6.0,0.0,0.0,0.0
83ad94fffffffff,1.0,0.0,0.0,0.0
83bc1bfffffffff,1.0,0.0,0.0,0.0
83bc72fffffffff,3.0,0.0,0.0,0.0
83bc73fffffffff,2.0,0.0,0.0,0.0
83bcd0fffffffff,45.0,6.0,0.0,0.0
83bcd1fffffffff,1.0,1.0,0.0,0.0
83bcd2fffffffff,484.0,151.0,0.0,0.0
83bcd3fffffffff,8.0,2.0,0.0,0.0
83bcd4fffffffff,4.0,1.0,0.0,0.0
83bcd6fffffffff,33.0,6.0,0.0,0.0
83bcd8fffffffff,5.0,0.0,0.0,0.0
83bcd9fffffffff,2.0,2.0,0.0,0.0
83bcdafffffffff,3.0,0.0,0.0,0.0
83bcdbfffffffff,1.0,0.0,0.0,0.0
83bcdcfffffffff,22.0,7.0,0.0,0.0
83bcddfffffffff,8.0,5.0,0.0,0.0
83bcdefffffffff,4.0,0.0,0.0,0.0
83bcf0fffffffff,7.0,0.0,0.0,0.0
83bcf2fffffffff,88.0,30.0,0.0,0.0
