cell_id,Butorides virescens,Butorides virescens virescens/bahamensis,Butorides virescens anthonyi,Butorides virescens frazari
820747fffffffff,1.0,0.0,0.0,0.0
8212cffffffffff,43.0,0.0,0.0,0.0
8212d7fffffffff,4.0,0.0,0.0,0.0
8212dffffffffff,4.0,0.0,0.0,0.0
82186ffffffffff,3.0,0.0,0.0,0.0
821877fffffffff,5.0,0.0,0.0,0.0
821947fffffffff,2.0,0.0,0.0,0.0
82194ffffffffff,5.0,0.0,0.0,0.0
82195ffffffffff,2.0,0.0,0.0,0.0
821aa7fffffffff,5.0,0.0,0.0,0.0
821ab7fffffffff,1.0,0.0,0.0,0.0
82260ffffffffff,11.0,0.0,0.0,0.0
822617fffffffff,5.0,0.0,0.0,0.0
82261ffffffffff,3.0,0.0,0.0,0.0
822627fffffffff,13.0,0.0,0.0,0.0
82262ffffffffff,5.0,0.0,0.0,0.0
822637fffffffff,3.0,0.0,0.0,0.0
822647fffffffff,29.0,0.0,0.0,0.0
82264ffffffffff,80.0,1.0,0.0,0.0
822657fffffffff,41.0,0.0,0.0,0.0
82265ffffffffff,16.0,0.0,0.0,0.0
822667fffffffff,96.0,0.0,0.0,0.0
82266ffffffffff,27.0,4.0,0.0,0.0
822677fffffffff,4.0,0.0,0.0,0.0
822687fffffffff,28.0,0.0,0.0,0.0
82268ffffffffff,111.0,0.0,0.0,0.0
822697fffffffff,99.0,0.0,0.0,0.0
82269ffffffffff,19.0,0.0,0.0,0.0
8226a7fffffffff,4.0,0.0,0.0,0.0
8226affffffffff,24.0,0.0,0.0,0.0
8226b7fffffffff,1.0,0.0,0.0,0.0
8226c7fffffffff,3.0,0.0,0.0,0.0
8226cffffffffff,32.0,0.0,0.0,0.0
8226d7fffffffff,5.0,0.0,0.0,0.0
8226dffffffffff,4.0,0.0,0.0,0.0
8226e7fffffffff,6.0,0.0,0.0,0.0
8226effffffffff,7.0,0.0,0.0,0.0
8226f7fffffffff,15.0,0.0,0.0,0.0
822707fffffffff,42.0,0.0,0.0,0.0
82270ffffffffff,10.0,0.0,0.0,0.0
822717fffffffff,2.0,0.0,0.0,0.0
82271ffffffffff,19.0,0.0,0.0,0.0
82272ffffffffff,2.0,0.0,0.0,0.0
822747fffffffff,64.0,0.0,0.0,0.0
82274ffffffffff,263.0,1.0,0.0,0.0
822757fffffffff,15.0,0.0,0.0,0.0
82275ffffffffff,73.0,0.0,0.0,0.0
822767fffffffff,35.0,0.0,0.0,0.0
82276ffffffffff,67.0,30.0,0.0,0.0
822777fffffffff,18.0,0.0,0.0,0.0
822797fffffffff,2.0,0.0,0.0,0.0
8227a7fffffffff,13.0,0.0,0.0,0.0
8227affffffffff,1.0,0.0,0.0,0.0
822807fffffffff,69.0,0.0,0.0,0.0
822817fffffffff,54.0,0.0,1.0,0.0
82281ffffffffff,81.0,0.0,0.0,0.0
822837fffffffff,1590.0,0.0,5.0,0.0
822887fffffffff,31.0,0.0,0.0,0.0
82288ffffffffff,2.0,0.0,0.0,0.0
822897fffffffff,1.0,0.0,0.0,0.0
8228a7fffffffff,4.0,0.0,0.0,0.0
8228affffffffff,42.0,0.0,0.0,0.0
8228b7fffffffff,5.0,0.0,0.0,0.0
8228c7fffffffff,13.0,0.0,0.0,0.0
8228d7fffffffff,163.0,0.0,3.0,0.0
8228dffffffffff,14.0,0.0,0.0,0.0
8228f7fffffffff,128.0,0.0,0.0,0.0
822917fffffffff,5.0,0.0,0.0,0.0
822987fffffffff,16.0,0.0,0.0,0.0
82298ffffffffff,16.0,0.0,0.0,0.0
822997fffffffff,61.0,0.0,0.0,0.0
8229a7fffffffff,136.0,0.0,6.0,0.0
8229affffffffff,19.0,0.0,0.0,0.0
8229b7fffffffff,6.0,0.0,0.0,0.0
822a07fffffffff,10.0,0.0,0.0,0.0
822a17fffffffff,2188.0,17.0,0.0,0.0
822a1ffffffffff,2.0,0.0,0.0,0.0
822a37fffffffff,227.0,4.0,0.0,0.0
822a87fffffffff,55.0,6.0,0.0,0.0
822a8ffffffffff,134.0,3.0,0.0,0.0
822a97fffffffff,35.0,0.0,0.0,0.0
822a9ffffffffff,40.0,0.0,0.0,0.0
822aa7fffffffff,157.0,0.0,0.0,0.0
822aaffffffffff,828.0,41.0,0.0,0.0
822ab7fffffffff,522.0,130.0,0.0,0.0
822ad7fffffffff,55.0,4.0,0.0,0.0
822af7fffffffff,75.0,0.0,0.0,0.0
822b07fffffffff,41.0,0.0,0.0,0.0
822b0ffffffffff,93.0,0.0,0.0,0.0
822b17fffffffff,108.0,0.0,0.0,0.0
822b1ffffffffff,60.0,0.0,0.0,0.0
822b27fffffffff,4.0,0.0,0.0,0.0
822b37fffffffff,17.0,0.0,0.0,0.0
822b87fffffffff,104.0,6.0,0.0,0.0
822b8ffffffffff,300.0,44.0,0.0,0.0
822b97fffffffff,58.0,0.0,0.0,0.0
822b9ffffffffff,530.0,141.0,0.0,0.0
822ba7fffffffff,1.0,0.0,0.0,0.0
822baffffffffff,197.0,0.0,0.0,0.0
823437fffffffff,9.0,0.0,0.0,0.0
82351ffffffffff,10.0,0.0,0.0,0.0
8235affffffffff,14.0,0.0,0.0,0.0
823917fffffffff,49.0,0.0,0.0,0.0
82396ffffffffff,3.0,0.0,0.0,0.0
824417fffffffff,23.0,8.0,0.0,0.0
82441ffffffffff,34.0,0.0,0.0,0.0
824427fffffffff,8.0,8.0,0.0,0.0
824447fffffffff,97.0,0.0,0.0,0.0
82444ffffffffff,66.0,0.0,0.0,0.0
824457fffffffff,107.0,0.0,0.0,0.0
82445ffffffffff,7.0,4.0,0.0,0.0
824467fffffffff,19.0,0.0,0.0,0.0
82446ffffffffff,16.0,3.0,0.0,0.0
824477fffffffff,11.0,0.0,0.0,0.0
824487fffffffff,12.0,0.0,0.0,0.0
8244a7fffffffff,15.0,3.0,0.0,0.0
8244affffffffff,69.0,15.0,0.0,0.0
8244c7fffffffff,79.0,0.0,0.0,0.0
8244cffffffffff,85.0,0.0,0.0,0.0
8244d7fffffffff,91.0,2.0,0.0,0.0
8244dffffffffff,46.0,0.0,0.0,0.0
8244e7fffffffff,72.0,0.0,0.0,0.0
8244effffffffff,24.0,0.0,0.0,0.0
8244f7fffffffff,210.0,4.0,0.0,0.0
824507fffffffff,30.0,11.0,0.0,0.0
82450ffffffffff,598.0,598.0,0.0,0.0
82451ffffffffff,10.0,10.0,0.0,0.0
824527fffffffff,13.0,8.0,0.0,0.0
82452ffffffffff,121.0,12.0,0.0,0.0
824577fffffffff,318.0,318.0,0.0,0.0
82458ffffffffff,2.0,0.0,0.0,0.0
8245a7fffffffff,2.0,0.0,0.0,0.0
8245b7fffffffff,5.0,5.0,0.0,0.0
824817fffffffff,3.0,0.0,0.0,0.0
82481ffffffffff,2.0,0.0,0.0,0.0
82482ffffffffff,2.0,0.0,0.0,0.0
824837fffffffff,2.0,1.0,0.0,0.0
82485ffffffffff,36.0,0.0,9.0,0.0
824877fffffffff,2.0,0.0,0.0,2.0
824887fffffffff,2.0,0.0,0.0,0.0
82488ffffffffff,2.0,0.0,0.0,0.0
824897fffffffff,29.0,0.0,0.0,0.0
82489ffffffffff,43.0,2.0,0.0,0.0
8248b7fffffffff,18.0,0.0,0.0,0.0
8248c7fffffffff,32.0,0.0,0.0,0.0
8248d7fffffffff,4.0,0.0,0.0,0.0
8248dffffffffff,6.0,0.0,0.0,0.0
8248effffffffff,80.0,0.0,23.0,0.0
8248f7fffffffff,3.0,0.0,0.0,0.0
824987fffffffff,43.0,42.0,0.0,0.0
824997fffffffff,76.0,49.0,0.0,0.0
8249affffffffff,38.0,38.0,0.0,0.0
8249b7fffffffff,8.0,7.0,0.0,0.0
824c87fffffffff,10.0,0.0,0.0,0.0
824c8ffffffffff,7.0,0.0,0.0,0.0
824ceffffffffff,52.0,0.0,0.0,0.0
824cf7fffffffff,4.0,0.0,0.0,0.0
824d4ffffffffff,1.0,0.0,0.0,0.0
825e5ffffffffff,1.0,0.0,0.0,0.0
825e77fffffffff,5.0,1.0,0.0,0.0
825f4ffffffffff,6.0,0.0,0.0,0.0
825f5ffffffffff,14.0,2.0,0.0,0.0
826607fffffffff,5.0,0.0,0.0,0.0
82660ffffffffff,2.0,0.0,0.0,0.0
826617fffffffff,32.0,0.0,0.0,0.0
82661ffffffffff,7.0,0.0,0.0,0.0
826627fffffffff,17.0,1.0,0.0,0.0
826637fffffffff,5.0,0.0,0.0,0.0
82665ffffffffff,2.0,0.0,0.0,0.0
8266a7fffffffff,5.0,0.0,0.0,0.0
8266b7fffffffff,18.0,0.0,0.0,0.0
8266c7fffffffff,5.0,0.0,0.0,0.0
8266dffffffffff,3.0,0.0,0.0,0.0
8266e7fffffffff,11.0,0.0,0.0,0.0
8266f7fffffffff,41.0,0.0,0.0,0.0
826727fffffffff,3.0,0.0,0.0,0.0
826747fffffffff,26.0,0.0,0.0,0.0
82674ffffffffff,9.0,0.0,0.0,0.0
826757fffffffff,4.0,0.0,0.0,0.0
82675ffffffffff,6.0,0.0,0.0,0.0
82676ffffffffff,2.0,0.0,0.0,0.0
826787fffffffff,4.0,0.0,0.0,0.0
82678ffffffffff,3.0,0.0,0.0,0.0
82679ffffffffff,6.0,0.0,0.0,0.0
8267a7fffffffff,9.0,0.0,0.0,0.0
826d07fffffffff,16.0,13.0,0.0,0.0
826d17fffffffff,17.0,17.0,0.0,0.0
826d27fffffffff,34.0,21.0,0.0,0.0
826d2ffffffffff,35.0,7.0,0.0,0.0
826d37fffffffff,50.0,40.0,0.0,0.0
826d67fffffffff,16.0,0.0,0.0,0.0
826d6ffffffffff,36.0,0.0,0.0,0.0
826d77fffffffff,11.0,0.0,0.0,0.0
