cell_id,Corvus macrorhynchos,Corvus macrorhynchos [macrorhynchos Group],Corvus macrorhynchos culminatus,Corvus macrorhynchos levaillantii
83148cfffffffff,21.0,0.0,0.0,0.0
83149afffffffff,7.0,7.0,0.0,0.0
83149efffffffff,12.0,12.0,0.0,0.0
8314a8fffffffff,2.0,0.0,0.0,0.0
8314aafffffffff,2.0,0.0,0.0,0.0
8314aefffffffff,58.0,0.0,0.0,0.0
8314b2fffffffff,1.0,0.0,0.0,0.0
8314c8fffffffff,4.0,0.0,0.0,0.0
83158efffffffff,2.0,0.0,0.0,0.0
831598fffffffff,25.0,0.0,0.0,0.0
832098fffffffff,37.0,0.0,0.0,0.0
83209afffffffff,251.0,0.0,4.0,0.0
83209bfffffffff,289.0,113.0,0.0,0.0
83209cfffffffff,36.0,0.0,0.0,0.0
83209efffffffff,91.0,0.0,1.0,0.0
832488fffffffff,3.0,3.0,0.0,0.0
832489fffffffff,7.0,4.0,0.0,0.0
83248bfffffffff,31.0,15.0,0.0,0.0
83248cfffffffff,1.0,0.0,0.0,0.0
832498fffffffff,1.0,1.0,0.0,0.0
832499fffffffff,2.0,0.0,0.0,0.0
8324c0fffffffff,24.0,13.0,0.0,0.0
8324c6fffffffff,20.0,14.0,0.0,0.0
8324cdfffffffff,2.0,0.0,0.0,0.0
8324d0fffffffff,3.0,0.0,0.0,0.0
8324d2fffffffff,3.0,1.0,0.0,0.0
8324d6fffffffff,5.0,2.0,0.0,0.0
832e01fffffffff,1.0,0.0,0.0,0.0
832e08fffffffff,4.0,0.0,0.0,0.0
832e0afffffffff,16.0,4.0,0.0,0.0
832e0cfffffffff,53.0,1.0,0.0,0.0
832e0dfffffffff,105.0,7.0,0.0,0.0
832e0efffffffff,5.0,3.0,0.0,0.0
832e12fffffffff,158.0,67.0,0.0,0.0
832e13fffffffff,140.0,26.0,0.0,0.0
832e18fffffffff,4.0,0.0,0.0,0.0
832e19fffffffff,18.0,2.0,0.0,0.0
832e1afffffffff,24.0,1.0,0.0,0.0
832e1bfffffffff,214.0,27.0,0.0,0.0
832e1dfffffffff,2.0,2.0,0.0,0.0
832e1efffffffff,17.0,1.0,0.0,0.0
832e29fffffffff,77.0,8.0,0.0,0.0
832e2bfffffffff,13.0,0.0,0.0,0.0
832e2dfffffffff,54.0,28.0,0.0,0.0
832e44fffffffff,67.0,21.0,0.0,0.0
832e46fffffffff,6.0,0.0,0.0,0.0
832e60fffffffff,105.0,1.0,0.0,0.0
832e61fffffffff,942.0,45.0,0.0,0.0
832e62fffffffff,9.0,0.0,0.0,0.0
832e63fffffffff,30.0,2.0,0.0,0.0
832e64fffffffff,4.0,4.0,0.0,0.0
832e65fffffffff,2.0,0.0,0.0,0.0
832e66fffffffff,17.0,1.0,0.0,0.0
832e68fffffffff,563.0,0.0,0.0,0.0
832e69fffffffff,63.0,3.0,0.0,0.0
832e6afffffffff,2.0,0.0,0.0,0.0
832e6bfffffffff,57.0,0.0,0.0,0.0
832e6cfffffffff,50.0,5.0,0.0,0.0
832e6dfffffffff,107.0,0.0,0.0,0.0
832e6efffffffff,21.0,0.0,0.0,0.0
832e70fffffffff,8.0,0.0,0.0,0.0
832e71fffffffff,16.0,0.0,0.0,0.0
832e72fffffffff,14.0,1.0,0.0,0.0
832e74fffffffff,182.0,37.0,0.0,0.0
832e75fffffffff,392.0,138.0,0.0,0.0
832e76fffffffff,13.0,0.0,0.0,0.0
832e88fffffffff,77.0,58.0,0.0,0.0
832e89fffffffff,3.0,3.0,0.0,0.0
832e8afffffffff,21.0,21.0,0.0,0.0
832e8cfffffffff,2.0,2.0,0.0,0.0
832e99fffffffff,10.0,10.0,0.0,0.0
832ea1fffffffff,3.0,3.0,0.0,0.0
832ea3fffffffff,8.0,8.0,0.0,0.0
832ea8fffffffff,6.0,0.0,0.0,0.0
832ea9fffffffff,13.0,0.0,0.0,0.0
832eacfffffffff,757.0,229.0,0.0,0.0
832eadfffffffff,394.0,133.0,0.0,0.0
832ec0fffffffff,2.0,0.0,0.0,0.0
832ec1fffffffff,5.0,0.0,0.0,0.0
832ec2fffffffff,9.0,0.0,0.0,0.0
832ec8fffffffff,3.0,0.0,0.0,0.0
832ec9fffffffff,2.0,0.0,0.0,0.0
832ecbfffffffff,11.0,0.0,0.0,0.0
832edafffffffff,1.0,0.0,0.0,0.0
832edcfffffffff,2.0,0.0,0.0,0.0
832ee6fffffffff,2.0,0.0,0.0,0.0
832eebfffffffff,1.0,0.0,0.0,0.0
832ef4fffffffff,5.0,0.0,0.0,0.0
832ef5fffffffff,8.0,0.0,0.0,0.0
832ef6fffffffff,33.0,2.0,0.0,0.0
832f43fffffffff,32.0,5.0,0.0,0.0
832f58fffffffff,33.0,6.0,0.0,0.0
832f59fffffffff,14.0,6.0,0.0,0.0
832f5afffffffff,1902.0,213.0,0.0,0.0
832f5bfffffffff,586.0,66.0,0.0,0.0
832f5dfffffffff,147.0,27.0,0.0,0.0
833019fffffffff,117.0,14.0,0.0,0.0
833025fffffffff,3.0,3.0,0.0,0.0
83302bfffffffff,25.0,0.0,0.0,0.0
833030fffffffff,23.0,6.0,0.0,0.0
833034fffffffff,4.0,0.0,0.0,0.0
833036fffffffff,3.0,0.0,0.0,0.0
833083fffffffff,2.0,0.0,0.0,0.0
83308efffffffff,2.0,2.0,0.0,0.0
833092fffffffff,1.0,1.0,0.0,0.0
833098fffffffff,2.0,0.0,0.0,0.0
83309afffffffff,200.0,166.0,0.0,0.0
83309bfffffffff,25.0,8.0,0.0,0.0
83309dfffffffff,2.0,0.0,0.0,0.0
83309efffffffff,25.0,6.0,0.0,0.0
8330c0fffffffff,34.0,10.0,0.0,0.0
8330c1fffffffff,132.0,8.0,0.0,0.0
8330c2fffffffff,35.0,1.0,0.0,0.0
8330c3fffffffff,6.0,2.0,0.0,0.0
8330c4fffffffff,61.0,3.0,0.0,0.0
8330c5fffffffff,19.0,2.0,0.0,0.0
8330c6fffffffff,78.0,0.0,0.0,0.0
8330cbfffffffff,4.0,0.0,0.0,0.0
8330ccfffffffff,3.0,0.0,0.0,0.0
