cell_id,Ducula aenea,Ducula aenea [aenea Group],Ducula aenea nuchalis,Ducula aenea paulina
823c1ffffffffff,64.0,0.0,0.0,0.0
823c57fffffffff,121.0,0.0,0.0,0.0
823c5ffffffffff,529.0,0.0,0.0,0.0
823c8ffffffffff,5.0,0.0,0.0,0.0
823cc7fffffffff,83.0,6.0,0.0,0.0
823ccffffffffff,5.0,0.0,0.0,0.0
823cdffffffffff,5.0,0.0,0.0,0.0
823ce7fffffffff,613.0,1.0,0.0,0.0
823ceffffffffff,1154.0,2.0,0.0,0.0
82404ffffffffff,17.0,0.0,0.0,0.0
824b97fffffffff,10.0,0.0,0.0,0.0
826007fffffffff,336.0,0.0,0.0,0.0
826017fffffffff,644.0,0.0,0.0,0.0
82601ffffffffff,61.0,0.0,0.0,0.0
826027fffffffff,200.0,0.0,0.0,0.0
826037fffffffff,2291.0,0.0,0.0,0.0
8260affffffffff,187.0,0.0,0.0,0.0
826107fffffffff,2776.0,101.0,0.0,0.0
826117fffffffff,263.0,3.0,0.0,0.0
82611ffffffffff,1172.0,19.0,0.0,0.0
8261affffffffff,1.0,0.0,0.0,0.0
82640ffffffffff,1873.0,0.0,0.0,0.0
826417fffffffff,1.0,0.0,0.0,0.0
82641ffffffffff,166.0,0.0,0.0,0.0
826427fffffffff,26.0,0.0,0.0,0.0
826437fffffffff,64.0,42.0,0.0,0.0
82648ffffffffff,21.0,0.0,0.0,0.0
82649ffffffffff,1.0,0.0,0.0,0.0
8264a7fffffffff,60.0,18.0,0.0,0.0
8264e7fffffffff,1022.0,0.0,0.0,0.0
826507fffffffff,21.0,0.0,0.0,0.0
82650ffffffffff,2.0,2.0,0.0,0.0
82651ffffffffff,9.0,0.0,0.0,0.0
826527fffffffff,69.0,0.0,0.0,0.0
826537fffffffff,2.0,0.0,0.0,0.0
826557fffffffff,8.0,0.0,0.0,0.0
826577fffffffff,55.0,0.0,0.0,0.0
826587fffffffff,31.0,8.0,0.0,0.0
826597fffffffff,433.0,55.0,0.0,0.0
82659ffffffffff,10.0,4.0,0.0,0.0
8265affffffffff,1.0,0.0,0.0,0.0
8265b7fffffffff,234.0,33.0,0.0,0.0
826807fffffffff,6.0,0.0,0.0,0.0
826817fffffffff,436.0,64.0,0.0,0.0
82681ffffffffff,2385.0,425.0,0.0,0.0
82682ffffffffff,486.0,30.0,0.0,0.0
826847fffffffff,65.0,5.0,0.0,0.0
82684ffffffffff,158.0,15.0,0.0,0.0
82685ffffffffff,34.0,10.0,0.0,0.0
82686ffffffffff,13.0,0.0,0.0,0.0
826877fffffffff,1.0,0.0,0.0,0.0
82688ffffffffff,2.0,2.0,0.0,0.0
826897fffffffff,31.0,0.0,0.0,0.0
8268a7fffffffff,2.0,0.0,0.0,0.0
8268affffffffff,7.0,0.0,0.0,0.0
8268c7fffffffff,8.0,0.0,0.0,0.0
8268cffffffffff,523.0,0.0,0.0,178.0
8268d7fffffffff,10.0,0.0,0.0,3.0
8268dffffffffff,34.0,0.0,0.0,4.0
826947fffffffff,465.0,20.0,2.0,0.0
82694ffffffffff,11.0,0.0,0.0,0.0
82695ffffffffff,36.0,0.0,0.0,0.0
82696ffffffffff,23.0,9.0,0.0,0.0
8273b7fffffffff,8.0,0.0,0.0,0.0
828c17fffffffff,3.0,0.0,0.0,0.0
828c1ffffffffff,4.0,0.0,0.0,0.0
828c8ffffffffff,6.0,0.0,0.0,0.0
828c97fffffffff,6.0,0.0,0.0,0.0
828c9ffffffffff,4.0,0.0,0.0,0.0
828caffffffffff,49.0,4.0,0.0,0.0
828cc7fffffffff,16.0,4.0,0.0,0.0
828cd7fffffffff,1.0,0.0,0.0,0.0
828cdffffffffff,3.0,0.0,0.0,0.0
828d8ffffffffff,3.0,0.0,0.0,0.0
828da7fffffffff,30.0,0.0,0.0,0.0
828db7fffffffff,84.0,1.0,0.0,0.0
829427fffffffff,4.0,0.0,0.0,0.0
829507fffffffff,6.0,0.0,0.0,0.0
829517fffffffff,13.0,0.0,0.0,0.0
82951ffffffffff,158.0,13.0,0.0,0.0
829527fffffffff,2.0,0.0,0.0,0.0
82952ffffffffff,2.0,0.0,0.0,0.0
829567fffffffff,20.0,0.0,0.0,6.0
829577fffffffff,1.0,0.0,0.0,0.0
8295a7fffffffff,10.0,0.0,0.0,0.0
8295affffffffff,139.0,16.0,0.0,0.0
