cell_id,Erythropitta erythrogaster,Erythropitta erythrogaster [erythrogaster Group],Erythropitta erythrogaster inspeculata
82682ffffffffff,92.0,15.0,0.0
826847fffffffff,47.0,5.0,0.0
82684ffffffffff,68.0,10.0,0.0
826857fffffffff,19.0,4.0,0.0
82685ffffffffff,31.0,0.0,0.0
826867fffffffff,8.0,0.0,0.0
82686ffffffffff,10.0,0.0,0.0
826877fffffffff,21.0,0.0,0.0
8268e7fffffffff,1.0,1.0,0.0
826947fffffffff,39.0,3.0,0.0
82694ffffffffff,80.0,9.0,0.0
82695ffffffffff,32.0,0.0,0.0
82696ffffffffff,1.0,1.0,0.0
8273b7fffffffff,45.0,0.0,44.0
