cell_id,Psilopogon haemacephalus,Psilopogon haemacephalus indicus/delicus,Psilopogon haemacephalus roseus,Psilopogon haemacephalus [haemacephalus Group],Psilopogon haemacephalus [intermedius Group]
823c07fffffffff,117.0,0.0,0.0,0.0,0.0
823c0ffffffffff,2.0,0.0,0.0,0.0,0.0
823c17fffffffff,162.0,0.0,0.0,0.0,0.0
823c1ffffffffff,354.0,0.0,0.0,0.0,0.0
823c37fffffffff,89.0,0.0,0.0,0.0,0.0
823c57fffffffff,10.0,0.0,0.0,0.0,0.0
823c5ffffffffff,114.0,0.0,0.0,0.0,0.0
823c87fffffffff,537.0,0.0,0.0,0.0,0.0
823c8ffffffffff,928.0,0.0,0.0,0.0,0.0
823c97fffffffff,1368.0,0.0,0.0,0.0,0.0
823c9ffffffffff,64.0,0.0,0.0,0.0,0.0
823ca7fffffffff,386.0,0.0,0.0,0.0,0.0
823caffffffffff,540.0,0.0,0.0,0.0,0.0
823cb7fffffffff,7821.0,0.0,0.0,0.0,0.0
823cc7fffffffff,341.0,0.0,0.0,0.0,0.0
823ccffffffffff,55.0,0.0,0.0,0.0,0.0
823cd7fffffffff,27.0,0.0,0.0,0.0,0.0
823cdffffffffff,81.0,0.0,0.0,0.0,0.0
823ce7fffffffff,1353.0,0.0,0.0,0.0,0.0
823ceffffffffff,779.0,0.0,0.0,0.0,0.0
823cf7fffffffff,5498.0,0.0,0.0,0.0,0.0
823d17fffffffff,2087.0,0.0,0.0,0.0,0.0
823d1ffffffffff,1.0,0.0,0.0,0.0,0.0
823d37fffffffff,136.0,0.0,0.0,0.0,0.0
823d87fffffffff,1489.0,0.0,0.0,0.0,0.0
823d8ffffffffff,922.0,0.0,0.0,0.0,0.0
823d97fffffffff,1111.0,0.0,0.0,0.0,0.0
823d9ffffffffff,3426.0,0.0,0.0,0.0,0.0
823da7fffffffff,3508.0,0.0,0.0,0.0,0.0
823daffffffffff,616.0,0.0,0.0,0.0,0.0
823db7fffffffff,619.0,0.0,0.0,0.0,0.0
82404ffffffffff,114.0,0.0,0.0,0.0,0.0
824067fffffffff,71.0,0.0,0.0,0.0,0.0
82406ffffffffff,17.0,0.0,0.0,0.0,0.0
82414ffffffffff,3.0,0.0,0.0,0.0,0.0
824167fffffffff,8.0,0.0,0.0,0.0,0.0
82416ffffffffff,120.0,0.0,0.0,0.0,0.0
82424ffffffffff,39.0,0.0,0.0,0.0,0.0
82425ffffffffff,83.0,0.0,0.0,0.0,0.0
