cell_id,Euplectes macroura,Euplectes macroura macrocercus,Euplectes macroura macroura/conradsi
833915fffffffff,1.0,0.0,0.0
8354c5fffffffff,8.0,0.0,0.0
8354e1fffffffff,7.0,0.0,0.0
8354e3fffffffff,9.0,0.0,0.0
8354eafffffffff,2.0,0.0,0.0
8354ecfffffffff,2.0,0.0,0.0
8354eefffffffff,9.0,0.0,0.0
8354f5fffffffff,2.0,0.0,0.0
836accfffffffff,4.0,4.0,0.0
836acefffffffff,2.0,2.0,0.0
836aeafffffffff,7.0,4.0,3.0
837a4cfffffffff,6.0,6.0,0.0
837a4dfffffffff,1.0,1.0,0.0
837a68fffffffff,5.0,0.0,5.0
837a69fffffffff,2.0,0.0,0.0
837a6afffffffff,2.0,0.0,0.0
