cell_id,Emberiza cioides,Emberiza cioides [cioides Group],Emberiza cioides ciopsis
84149adffffffff,13.0,0.0,0.0
8415909ffffffff,1.0,0.0,0.0
841598bffffffff,2.0,0.0,0.0
8415b05ffffffff,1.0,0.0,0.0
8415b07ffffffff,2.0,0.0,0.0
8415b6bffffffff,1.0,0.0,0.0
84204b3ffffffff,3.0,0.0,0.0
84204b5ffffffff,8.0,0.0,0.0
84206b5ffffffff,1.0,0.0,0.0
8420ad7ffffffff,3.0,0.0,0.0
8420e07ffffffff,4.0,0.0,0.0
8420e2bffffffff,3.0,0.0,0.0
8420e3dffffffff,7.0,0.0,0.0
8420e65ffffffff,19.0,0.0,0.0
8420ee1ffffffff,2.0,0.0,0.0
8420f51ffffffff,1.0,0.0,0.0
8420f53ffffffff,3.0,0.0,0.0
8420f59ffffffff,1.0,0.0,0.0
8424051ffffffff,2.0,0.0,0.0
84240cdffffffff,1.0,0.0,0.0
8424265ffffffff,3.0,0.0,0.0
842428bffffffff,4.0,0.0,0.0
8424299ffffffff,6.0,0.0,0.0
84242c7ffffffff,2.0,0.0,0.0
84244c1ffffffff,2.0,0.0,0.0
8424567ffffffff,3.0,0.0,0.0
842460dffffffff,25.0,0.0,0.0
8424631ffffffff,8.0,0.0,0.0
8424667ffffffff,2.0,0.0,0.0
8424731ffffffff,2.0,0.0,0.0
8424749ffffffff,2.0,0.0,0.0
8424759ffffffff,4.0,0.0,0.0
8424883ffffffff,2.0,0.0,0.0
84248b1ffffffff,7.0,0.0,0.0
84248b9ffffffff,9.0,0.0,0.0
84248bdffffffff,1.0,0.0,0.0
8424c05ffffffff,13.0,0.0,0.0
8424c63ffffffff,6.0,0.0,0.0
8424d19ffffffff,1.0,0.0,0.0
8424d23ffffffff,10.0,0.0,0.0
8424d2bffffffff,3.0,0.0,0.0
8424d6dffffffff,4.0,0.0,0.0
8425001ffffffff,2.0,0.0,0.0
842502bffffffff,2.0,0.0,0.0
8425045ffffffff,1.0,0.0,0.0
8425081ffffffff,1.0,0.0,0.0
842512bffffffff,32.0,0.0,0.0
842513dffffffff,3.0,0.0,0.0
842514bffffffff,1.0,0.0,0.0
8425169ffffffff,2.0,0.0,0.0
8425403ffffffff,1.0,0.0,0.0
8425425ffffffff,4.0,0.0,0.0
8425535ffffffff,2.0,0.0,0.0
84255a3ffffffff,24.0,0.0,0.0
84255a5ffffffff,9.0,0.0,0.0
84255a7ffffffff,50.0,0.0,0.0
84255b5ffffffff,1.0,0.0,0.0
8425ac9ffffffff,38.0,0.0,0.0
8425b07ffffffff,2.0,0.0,0.0
842e087ffffffff,1.0,0.0,0.0
842e08bffffffff,1.0,0.0,0.0
842e0a5ffffffff,1.0,0.0,0.0
842e0a9ffffffff,1.0,0.0,0.0
842e0c1ffffffff,2.0,0.0,0.0
842e0c9ffffffff,33.0,0.0,0.0
842e0d1ffffffff,5.0,0.0,0.0
842e0d7ffffffff,53.0,0.0,0.0
842e0ebffffffff,2.0,0.0,0.0
842e127ffffffff,1.0,0.0,0.0
842e135ffffffff,4.0,0.0,0.0
842e191ffffffff,2.0,0.0,0.0
842e1a3ffffffff,3.0,0.0,0.0
842e1a5ffffffff,5.0,0.0,0.0
842e1adffffffff,2.0,0.0,0.0
842e1b1ffffffff,1.0,0.0,0.0
842e1b5ffffffff,6.0,0.0,0.0
842e1b7ffffffff,4.0,0.0,0.0
842e1b9ffffffff,2.0,0.0,0.0
842e1bbffffffff,1.0,0.0,0.0
842e1bdffffffff,1.0,0.0,0.0
842e1e7ffffffff,2.0,0.0,0.0
842e293ffffffff,1.0,0.0,0.0
842e299ffffffff,10.0,0.0,0.0
842e29bffffffff,1.0,0.0,0.0
842e2b5ffffffff,1.0,0.0,0.0
842e2b7ffffffff,4.0,0.0,0.0
842e2b9ffffffff,1.0,0.0,0.0
842e2dbffffffff,9.0,0.0,0.0
842e449ffffffff,24.0,0.0,0.0
842e44dffffffff,9.0,0.0,0.0
842e601ffffffff,8.0,0.0,0.0
842e603ffffffff,1.0,0.0,0.0
842e605ffffffff,10.0,0.0,0.0
842e607ffffffff,7.0,0.0,0.0
842e60bffffffff,59.0,0.0,0.0
842e60dffffffff,2.0,0.0,0.0
842e611ffffffff,57.0,0.0,0.0
