cell_id,Parus cinereus,Parus cinereus [cinereus Group],Parus cinereus [minor Group],Parus cinereus commixtus,Parus cinereus amamiensis,Parus cinereus okinawae,Parus cinereus nigriloris
84209a5ffffffff,4.0,4.0,0.0,0.0,0.0,0.0,0.0
8429a57ffffffff,17.0,0.0,1.0,0.0,0.0,0.0,0.0
842e74dffffffff,3.0,0.0,3.0,0.0,0.0,0.0,0.0
842f5a1ffffffff,3.0,0.0,3.0,0.0,0.0,0.0,0.0
8430833ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8430995ffffffff,9.0,0.0,4.0,0.0,0.0,0.0,0.0
84309a5ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
84309b3ffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0
84309b9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84309d9ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
8431267ffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
8431347ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
843c199ffffffff,4.0,4.0,0.0,0.0,0.0,0.0,0.0
843c1b5ffffffff,11.0,11.0,0.0,0.0,0.0,0.0,0.0
843c1d7ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
843c329ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
843c369ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
843c525ffffffff,4.0,4.0,0.0,0.0,0.0,0.0,0.0
843c527ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
843c581ffffffff,16.0,16.0,0.0,0.0,0.0,0.0,0.0
843c585ffffffff,36.0,36.0,0.0,0.0,0.0,0.0,0.0
843c58dffffffff,23.0,23.0,0.0,0.0,0.0,0.0,0.0
843c5bdffffffff,8.0,8.0,0.0,0.0,0.0,0.0,0.0
843c5e5ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
843c839ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
843c843ffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0
843c885ffffffff,6.0,6.0,0.0,0.0,0.0,0.0,0.0
843c8cbffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
843c8dbffffffff,6.0,6.0,0.0,0.0,0.0,0.0,0.0
843ca87ffffffff,4.0,4.0,0.0,0.0,0.0,0.0,0.0
843ca95ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
843cac3ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
843caddffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
843ce83ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
843ce87ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
843ceebffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0
843cf05ffffffff,20.0,20.0,0.0,0.0,0.0,0.0,0.0
843cf25ffffffff,6.0,6.0,0.0,0.0,0.0,0.0,0.0
843cf29ffffffff,10.0,10.0,0.0,0.0,0.0,0.0,0.0
843cf2dffffffff,12.0,12.0,0.0,0.0,0.0,0.0,0.0
843cf41ffffffff,3.0,3.0,0.0,0.0,0.0,0.0,0.0
843cf47ffffffff,6.0,6.0,0.0,0.0,0.0,0.0,0.0
843d10dffffffff,22.0,22.0,0.0,0.0,0.0,0.0,0.0
843d137ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
843d845ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
