cell_id,Aegolius funereus,Aegolius funereus [funereus Group],Aegolius funereus richardsoni
830880fffffffff,3.0,3.0,0.0
8309a4fffffffff,3.0,0.0,0.0
830c42fffffffff,1.0,0.0,0.0
830c51fffffffff,6.0,0.0,0.0
830c5afffffffff,16.0,0.0,0.0
830c73fffffffff,4.0,0.0,4.0
830e45fffffffff,2.0,0.0,0.0
830eccfffffffff,48.0,0.0,0.0
830eeafffffffff,15.0,0.0,0.0
831130fffffffff,2.0,0.0,0.0
83125bfffffffff,2.0,0.0,0.0
8312c0fffffffff,2.0,0.0,0.0
8312c3fffffffff,2.0,0.0,0.0
8312c4fffffffff,1.0,0.0,1.0
8312ccfffffffff,34.0,0.0,0.0
8312d1fffffffff,7.0,0.0,0.0
8312d8fffffffff,6.0,0.0,0.0
8312dcfffffffff,18.0,0.0,0.0
8312ddfffffffff,1.0,0.0,0.0
831382fffffffff,1.0,0.0,0.0
831383fffffffff,18.0,0.0,0.0
83138cfffffffff,1.0,0.0,0.0
831391fffffffff,1.0,0.0,0.0
831849fffffffff,1.0,0.0,0.0
831aa0fffffffff,3.0,0.0,0.0
831aa2fffffffff,2.0,0.0,0.0
831aa6fffffffff,6.0,0.0,0.0
831ab0fffffffff,1.0,0.0,0.0
831b83fffffffff,2.0,0.0,0.0
831b9afffffffff,1.0,0.0,0.0
831e01fffffffff,2.0,0.0,0.0
831e0cfffffffff,2.0,2.0,0.0
831e0dfffffffff,2.0,0.0,0.0
831e0efffffffff,2.0,0.0,0.0
831e1efffffffff,2.0,0.0,0.0
831e22fffffffff,5.0,0.0,0.0
831e32fffffffff,2.0,0.0,0.0
831e34fffffffff,5.0,0.0,0.0
831eacfffffffff,1.0,0.0,0.0
831ec3fffffffff,2.0,2.0,0.0
831f1bfffffffff,1.0,0.0,0.0
831f22fffffffff,1.0,0.0,0.0
831f35fffffffff,5.0,0.0,0.0
831f8bfffffffff,2.0,2.0,0.0
831f8dfffffffff,2.0,2.0,0.0
831facfffffffff,4.0,4.0,0.0
8320e6fffffffff,3.0,0.0,0.0
8322dbfffffffff,13.0,0.0,5.0
8324d6fffffffff,1.0,0.0,0.0
832626fffffffff,6.0,0.0,0.0
832680fffffffff,19.0,0.0,0.0
832681fffffffff,20.0,0.0,0.0
832683fffffffff,6.0,0.0,0.0
832685fffffffff,215.0,0.0,9.0
83268afffffffff,2.0,0.0,0.0
