cell_id,Turdus assimilis,Turdus assimilis [assimilis Group],Turdus assimilis daguae
834520fffffffff,147.0,0.0,0.0
834521fffffffff,52.0,0.0,0.0
834522fffffffff,212.0,0.0,0.0
834523fffffffff,60.0,4.0,0.0
834524fffffffff,8.0,0.0,0.0
834525fffffffff,38.0,0.0,0.0
834526fffffffff,103.0,0.0,0.0
834528fffffffff,46.0,0.0,0.0
83452afffffffff,66.0,0.0,0.0
83452cfffffffff,64.0,0.0,0.0
83452dfffffffff,23.0,8.0,0.0
83452efffffffff,661.0,17.0,0.0
834530fffffffff,7.0,0.0,0.0
834534fffffffff,6.0,0.0,0.0
834535fffffffff,56.0,0.0,0.0
834564fffffffff,6.0,0.0,0.0
834802fffffffff,5.0,0.0,0.0
834803fffffffff,4.0,0.0,0.0
83480afffffffff,136.0,0.0,0.0
834814fffffffff,2.0,0.0,0.0
834815fffffffff,5.0,0.0,0.0
834819fffffffff,1.0,0.0,0.0
83481dfffffffff,26.0,0.0,0.0
834830fffffffff,1.0,0.0,0.0
834832fffffffff,3.0,0.0,0.0
834833fffffffff,385.0,11.0,0.0
834836fffffffff,1766.0,70.0,0.0
8348e4fffffffff,46.0,0.0,0.0
834980fffffffff,182.0,0.0,0.0
834985fffffffff,62.0,9.0,0.0
834986fffffffff,325.0,18.0,0.0
83498cfffffffff,26.0,0.0,0.0
83498dfffffffff,4.0,0.0,0.0
834990fffffffff,27.0,0.0,0.0
834991fffffffff,53.0,0.0,0.0
834994fffffffff,2.0,0.0,0.0
834995fffffffff,698.0,57.0,0.0
834996fffffffff,189.0,36.0,0.0
834998fffffffff,233.0,0.0,0.0
83499bfffffffff,8.0,0.0,0.0
83499cfffffffff,39.0,0.0,0.0
83499efffffffff,13.0,0.0,0.0
8349a8fffffffff,657.0,16.0,0.0
8349a9fffffffff,1101.0,45.0,0.0
8349aafffffffff,155.0,10.0,0.0
8349abfffffffff,127.0,1.0,0.0
8349adfffffffff,4.0,0.0,0.0
8349b0fffffffff,9.0,0.0,0.0
8349b1fffffffff,64.0,0.0,0.0
8349b3fffffffff,387.0,9.0,0.0
8349b5fffffffff,142.0,0.0,0.0
8349b6fffffffff,27.0,0.0,0.0
836612fffffffff,3.0,0.0,0.0
836613fffffffff,15.0,0.0,2.0
83661afffffffff,6.0,0.0,0.0
83661efffffffff,6.0,0.0,0.0
836684fffffffff,70.0,3.0,0.0
8366a0fffffffff,46.0,0.0,0.0
8366a2fffffffff,31.0,0.0,0.0
8366a3fffffffff,60.0,15.0,0.0
8366a5fffffffff,207.0,12.0,0.0
8366b0fffffffff,178.0,0.0,0.0
8366b1fffffffff,2.0,2.0,0.0
8366b4fffffffff,824.0,0.0,0.0
8366b5fffffffff,3312.0,59.0,0.0
8366b6fffffffff,2.0,0.0,0.0
8366d0fffffffff,43.0,0.0,18.0
8366d2fffffffff,16.0,0.0,9.0
8366d3fffffffff,6.0,0.0,0.0
8366f0fffffffff,14.0,0.0,0.0
8366f1fffffffff,2.0,0.0,0.0
8366f3fffffffff,2.0,0.0,0.0
8366f5fffffffff,7.0,0.0,0.0
836794fffffffff,5.0,0.0,0.0
836796fffffffff,58.0,0.0,0.0
83679afffffffff,63.0,0.0,0.0
836d04fffffffff,14.0,0.0,0.0
836d05fffffffff,492.0,183.0,0.0
836d14fffffffff,6.0,1.0,0.0
836d15fffffffff,1.0,0.0,0.0
836d20fffffffff,7.0,0.0,0.0
836d21fffffffff,24.0,14.0,0.0
836d22fffffffff,29.0,2.0,0.0
836d23fffffffff,148.0,31.0,0.0
836d28fffffffff,42.0,0.0,0.0
836d29fffffffff,245.0,0.0,0.0
836d2afffffffff,116.0,7.0,0.0
836d2bfffffffff,1558.0,0.0,0.0
836d2cfffffffff,67.0,5.0,0.0
836d2dfffffffff,96.0,0.0,0.0
836d2efffffffff,16.0,0.0,0.0
836d30fffffffff,271.0,30.0,0.0
836d31fffffffff,13.0,2.0,0.0
836d32fffffffff,207.0,12.0,0.0
836d33fffffffff,686.0,97.0,0.0
836d34fffffffff,56.0,7.0,0.0
836d35fffffffff,259.0,24.0,0.0
836d36fffffffff,70.0,1.0,0.0
836d60fffffffff,39.0,0.0,0.0
836d61fffffffff,3.0,0.0,0.0
836d65fffffffff,58.0,0.0,0.0
836d68fffffffff,555.0,0.0,0.0
836d69fffffffff,4392.0,0.0,0.0
836d6dfffffffff,10.0,0.0,0.0
836d74fffffffff,273.0,0.0,0.0
836d75fffffffff,5.0,0.0,0.0
