cell_id,Cepphus columba,Cepphus columba snowi,Cepphus columba [columba Group]
840c415ffffffff,2.0,0.0,0.0
840c421ffffffff,3.0,0.0,0.0
840c42dffffffff,5.0,0.0,2.0
840c507ffffffff,1.0,0.0,0.0
840c515ffffffff,1.0,0.0,0.0
840c51dffffffff,6.0,0.0,0.0
840c5a5ffffffff,5.0,0.0,0.0
840c5a7ffffffff,11.0,0.0,0.0
840c5adffffffff,14.0,0.0,0.0
840ca43ffffffff,65.0,0.0,0.0
840cc49ffffffff,5.0,0.0,0.0
840cd8dffffffff,2.0,0.0,0.0
841295dffffffff,1.0,0.0,0.0
8412987ffffffff,4.0,0.0,0.0
84129a1ffffffff,2.0,0.0,0.0
84129bbffffffff,1.0,0.0,1.0
8412b03ffffffff,1.0,0.0,0.0
8412b4bffffffff,1.0,0.0,0.0
8413939ffffffff,1.0,0.0,0.0
8422d01ffffffff,3.0,0.0,0.0
8422d09ffffffff,2.0,0.0,0.0
8422d0bffffffff,22.0,0.0,0.0
8422d1dffffffff,5.0,0.0,0.0
8422db7ffffffff,5.0,0.0,0.0
8422e99ffffffff,2.0,0.0,0.0
8422ed3ffffffff,3.0,0.0,0.0
8428005ffffffff,8.0,0.0,0.0
8428023ffffffff,7.0,0.0,0.0
842802bffffffff,24.0,0.0,0.0
8428035ffffffff,4.0,0.0,0.0
8428063ffffffff,5.0,0.0,0.0
8428069ffffffff,6.0,0.0,0.0
842806bffffffff,12.0,0.0,0.0
8428183ffffffff,2.0,0.0,0.0
8428195ffffffff,18.0,0.0,0.0
842819dffffffff,3.0,0.0,0.0
84281b3ffffffff,23.0,0.0,0.0
84281c3ffffffff,3.0,0.0,1.0
84281cbffffffff,24.0,0.0,0.0
84281ddffffffff,3.0,0.0,0.0
8428309ffffffff,71.0,0.0,1.0
842830bffffffff,2.0,0.0,0.0
8428313ffffffff,29.0,0.0,0.0
8428319ffffffff,1.0,0.0,0.0
842831dffffffff,4.0,0.0,0.0
8428341ffffffff,41.0,0.0,0.0
8428343ffffffff,113.0,0.0,0.0
8428347ffffffff,3.0,0.0,0.0
8428349ffffffff,83.0,0.0,0.0
842834dffffffff,195.0,0.0,11.0
8428355ffffffff,717.0,0.0,0.0
8428357ffffffff,38.0,0.0,0.0
8428c25ffffffff,2.0,0.0,0.0
8428c61ffffffff,5.0,0.0,1.0
8428c6bffffffff,24.0,0.0,0.0
8428ce5ffffffff,2.0,0.0,0.0
8428d11ffffffff,8.0,0.0,0.0
8428d13ffffffff,2.0,0.0,0.0
8428d15ffffffff,1.0,0.0,0.0
8428d17ffffffff,2.0,0.0,0.0
8428d19ffffffff,13.0,0.0,0.0
8428d1dffffffff,1.0,0.0,1.0
8428d57ffffffff,1.0,0.0,0.0
8428d83ffffffff,10.0,0.0,0.0
8428d8dffffffff,2.0,0.0,0.0
8428dd5ffffffff,5.0,0.0,0.0
8428ddbffffffff,3.0,0.0,0.0
8428debffffffff,1.0,0.0,1.0
8428e65ffffffff,5.0,0.0,0.0
8428f11ffffffff,1.0,0.0,0.0
8428f19ffffffff,2.0,0.0,0.0
8428f51ffffffff,1.0,0.0,0.0
8428f59ffffffff,11.0,0.0,0.0
8428f5bffffffff,1.0,0.0,0.0
8429121ffffffff,13.0,0.0,1.0
8429123ffffffff,14.0,0.0,0.0
8429125ffffffff,3.0,0.0,0.0
8429127ffffffff,3.0,0.0,1.0
842912bffffffff,3.0,0.0,0.0
842912dffffffff,16.0,0.0,0.0
8429135ffffffff,3.0,0.0,0.0
842913dffffffff,4.0,0.0,0.0
84291a5ffffffff,1.0,0.0,0.0
84291a7ffffffff,32.0,0.0,11.0
8429a19ffffffff,10.0,0.0,0.0
8429a41ffffffff,18.0,0.0,0.0
8429a43ffffffff,2.0,0.0,0.0
8429a4bffffffff,11.0,0.0,0.0
8429a53ffffffff,2.0,0.0,0.0
8429a55ffffffff,41.0,0.0,0.0
8429a57ffffffff,19.0,0.0,0.0
8429a59ffffffff,12.0,0.0,0.0
8429ad1ffffffff,43.0,0.0,0.0
8429ad9ffffffff,11.0,0.0,0.0
8429adbffffffff,1.0,0.0,0.0
8429addffffffff,9.0,0.0,0.0
842ea3dffffffff,1.0,0.0,1.0
84484a7ffffffff,1.0,0.0,0.0
