cell_id,Xiphorhynchus erythropygius,Xiphorhynchus erythropygius erythropygius/parvus,Xiphorhynchus erythropygius [aequatorialis Group]
824527fffffffff,388.0,0.0,0.0
82452ffffffffff,42.0,0.0,0.0
824537fffffffff,220.0,0.0,0.0
824997fffffffff,32.0,0.0,0.0
82499ffffffffff,2.0,0.0,0.0
826617fffffffff,169.0,0.0,12.0
82661ffffffffff,719.0,0.0,51.0
8266a7fffffffff,2703.0,0.0,139.0
8266b7fffffffff,3310.0,0.0,6.0
8266d7fffffffff,5532.0,0.0,640.0
8266e7fffffffff,14.0,0.0,0.0
8266f7fffffffff,893.0,0.0,18.0
826797fffffffff,60.0,0.0,0.0
82679ffffffffff,128.0,0.0,0.0
826d07fffffffff,25.0,0.0,0.0
826d27fffffffff,116.0,29.0,0.0
826d2ffffffffff,2370.0,577.0,0.0
826d37fffffffff,106.0,15.0,0.0
826d67fffffffff,932.0,0.0,0.0
826d6ffffffffff,6706.0,0.0,0.0
828f0ffffffffff,662.0,0.0,91.0
828f2ffffffffff,264.0,0.0,11.0
828f77fffffffff,4.0,0.0,0.0
