cell_id,Amazona farinosa,Amazona farinosa guatemalae/virenticeps,Amazona farinosa farinosa
824507fffffffff,1.0,0.0,0.0
824527fffffffff,758.0,12.0,0.0
82452ffffffffff,5626.0,271.0,0.0
824537fffffffff,197.0,0.0,0.0
825f07fffffffff,131.0,0.0,6.0
825f0ffffffffff,113.0,0.0,0.0
825f17fffffffff,24.0,0.0,0.0
825f1ffffffffff,6.0,0.0,0.0
825f2ffffffffff,872.0,0.0,0.0
825f47fffffffff,80.0,0.0,0.0
825f57fffffffff,18.0,0.0,0.0
825f6ffffffffff,44.0,0.0,0.0
825f77fffffffff,124.0,0.0,2.0
826607fffffffff,117.0,0.0,0.0
82660ffffffffff,344.0,0.0,6.0
826617fffffffff,3059.0,0.0,0.0
82661ffffffffff,765.0,0.0,2.0
826627fffffffff,32.0,0.0,0.0
82662ffffffffff,86.0,0.0,0.0
826637fffffffff,5.0,0.0,0.0
826647fffffffff,991.0,0.0,67.0
82664ffffffffff,24.0,0.0,0.0
826657fffffffff,75.0,0.0,0.0
82665ffffffffff,770.0,0.0,53.0
826667fffffffff,34.0,0.0,0.0
82666ffffffffff,35.0,0.0,3.0
826677fffffffff,15.0,0.0,0.0
826687fffffffff,12.0,0.0,0.0
8266a7fffffffff,4998.0,0.0,160.0
8266affffffffff,2.0,0.0,0.0
8266b7fffffffff,2798.0,0.0,0.0
8266c7fffffffff,362.0,0.0,0.0
8266cffffffffff,152.0,0.0,2.0
8266d7fffffffff,1021.0,0.0,60.0
8266dffffffffff,2420.0,0.0,169.0
8266e7fffffffff,118.0,0.0,0.0
8266effffffffff,451.0,0.0,4.0
8266f7fffffffff,323.0,0.0,2.0
826757fffffffff,20.0,0.0,0.0
826797fffffffff,122.0,0.0,0.0
82679ffffffffff,2660.0,0.0,0.0
826d07fffffffff,1.0,0.0,0.0
826d27fffffffff,71.0,5.0,0.0
826d2ffffffffff,265.0,58.0,0.0
826d37fffffffff,337.0,26.0,0.0
826d6ffffffffff,8195.0,0.0,0.0
828047fffffffff,181.0,0.0,1.0
82804ffffffffff,33.0,0.0,1.0
828067fffffffff,137.0,0.0,0.0
82806ffffffffff,5.0,0.0,0.0
828077fffffffff,18.0,0.0,2.0
828137fffffffff,7.0,0.0,0.0
828147fffffffff,5.0,0.0,0.0
82814ffffffffff,64.0,0.0,0.0
82815ffffffffff,28.0,0.0,0.0
828a07fffffffff,121.0,0.0,22.0
828a17fffffffff,6.0,0.0,0.0
828a1ffffffffff,2.0,0.0,0.0
828a27fffffffff,52.0,0.0,3.0
828a2ffffffffff,2.0,0.0,0.0
828a37fffffffff,7.0,0.0,4.0
828a47fffffffff,181.0,0.0,6.0
828a4ffffffffff,20.0,0.0,0.0
828a57fffffffff,12.0,0.0,0.0
828a5ffffffffff,3.0,0.0,3.0
828a6ffffffffff,531.0,0.0,0.0
828a87fffffffff,65.0,0.0,3.0
828a8ffffffffff,3.0,0.0,0.0
828a97fffffffff,7.0,0.0,0.0
828a9ffffffffff,37.0,0.0,1.0
828aaffffffffff,102.0,0.0,7.0
828ac7fffffffff,2.0,0.0,0.0
828adffffffffff,13.0,0.0,0.0
828ae7fffffffff,2.0,0.0,0.0
828af7fffffffff,721.0,0.0,69.0
828b07fffffffff,2.0,0.0,0.0
828b0ffffffffff,14.0,0.0,2.0
828b17fffffffff,2.0,0.0,0.0
828b1ffffffffff,6.0,0.0,0.0
828b27fffffffff,91.0,0.0,1.0
828b2ffffffffff,18.0,0.0,0.0
828b47fffffffff,1854.0,0.0,56.0
828b4ffffffffff,23.0,0.0,3.0
828b57fffffffff,70.0,0.0,0.0
828b5ffffffffff,69.0,0.0,4.0
828b67fffffffff,854.0,0.0,66.0
828b6ffffffffff,198.0,0.0,2.0
828b77fffffffff,202.0,0.0,19.0
828b87fffffffff,3.0,0.0,0.0
828b8ffffffffff,19.0,0.0,4.0
828b9ffffffffff,115.0,0.0,5.0
828ba7fffffffff,43.0,0.0,0.0
828baffffffffff,3.0,0.0,0.0
828e67fffffffff,6.0,0.0,0.0
828f27fffffffff,3.0,0.0,0.0
828f2ffffffffff,42.0,0.0,0.0
828f47fffffffff,26.0,0.0,0.0
828f4ffffffffff,115.0,0.0,0.0
828f5ffffffffff,6.0,0.0,0.0
828f67fffffffff,197.0,0.0,0.0
828f6ffffffffff,104.0,0.0,4.0
828f77fffffffff,14.0,0.0,0.0
82a597fffffffff,5.0,0.0,4.0
82a817fffffffff,556.0,0.0,14.0
82a85ffffffffff,2.0,0.0,0.0
82a887fffffffff,45.0,0.0,8.0
82a897fffffffff,238.0,0.0,42.0
82a8a7fffffffff,6.0,0.0,0.0
82b327fffffffff,18.0,0.0,0.0
