cell_id,Chlorochrysa calliparaea,Chlorochrysa calliparaea calliparaea/bourcieri,Chlorochrysa calliparaea fulgentissima
8266c7fffffffff,769.0,1.0,0.0
8266d7fffffffff,11.0,0.0,0.0
8266dffffffffff,1130.0,50.0,0.0
8266e7fffffffff,27.0,0.0,0.0
828b27fffffffff,7.0,0.0,0.0
828b2ffffffffff,27.0,0.0,0.0
828b67fffffffff,1080.0,0.0,19.0
828b6ffffffffff,1.0,0.0,0.0
828b77fffffffff,2.0,0.0,0.0
828e67fffffffff,40.0,0.0,0.0
828f2ffffffffff,2.0,0.0,0.0
828f47fffffffff,157.0,8.0,0.0
828f4ffffffffff,45.0,0.0,0.0
828f57fffffffff,3.0,0.0,0.0
828f5ffffffffff,4.0,0.0,0.0
828f77fffffffff,895.0,69.0,0.0
82b327fffffffff,3.0,0.0,0.0
