cell_id,Pyrocephalus nanus,Pyrocephalus nanus nanus,Pyrocephalus nanus dubius
846c587ffffffff,2.0,1.0,0.0
846c58bffffffff,1.0,1.0,0.0
846c595ffffffff,2.0,0.0,0.0
846c597ffffffff,2.0,0.0,0.0
846c5a3ffffffff,1.0,0.0,0.0
846c5abffffffff,6.0,2.0,0.0
846c5b1ffffffff,241.0,131.0,0.0
846c5b5ffffffff,30.0,18.0,0.0
846c5b9ffffffff,47.0,14.0,0.0
846c5bbffffffff,108.0,35.0,0.0
846c5bdffffffff,39.0,11.0,0.0
