cell_id,Petrochelidon pyrrhonota,Petrochelidon pyrrhonota [pyrrhonota Group],Petrochelidon pyrrhonota melanogaster
8407433ffffffff,2.0,0.0,0.0
84075d1ffffffff,6.0,0.0,0.0
8407731ffffffff,3.0,0.0,0.0
840c141ffffffff,2.0,0.0,0.0
840c143ffffffff,6.0,0.0,0.0
840c145ffffffff,3.0,0.0,0.0
840c147ffffffff,5.0,0.0,0.0
840c149ffffffff,3.0,0.0,0.0
840c14bffffffff,6.0,0.0,0.0
840c15dffffffff,4.0,0.0,0.0
840c1b1ffffffff,11.0,0.0,0.0
840c309ffffffff,2.0,0.0,0.0
840c335ffffffff,12.0,0.0,0.0
840c51dffffffff,1.0,0.0,0.0
840c5a5ffffffff,27.0,0.0,0.0
840c621ffffffff,3.0,0.0,0.0
840c665ffffffff,4.0,0.0,0.0
840c66dffffffff,2.0,0.0,0.0
840c705ffffffff,2.0,0.0,0.0
840c71bffffffff,1.0,0.0,0.0
840c733ffffffff,4.0,0.0,0.0
840c735ffffffff,6.0,0.0,0.0
840c74bffffffff,1.0,0.0,0.0
840c759ffffffff,2.0,0.0,0.0
840ca43ffffffff,21.0,0.0,0.0
840d039ffffffff,1.0,0.0,0.0
840d093ffffffff,6.0,0.0,0.0
840d499ffffffff,2.0,0.0,0.0
840d4a1ffffffff,3.0,0.0,0.0
840d4d5ffffffff,2.0,0.0,0.0
840d569ffffffff,2.0,0.0,0.0
840d5a9ffffffff,1.0,0.0,0.0
840d625ffffffff,1.0,0.0,0.0
840d753ffffffff,1.0,0.0,0.0
840ec81ffffffff,4.0,0.0,0.0
840ec85ffffffff,3.0,0.0,0.0
840ec8dffffffff,1.0,0.0,0.0
840ec95ffffffff,4.0,0.0,0.0
840eca7ffffffff,2.0,0.0,0.0
840ecc1ffffffff,2.0,0.0,0.0
840ecc9ffffffff,6.0,0.0,0.0
840eea7ffffffff,21.0,0.0,0.0
8412307ffffffff,1.0,0.0,0.0
8412893ffffffff,2.0,0.0,0.0
8412a37ffffffff,4.0,0.0,0.0
8412b01ffffffff,2.0,0.0,0.0
8412b03ffffffff,2.0,0.0,0.0
8412b35ffffffff,2.0,0.0,0.0
8412b43ffffffff,2.0,0.0,0.0
8412b4bffffffff,9.0,0.0,0.0
8412c11ffffffff,2.0,0.0,0.0
8412c1bffffffff,1.0,0.0,0.0
8412c1dffffffff,2.0,0.0,0.0
8412c31ffffffff,2.0,0.0,0.0
8412c39ffffffff,2.0,0.0,0.0
8412c3bffffffff,2.0,0.0,0.0
8412c83ffffffff,2.0,0.0,0.0
8412c97ffffffff,2.0,0.0,0.0
8412cbbffffffff,3.0,0.0,0.0
8412cbdffffffff,2.0,0.0,0.0
8412cc1ffffffff,13.0,0.0,0.0
8412ccdffffffff,11.0,0.0,0.0
8412ce7ffffffff,2.0,0.0,0.0
8412d19ffffffff,7.0,0.0,0.0
8412d47ffffffff,1.0,0.0,0.0
8412db1ffffffff,2.0,0.0,0.0
8412dd7ffffffff,2.0,0.0,0.0
8412ddbffffffff,2.0,0.0,0.0
8412de5ffffffff,1.0,0.0,0.0
8412e89ffffffff,2.0,2.0,0.0
8412ea1ffffffff,2.0,0.0,0.0
8412ea5ffffffff,1.0,0.0,0.0
8412eb1ffffffff,2.0,0.0,0.0
8412ec1ffffffff,2.0,0.0,0.0
8413807ffffffff,7.0,0.0,0.0
8413829ffffffff,23.0,0.0,0.0
841382dffffffff,2.0,0.0,0.0
841383bffffffff,2.0,0.0,0.0
841383dffffffff,26.0,0.0,0.0
8413861ffffffff,16.0,0.0,0.0
8413867ffffffff,5.0,0.0,0.0
8413889ffffffff,2.0,0.0,0.0
84138c7ffffffff,15.0,0.0,0.0
84138edffffffff,2.0,0.0,0.0
841395dffffffff,2.0,0.0,0.0
84139e1ffffffff,4.0,0.0,0.0
8413a65ffffffff,2.0,0.0,0.0
8413b23ffffffff,1.0,0.0,0.0
8413b35ffffffff,1.0,0.0,0.0
84165e1ffffffff,2.0,0.0,0.0
841828bffffffff,1.0,0.0,0.0
8418729ffffffff,2.0,0.0,0.0
841873bffffffff,2.0,0.0,0.0
8419413ffffffff,1.0,0.0,0.0
841948dffffffff,4.0,0.0,0.0
841aa07ffffffff,34.0,0.0,0.0
841aa21ffffffff,2.0,0.0,0.0
841aa23ffffffff,2.0,0.0,0.0
841aa27ffffffff,2.0,0.0,0.0
841aa29ffffffff,3.0,0.0,0.0
841aa35ffffffff,10.0,0.0,0.0
841aa4dffffffff,2.0,0.0,0.0
841aa63ffffffff,2.0,0.0,0.0
841aad7ffffffff,1.0,0.0,0.0
841ab0bffffffff,2.0,0.0,0.0
8422db7ffffffff,70.0,0.0,0.0
8426009ffffffff,5.0,0.0,0.0
842600bffffffff,2.0,0.0,0.0
8426083ffffffff,1.0,0.0,0.0
8426085ffffffff,2.0,2.0,0.0
