cell_id,Ploceus rubiginosus,Ploceus rubiginosus trothae,Ploceus rubiginosus rubiginosus
847a401ffffffff,5.0,0.0,0.0
847a407ffffffff,5.0,0.0,0.0
847a409ffffffff,1.0,0.0,0.0
847a413ffffffff,1.0,0.0,1.0
847a457ffffffff,1.0,0.0,0.0
847a509ffffffff,1.0,0.0,0.0
847a581ffffffff,2.0,0.0,0.0
847a603ffffffff,4.0,0.0,0.0
847a609ffffffff,8.0,0.0,0.0
847a659ffffffff,2.0,0.0,2.0
847a683ffffffff,1.0,0.0,0.0
847a711ffffffff,1.0,0.0,0.0
847ac81ffffffff,1.0,0.0,0.0
847ac87ffffffff,2.0,0.0,0.0
847ae85ffffffff,1.0,0.0,0.0
847b4a1ffffffff,1.0,0.0,0.0
8496907ffffffff,4.0,0.0,0.0
8496921ffffffff,2.0,0.0,0.0
84ac961ffffffff,2.0,0.0,0.0
