cell_id,Elaenia albiceps,Elaenia albiceps [albiceps Group],Elaenia albiceps chilensis,Elaenia albiceps modesta
842719dffffffff,2.0,0.0,2.0,0.0
8448b23ffffffff,2.0,0.0,1.0,0.0
8466c25ffffffff,6.0,2.0,0.0,0.0
8466d11ffffffff,1.0,0.0,0.0,0.0
8466d19ffffffff,1.0,0.0,0.0,0.0
8466d33ffffffff,14.0,0.0,0.0,0.0
8466d53ffffffff,6.0,0.0,0.0,0.0
8466e65ffffffff,2.0,0.0,0.0,0.0
8480109ffffffff,3.0,0.0,3.0,0.0
848030dffffffff,2.0,0.0,2.0,0.0
8481023ffffffff,3.0,0.0,3.0,0.0
8481303ffffffff,3.0,0.0,3.0,0.0
8481449ffffffff,2.0,0.0,2.0,0.0
8481635ffffffff,3.0,0.0,3.0,0.0
84818d9ffffffff,2.0,0.0,2.0,0.0
848a051ffffffff,3.0,0.0,2.0,0.0
848b211ffffffff,1.0,0.0,1.0,0.0
848b241ffffffff,1.0,0.0,0.0,0.0
848b44bffffffff,1.0,0.0,0.0,0.0
848b617ffffffff,2.0,2.0,0.0,0.0
848b691ffffffff,2.0,0.0,0.0,0.0
848b693ffffffff,1.0,0.0,0.0,0.0
848e629ffffffff,1.0,0.0,0.0,0.0
848e62dffffffff,2.0,0.0,0.0,0.0
848f0d3ffffffff,2.0,1.0,0.0,0.0
848f0dbffffffff,7.0,0.0,0.0,0.0
848f4a5ffffffff,2.0,2.0,0.0,0.0
848f4b3ffffffff,5.0,0.0,0.0,0.0
848f501ffffffff,5.0,0.0,0.0,0.0
848f50dffffffff,14.0,0.0,0.0,0.0
848f559ffffffff,1.0,0.0,0.0,0.0
848f55bffffffff,2.0,0.0,2.0,0.0
848f765ffffffff,2.0,0.0,0.0,0.0
84a8101ffffffff,20.0,0.0,20.0,0.0
84a8105ffffffff,2.0,0.0,0.0,0.0
84a8109ffffffff,9.0,0.0,9.0,0.0
84a8127ffffffff,7.0,0.0,5.0,0.0
84a8155ffffffff,2.0,0.0,2.0,0.0
84a81edffffffff,8.0,0.0,8.0,0.0
84a8207ffffffff,2.0,0.0,2.0,0.0
84a8211ffffffff,3.0,0.0,3.0,0.0
84a8353ffffffff,3.0,0.0,3.0,0.0
84a8919ffffffff,1.0,0.0,1.0,0.0
84a8a03ffffffff,3.0,0.0,3.0,0.0
84a8a13ffffffff,4.0,0.0,4.0,0.0
84a8a27ffffffff,1.0,0.0,0.0,0.0
84a8a2bffffffff,2.0,0.0,2.0,0.0
84a8a35ffffffff,1.0,0.0,1.0,0.0
84a8ac9ffffffff,2.0,0.0,2.0,0.0
84a9195ffffffff,2.0,0.0,2.0,0.0
84a91b5ffffffff,2.0,0.0,2.0,0.0
84a92e1ffffffff,1.0,0.0,1.0,0.0
84a940dffffffff,1.0,0.0,0.0,0.0
84a9411ffffffff,2.0,0.0,0.0,0.0
84a941bffffffff,5.0,0.0,0.0,0.0
84a9441ffffffff,3.0,0.0,0.0,0.0
84a945bffffffff,4.0,0.0,0.0,0.0
84a9465ffffffff,2.0,0.0,0.0,0.0
84a946bffffffff,3.0,0.0,0.0,0.0
84a94e5ffffffff,9.0,0.0,0.0,0.0
84a950bffffffff,3.0,0.0,0.0,0.0
84a9531ffffffff,2.0,0.0,0.0,0.0
84a953bffffffff,10.0,0.0,0.0,0.0
84a9551ffffffff,2.0,0.0,0.0,0.0
84a9557ffffffff,1.0,0.0,0.0,0.0
84a95c9ffffffff,2.0,0.0,0.0,0.0
84a95dbffffffff,4.0,0.0,0.0,0.0
84a95e5ffffffff,3.0,0.0,0.0,0.0
84a95edffffffff,2.0,0.0,0.0,0.0
84a9613ffffffff,2.0,0.0,0.0,0.0
84a9619ffffffff,1.0,0.0,0.0,0.0
84a9627ffffffff,3.0,0.0,0.0,0.0
84a9653ffffffff,2.0,0.0,0.0,0.0
84a96adffffffff,8.0,0.0,0.0,0.0
84a96c5ffffffff,16.0,0.0,0.0,0.0
84b209bffffffff,3.0,0.0,0.0,0.0
84b2197ffffffff,5.0,0.0,3.0,0.0
84b219dffffffff,2.0,0.0,0.0,0.0
84b2247ffffffff,10.0,0.0,0.0,0.0
84b2261ffffffff,4.0,0.0,0.0,0.0
84b2263ffffffff,1.0,0.0,0.0,0.0
84b226bffffffff,2.0,0.0,0.0,0.0
84b2413ffffffff,2.0,0.0,0.0,0.0
84b2435ffffffff,7.0,0.0,0.0,0.0
84b243dffffffff,1.0,0.0,0.0,0.0
84b2499ffffffff,6.0,0.0,0.0,0.0
84b249dffffffff,2.0,0.0,0.0,0.0
84b24d1ffffffff,2.0,0.0,0.0,0.0
84b24d3ffffffff,21.0,0.0,0.0,0.0
84b24d5ffffffff,5.0,0.0,0.0,0.0
84b24d7ffffffff,4.0,0.0,0.0,0.0
84b24d9ffffffff,2.0,0.0,0.0,0.0
84b24dbffffffff,16.0,0.0,0.0,0.0
84b24edffffffff,3.0,0.0,0.0,0.0
84b2525ffffffff,4.0,2.0,0.0,0.0
84b2589ffffffff,1.0,0.0,0.0,0.0
84b2591ffffffff,19.0,0.0,0.0,0.0
84b25c1ffffffff,1.0,0.0,0.0,0.0
84b25cbffffffff,2.0,0.0,0.0,0.0
84b25d1ffffffff,3.0,0.0,0.0,0.0
84b25e1ffffffff,4.0,0.0,0.0,0.0
84b25e3ffffffff,17.0,0.0,0.0,0.0
84b2691ffffffff,6.0,0.0,0.0,0.0
84b26bbffffffff,2.0,0.0,0.0,0.0
84b26bdffffffff,7.0,0.0,0.0,0.0
84b26d7ffffffff,6.0,0.0,0.0,0.0
84b275bffffffff,10.0,0.0,0.0,0.0
84b2c0bffffffff,2.0,0.0,0.0,0.0
84b2c0dffffffff,4.0,0.0,4.0,0.0
84b2c15ffffffff,1.0,0.0,0.0,0.0
84b2c41ffffffff,30.0,0.0,2.0,0.0
84b2c43ffffffff,31.0,0.0,0.0,0.0
84b2c47ffffffff,4.0,0.0,2.0,0.0
84b2c49ffffffff,2.0,0.0,0.0,0.0
84b2c4bffffffff,32.0,0.0,6.0,0.0
84b2c4dffffffff,8.0,0.0,4.0,0.0
84b2c51ffffffff,2.0,0.0,2.0,0.0
84b2c55ffffffff,4.0,0.0,2.0,0.0
84b2c57ffffffff,2.0,0.0,2.0,0.0
84b2c85ffffffff,1.0,0.0,0.0,0.0
84b2c8dffffffff,4.0,0.0,4.0,0.0
84b2cddffffffff,1.0,0.0,0.0,0.0
84b2ce5ffffffff,5.0,0.0,5.0,0.0
84b2d93ffffffff,1.0,0.0,1.0,0.0
84b2db7ffffffff,2.0,0.0,2.0,0.0
84b2e33ffffffff,4.0,0.0,2.0,0.0
84b2e3dffffffff,2.0,0.0,0.0,0.0
84b2e4dffffffff,1.0,0.0,1.0,0.0
84b2ea7ffffffff,4.0,0.0,0.0,0.0
84b2eadffffffff,1.0,0.0,0.0,0.0
84b2ee1ffffffff,4.0,0.0,0.0,0.0
84b2ee7ffffffff,1.0,0.0,0.0,0.0
84b3009ffffffff,9.0,0.0,0.0,9.0
84b3011ffffffff,2.0,0.0,0.0,2.0
84b3013ffffffff,2.0,0.0,0.0,2.0
84b3015ffffffff,2.0,0.0,0.0,2.0
84b3017ffffffff,2.0,0.0,0.0,2.0
84b301dffffffff,5.0,0.0,0.0,5.0
84b305dffffffff,1.0,0.0,0.0,1.0
84b30a7ffffffff,2.0,0.0,0.0,2.0
84b30bdffffffff,2.0,0.0,0.0,0.0
84b30e1ffffffff,2.0,0.0,0.0,2.0
84b30ebffffffff,1.0,0.0,0.0,1.0
84b3253ffffffff,2.0,0.0,2.0,0.0
84b34b9ffffffff,2.0,0.0,0.0,0.0
84b34d7ffffffff,2.0,0.0,0.0,0.0
84b3511ffffffff,2.0,2.0,0.0,0.0
84b35b5ffffffff,4.0,0.0,0.0,0.0
84b35e9ffffffff,1.0,0.0,0.0,0.0
84b3699ffffffff,1.0,0.0,1.0,0.0
84b3731ffffffff,3.0,0.0,0.0,0.0
84c2037ffffffff,2.0,0.0,0.0,0.0
84c205bffffffff,1.0,0.0,0.0,0.0
84c2c17ffffffff,2.0,0.0,0.0,0.0
84c2c4dffffffff,7.0,0.0,0.0,0.0
84c2c53ffffffff,8.0,0.0,0.0,0.0
84c2c5bffffffff,2.0,0.0,0.0,0.0
84c2c8dffffffff,2.0,0.0,0.0,0.0
84c2c91ffffffff,4.0,0.0,0.0,0.0
84c2c97ffffffff,9.0,0.0,0.0,0.0
84c2cb1ffffffff,10.0,0.0,0.0,0.0
84c2cd3ffffffff,13.0,0.0,0.0,0.0
84c2ce7ffffffff,2.0,0.0,0.0,0.0
84c2d93ffffffff,4.0,0.0,4.0,0.0
84c2e23ffffffff,2.0,0.0,0.0,0.0
84c2e31ffffffff,4.0,0.0,0.0,0.0
84c2e99ffffffff,2.0,0.0,0.0,0.0
84c2eb9ffffffff,2.0,0.0,0.0,0.0
84c2ebbffffffff,2.0,0.0,0.0,0.0
84c2f11ffffffff,25.0,0.0,0.0,0.0
84c2f2bffffffff,4.0,0.0,0.0,0.0
84c3543ffffffff,1.0,0.0,0.0,0.0
84ce819ffffffff,9.0,0.0,7.0,0.0
84ce81bffffffff,2.0,0.0,0.0,0.0
84ce85bffffffff,12.0,0.0,9.0,0.0
84ce8a9ffffffff,2.0,0.0,0.0,0.0
84ce8c1ffffffff,19.0,0.0,0.0,0.0
84ce8e5ffffffff,3.0,0.0,3.0,0.0
84ce931ffffffff,2.0,0.0,0.0,0.0
84ce989ffffffff,1.0,0.0,0.0,0.0
84ce991ffffffff,2.0,2.0,0.0,0.0
84ce9d3ffffffff,4.0,0.0,0.0,0.0
84cea03ffffffff,2.0,0.0,0.0,0.0
84cea11ffffffff,1.0,0.0,0.0,0.0
84cea39ffffffff,11.0,0.0,11.0,0.0
84cea89ffffffff,2.0,0.0,0.0,0.0
84ceaa5ffffffff,2.0,0.0,2.0,0.0
84ceaa9ffffffff,8.0,0.0,8.0,0.0
84ceac1ffffffff,30.0,0.0,30.0,0.0
84ceae5ffffffff,5.0,0.0,4.0,0.0
84ceae7ffffffff,4.0,0.0,4.0,0.0
84cf129ffffffff,1.0,0.0,0.0,0.0
84cf135ffffffff,2.0,0.0,0.0,0.0
84cf885ffffffff,3.0,0.0,3.0,0.0
84cfa23ffffffff,2.0,0.0,0.0,0.0
84cfacdffffffff,5.0,0.0,0.0,0.0
84de743ffffffff,2.0,0.0,0.0,0.0
84de753ffffffff,3.0,0.0,0.0,0.0
84df287ffffffff,3.0,1.0,0.0,0.0
84df459ffffffff,4.0,0.0,4.0,0.0
84df481ffffffff,1.0,0.0,0.0,0.0
84df68bffffffff,4.0,0.0,4.0,0.0
