cell_id,Trachyphonus darnaudii,Trachyphonus darnaudii darnaudii/boehmi,Trachyphonus darnaudii usambiro,Trachyphonus darnaudii emini
836a49fffffffff,3.0,0.0,0.0,0.0
836a4afffffffff,4.0,1.0,0.0,0.0
836a4bfffffffff,14.0,2.0,0.0,0.0
836a50fffffffff,2.0,0.0,0.0,0.0
836a58fffffffff,48.0,0.0,0.0,0.0
836a5afffffffff,96.0,0.0,0.0,0.0
836a5bfffffffff,17.0,0.0,0.0,0.0
836aecfffffffff,1.0,1.0,0.0,0.0
837a40fffffffff,238.0,0.0,0.0,0.0
837a41fffffffff,338.0,17.0,0.0,0.0
837a42fffffffff,1.0,0.0,0.0,0.0
837a44fffffffff,1.0,0.0,0.0,0.0
837a45fffffffff,36.0,0.0,0.0,0.0
837a48fffffffff,124.0,0.0,0.0,0.0
837a4afffffffff,5.0,5.0,0.0,0.0
837a4bfffffffff,50.0,0.0,0.0,0.0
837a4cfffffffff,115.0,18.0,0.0,0.0
837a4efffffffff,2.0,1.0,0.0,0.0
837a53fffffffff,5.0,0.0,0.0,0.0
837a58fffffffff,1.0,0.0,0.0,0.0
837a5afffffffff,16.0,3.0,0.0,0.0
837a5efffffffff,2.0,0.0,0.0,0.0
837a60fffffffff,338.0,114.0,0.0,0.0
837a61fffffffff,109.0,2.0,0.0,0.0
837a63fffffffff,22.0,0.0,0.0,0.0
837a64fffffffff,146.0,20.0,0.0,0.0
837a65fffffffff,182.0,42.0,0.0,5.0
837a66fffffffff,2.0,0.0,0.0,0.0
837a68fffffffff,562.0,2.0,336.0,0.0
837a69fffffffff,11.0,0.0,3.0,0.0
837a6afffffffff,17.0,0.0,0.0,0.0
837a6cfffffffff,4.0,0.0,0.0,0.0
837a6dfffffffff,641.0,6.0,368.0,0.0
837a6efffffffff,83.0,11.0,1.0,0.0
837a75fffffffff,1.0,0.0,0.0,0.0
837ad9fffffffff,5.0,0.0,0.0,0.0
837ae8fffffffff,26.0,1.0,0.0,0.0
837ae9fffffffff,116.0,18.0,0.0,0.0
837aedfffffffff,21.0,3.0,0.0,0.0
837b48fffffffff,3.0,3.0,0.0,0.0
837b4bfffffffff,38.0,12.0,0.0,2.0
837b4cfffffffff,4.0,0.0,0.0,0.0
837b59fffffffff,14.0,0.0,0.0,0.0
837b6bfffffffff,1.0,0.0,0.0,0.0
839686fffffffff,3.0,0.0,0.0,0.0
839690fffffffff,204.0,23.0,0.0,20.0
839691fffffffff,2.0,0.0,0.0,0.0
839692fffffffff,95.0,19.0,0.0,2.0
839693fffffffff,343.0,13.0,181.0,0.0
83969afffffffff,72.0,0.0,52.0,0.0
8396a2fffffffff,6.0,0.0,0.0,2.0
8396b0fffffffff,6.0,0.0,0.0,3.0
8396b1fffffffff,245.0,11.0,0.0,30.0
8396b3fffffffff,1.0,0.0,0.0,0.0
8396b6fffffffff,1.0,0.0,0.0,0.0
