cell_id,Francolinus francolinus,Francolinus francolinus francolinus/arabistanicus,Francolinus francolinus [henrici Group]
832c0cfffffffff,3.0,0.0,0.0
832ce4fffffffff,8.0,4.0,0.0
832da4fffffffff,1.0,0.0,0.0
832da5fffffffff,1.0,1.0,0.0
832da8fffffffff,2.0,2.0,0.0
832db0fffffffff,4.0,0.0,0.0
832db2fffffffff,3.0,0.0,0.0
833c19fffffffff,2.0,0.0,0.0
833c1bfffffffff,3.0,0.0,0.0
833c1cfffffffff,6.0,0.0,0.0
833c32fffffffff,1.0,0.0,0.0
833c36fffffffff,4.0,0.0,0.0
833c80fffffffff,2.0,0.0,0.0
833c8dfffffffff,26.0,0.0,0.0
833ca9fffffffff,6.0,0.0,0.0
833cabfffffffff,18.0,0.0,0.0
833ce1fffffffff,1.0,0.0,0.0
833ce4fffffffff,1.0,0.0,0.0
833ce5fffffffff,28.0,0.0,0.0
833cf6fffffffff,3.0,0.0,0.0
833d15fffffffff,3.0,0.0,0.0
833d85fffffffff,3.0,0.0,0.0
833d8cfffffffff,4.0,0.0,0.0
833d8dfffffffff,1.0,0.0,0.0
833da1fffffffff,3.0,0.0,0.0
833da2fffffffff,2.0,0.0,0.0
833da6fffffffff,3.0,0.0,0.0
833dacfffffffff,2.0,0.0,0.0
833dadfffffffff,6.0,0.0,3.0
833db5fffffffff,1.0,0.0,0.0
833f4dfffffffff,1.0,1.0,0.0
8343a1fffffffff,1.0,0.0,0.0
83446efffffffff,6.0,0.0,0.0
834648fffffffff,2.0,0.0,0.0
83534dfffffffff,3.0,0.0,0.0
835d10fffffffff,4.0,0.0,0.0
