cell_id,Ploceus cucullatus,Ploceus cucullatus collaris,Ploceus cucullatus [cucullatus Group],Ploceus cucullatus nigriceps/graueri,Ploceus cucullatus spilonotus
824ba7fffffffff,44.0,0.0,0.0,0.0,0.0
824c8ffffffffff,262.0,0.0,1.0,0.0,0.0
824cc7fffffffff,158.0,0.0,3.0,0.0,0.0
824cd7fffffffff,494.0,0.0,5.0,0.0,0.0
824cf7fffffffff,212.0,0.0,1.0,0.0,0.0
825287fffffffff,25.0,0.0,0.0,0.0,0.0
825297fffffffff,25.0,0.0,3.0,0.0,0.0
82529ffffffffff,118.0,0.0,8.0,0.0,0.0
8252b7fffffffff,1.0,0.0,0.0,0.0,0.0
8252d7fffffffff,4.0,0.0,0.0,0.0,0.0
825407fffffffff,10.0,0.0,3.0,0.0,0.0
82540ffffffffff,8.0,0.0,0.0,0.0,0.0
825417fffffffff,113.0,0.0,30.0,0.0,0.0
82541ffffffffff,516.0,0.0,154.0,0.0,0.0
825447fffffffff,43.0,0.0,2.0,0.0,0.0
82544ffffffffff,2.0,0.0,0.0,0.0,0.0
825457fffffffff,4.0,0.0,1.0,0.0,0.0
8254affffffffff,919.0,0.0,160.0,0.0,0.0
8254c7fffffffff,39.0,0.0,0.0,0.0,0.0
8254cffffffffff,9.0,0.0,0.0,0.0,0.0
8254e7fffffffff,192.0,0.0,40.0,0.0,0.0
8254effffffffff,35.0,0.0,0.0,0.0,0.0
8254f7fffffffff,631.0,0.0,75.0,0.0,0.0
82580ffffffffff,2.0,0.0,0.0,0.0,0.0
825857fffffffff,4.0,0.0,0.0,0.0,0.0
82585ffffffffff,4.0,0.0,0.0,0.0,0.0
825887fffffffff,9.0,0.0,4.0,0.0,0.0
82588ffffffffff,4.0,0.0,0.0,0.0,0.0
825897fffffffff,140.0,0.0,20.0,0.0,0.0
82589ffffffffff,3.0,0.0,2.0,0.0,0.0
8258a7fffffffff,7.0,0.0,2.0,0.0,0.0
8258b7fffffffff,5.0,0.0,3.0,0.0,0.0
8258c7fffffffff,11.0,0.0,0.0,0.0,0.0
8258cffffffffff,3.0,0.0,0.0,0.0,0.0
8258d7fffffffff,26.0,0.0,11.0,0.0,0.0
8258dffffffffff,29.0,0.0,2.0,0.0,0.0
8258e7fffffffff,176.0,0.0,0.0,0.0,0.0
8258effffffffff,2.0,0.0,0.0,0.0,0.0
8258f7fffffffff,5.0,0.0,0.0,0.0,0.0
825987fffffffff,1.0,0.0,0.0,0.0,0.0
82598ffffffffff,3.0,0.0,0.0,0.0,0.0
825997fffffffff,11.0,0.0,0.0,0.0,0.0
82599ffffffffff,32.0,0.0,5.0,0.0,0.0
825e47fffffffff,29.0,0.0,0.0,0.0,0.0
825f5ffffffffff,2.0,0.0,0.0,0.0,0.0
826727fffffffff,310.0,0.0,0.0,0.0,0.0
826747fffffffff,118.0,0.0,0.0,0.0,0.0
82674ffffffffff,147.0,0.0,0.0,0.0,0.0
826757fffffffff,30.0,0.0,0.0,0.0,0.0
82675ffffffffff,53.0,0.0,0.0,0.0,0.0
826a47fffffffff,13.0,0.0,0.0,0.0,0.0
826a4ffffffffff,11.0,0.0,0.0,0.0,0.0
826a57fffffffff,2.0,0.0,2.0,0.0,0.0
826a5ffffffffff,72.0,0.0,8.0,0.0,0.0
826a67fffffffff,7.0,0.0,0.0,0.0,0.0
826a6ffffffffff,25.0,0.0,0.0,2.0,0.0
826a9ffffffffff,7.0,0.0,0.0,0.0,0.0
826ab7fffffffff,1.0,0.0,0.0,0.0,0.0
826ac7fffffffff,1170.0,0.0,198.0,0.0,0.0
826acffffffffff,1360.0,0.0,251.0,0.0,0.0
826adffffffffff,594.0,0.0,84.0,5.0,0.0
826aeffffffffff,557.0,0.0,103.0,0.0,0.0
826af7fffffffff,1.0,0.0,0.0,0.0,0.0
826b6ffffffffff,10.0,0.0,2.0,0.0,0.0
82750ffffffffff,832.0,0.0,316.0,0.0,0.0
82751ffffffffff,6.0,0.0,1.0,0.0,0.0
827527fffffffff,113.0,0.0,42.0,0.0,0.0
82752ffffffffff,322.0,0.0,114.0,0.0,0.0
827537fffffffff,13.0,0.0,0.0,0.0,0.0
827577fffffffff,152.0,0.0,25.0,0.0,0.0
827587fffffffff,6.0,0.0,0.0,0.0,0.0
8275a7fffffffff,2.0,0.0,0.0,0.0,0.0
827a47fffffffff,236.0,0.0,82.0,0.0,0.0
827a4ffffffffff,592.0,0.0,103.0,0.0,0.0
827a67fffffffff,473.0,0.0,64.0,2.0,0.0
827a6ffffffffff,1178.0,0.0,277.0,8.0,0.0
827ac7fffffffff,2.0,0.0,2.0,0.0,0.0
827acffffffffff,368.0,0.0,33.0,0.0,0.0
827adffffffffff,89.0,0.0,7.0,0.0,0.0
827aeffffffffff,8.0,0.0,4.0,0.0,0.0
827b4ffffffffff,105.0,0.0,3.0,3.0,0.0
827b5ffffffffff,169.0,0.0,35.0,0.0,0.0
827b6ffffffffff,56.0,0.0,2.0,5.0,0.0
82821ffffffffff,5.0,0.0,0.0,0.0,0.0
828287fffffffff,3.0,2.0,1.0,0.0,0.0
82828ffffffffff,125.0,0.0,34.0,0.0,0.0
828297fffffffff,1.0,0.0,0.0,0.0,0.0
82829ffffffffff,1.0,0.0,1.0,0.0,0.0
8282a7fffffffff,21.0,0.0,4.0,0.0,0.0
8282affffffffff,39.0,0.0,12.0,0.0,0.0
8282b7fffffffff,2.0,0.0,1.0,0.0,0.0
8282d7fffffffff,336.0,0.0,166.0,0.0,0.0
8282dffffffffff,2.0,0.0,0.0,0.0,0.0
8282e7fffffffff,3.0,0.0,0.0,0.0,0.0
8282f7fffffffff,76.0,2.0,36.0,0.0,0.0
828307fffffffff,2.0,0.0,0.0,0.0,0.0
828317fffffffff,25.0,9.0,0.0,0.0,0.0
82831ffffffffff,26.0,4.0,0.0,0.0,0.0
828327fffffffff,3.0,0.0,0.0,0.0,0.0
828337fffffffff,3.0,3.0,0.0,0.0,0.0
828387fffffffff,2.0,0.0,0.0,0.0,0.0
82839ffffffffff,9.0,0.0,0.0,0.0,0.0
8283a7fffffffff,3.0,0.0,0.0,0.0,0.0
8283affffffffff,8.0,0.0,0.0,0.0,0.0
829607fffffffff,42.0,0.0,0.0,10.0,0.0
82960ffffffffff,5.0,0.0,0.0,0.0,0.0
829617fffffffff,2.0,0.0,0.0,0.0,0.0
829627fffffffff,150.0,0.0,0.0,21.0,0.0
82962ffffffffff,54.0,0.0,0.0,15.0,0.0
829637fffffffff,26.0,0.0,0.0,0.0,0.0
829647fffffffff,1.0,0.0,0.0,0.0,0.0
829667fffffffff,1.0,0.0,0.0,0.0,0.0
829677fffffffff,2.0,0.0,0.0,0.0,0.0
829687fffffffff,1.0,0.0,0.0,0.0,0.0
829697fffffffff,325.0,0.0,0.0,42.0,0.0
82969ffffffffff,75.0,0.0,26.0,0.0,0.0
8296a7fffffffff,6.0,0.0,0.0,0.0,0.0
8296affffffffff,13.0,0.0,2.0,0.0,0.0
8296b7fffffffff,67.0,0.0,3.0,0.0,0.0
829707fffffffff,40.0,0.0,0.0,3.0,0.0
82970ffffffffff,14.0,0.0,0.0,2.0,0.0
829717fffffffff,114.0,0.0,0.0,5.0,0.0
82971ffffffffff,78.0,0.0,0.0,3.0,0.0
829727fffffffff,24.0,0.0,0.0,0.0,3.0
82972ffffffffff,148.0,0.0,0.0,1.0,42.0
829737fffffffff,13.0,0.0,0.0,0.0,0.0
829747fffffffff,33.0,0.0,0.0,2.0,0.0
82974ffffffffff,175.0,0.0,0.0,24.0,0.0
829757fffffffff,397.0,0.0,0.0,34.0,0.0
82975ffffffffff,180.0,0.0,0.0,9.0,0.0
829777fffffffff,4.0,0.0,0.0,0.0,0.0
82978ffffffffff,27.0,0.0,0.0,0.0,0.0
8297affffffffff,22.0,0.0,0.0,0.0,0.0
82a247fffffffff,137.0,0.0,0.0,0.0,28.0
82a257fffffffff,33.0,0.0,0.0,0.0,3.0
82ac8ffffffffff,2.0,0.0,0.0,0.0,0.0
82ac97fffffffff,31.0,0.0,0.0,2.0,0.0
82bc0ffffffffff,23.0,0.0,0.0,0.0,0.0
82bc1ffffffffff,102.0,0.0,0.0,0.0,6.0
82bc47fffffffff,2.0,0.0,0.0,0.0,0.0
82bc77fffffffff,62.0,0.0,0.0,0.0,2.0
82bc8ffffffffff,177.0,0.0,0.0,0.0,23.0
82bc9ffffffffff,14.0,0.0,0.0,0.0,0.0
82bcc7fffffffff,187.0,0.0,0.0,0.0,23.0
82bccffffffffff,14.0,0.0,0.0,0.0,0.0
82bcd7fffffffff,733.0,0.0,0.0,0.0,181.0
82bcdffffffffff,226.0,2.0,0.0,0.0,51.0
82bce7fffffffff,1037.0,0.0,0.0,0.0,690.0
82bcf7fffffffff,1709.0,0.0,0.0,0.0,414.0
