cell_id,Ptilinopus superbus,Ptilinopus superbus temminckii,Ptilinopus superbus superbus
8368cafffffffff,2.0,2.0,0.0
8372a2fffffffff,1.0,0.0,1.0
8372c9fffffffff,2.0,0.0,0.0
83779cfffffffff,1.0,0.0,0.0
839561fffffffff,2.0,0.0,0.0
83956dfffffffff,5.0,0.0,0.0
839c05fffffffff,1.0,0.0,1.0
839c23fffffffff,4.0,0.0,3.0
839c8bfffffffff,6.0,0.0,0.0
839caefffffffff,1.0,0.0,0.0
839cd3fffffffff,4.0,0.0,0.0
839d9bfffffffff,2.0,0.0,0.0
83be08fffffffff,7.0,0.0,0.0
83be8dfffffffff,17.0,0.0,0.0
83beabfffffffff,1.0,0.0,0.0
