cell_id,Amazilis amazilia,Amazilis amazilia [dumerilii Group],Amazilis amazilia amazilia,Amazilis amazilia caeruleigularis
8466a1dffffffff,2.0,0.0,0.0,0.0
848e45dffffffff,1.0,1.0,0.0,0.0
848e62dffffffff,10.0,0.0,6.0,0.0
848e6b5ffffffff,4.0,0.0,0.0,0.0
848f0dbffffffff,6.0,6.0,0.0,0.0
848f2a9ffffffff,9.0,9.0,0.0,0.0
848f501ffffffff,1.0,1.0,0.0,0.0
848f505ffffffff,1.0,1.0,0.0,0.0
848f50dffffffff,3.0,3.0,0.0,0.0
848f545ffffffff,2.0,2.0,0.0,0.0
848f547ffffffff,1.0,1.0,0.0,0.0
848f721ffffffff,4.0,3.0,0.0,0.0
848f729ffffffff,37.0,2.0,0.0,0.0
848f72dffffffff,3.0,3.0,0.0,0.0
848f765ffffffff,2.0,2.0,0.0,0.0
