cell_id,Ploceus melanogaster,Ploceus melanogaster melanogaster,Ploceus melanogaster stephanophorus
8358d1fffffffff,4.0,0.0,0.0
8358d3fffffffff,22.0,22.0,0.0
836ac0fffffffff,1.0,0.0,0.0
836ac1fffffffff,20.0,0.0,0.0
836ac3fffffffff,3.0,0.0,0.0
836ac5fffffffff,1.0,0.0,0.0
836ad8fffffffff,2.0,0.0,0.0
836adcfffffffff,448.0,0.0,35.0
836adefffffffff,76.0,0.0,0.0
836ae8fffffffff,1.0,0.0,0.0
836aeafffffffff,2.0,0.0,0.0
837a48fffffffff,45.0,0.0,1.0
837a4cfffffffff,287.0,0.0,0.0
837a4dfffffffff,26.0,0.0,0.0
837a6afffffffff,1.0,0.0,0.0
837a6bfffffffff,6.0,0.0,0.0
8382d0fffffffff,5.0,3.0,0.0
8382d2fffffffff,2.0,0.0,0.0
8382d3fffffffff,23.0,8.0,0.0
8396d2fffffffff,1.0,0.0,0.0
