cell_id,Vireo leucophrys,Vireo leucophrys [amauronotus Group],Vireo leucophrys [leucophrys Group]
8248a7fffffffff,21.0,0.0,0.0
824997fffffffff,29.0,0.0,0.0
82499ffffffffff,5.0,0.0,0.0
82660ffffffffff,6.0,0.0,0.0
82661ffffffffff,11.0,0.0,0.0
826627fffffffff,2.0,0.0,0.0
8266b7fffffffff,9.0,0.0,0.0
8266c7fffffffff,1.0,0.0,0.0
8266d7fffffffff,11.0,0.0,0.0
8266dffffffffff,4.0,0.0,0.0
8266e7fffffffff,12.0,0.0,0.0
8266f7fffffffff,1.0,0.0,0.0
82674ffffffffff,6.0,0.0,0.0
82675ffffffffff,4.0,0.0,0.0
826d07fffffffff,1.0,0.0,0.0
826d27fffffffff,6.0,0.0,0.0
826d2ffffffffff,80.0,0.0,0.0
826d37fffffffff,4.0,0.0,0.0
826d6ffffffffff,26.0,0.0,0.0
828b67fffffffff,2.0,0.0,0.0
828b6ffffffffff,1.0,0.0,0.0
828f2ffffffffff,7.0,0.0,0.0
828f4ffffffffff,7.0,0.0,0.0
