cell_id,Ploceus albinucha,Ploceus albinucha albinucha,Ploceus albinucha maxwelli/holomelas
8458833ffffffff,1.0,0.0,0.0
8458969ffffffff,2.0,0.0,0.0
8458d37ffffffff,2.0,0.0,2.0
846ac03ffffffff,8.0,0.0,0.0
846ac0bffffffff,12.0,0.0,0.0
846ac15ffffffff,4.0,0.0,0.0
846adc1ffffffff,1.0,0.0,0.0
846adcbffffffff,2.0,0.0,0.0
8475011ffffffff,1.0,0.0,0.0
8475085ffffffff,3.0,0.0,0.0
8475087ffffffff,10.0,0.0,0.0
847509dffffffff,4.0,0.0,0.0
84750c5ffffffff,5.0,0.0,0.0
84750d1ffffffff,197.0,15.0,0.0
84750d7ffffffff,4.0,0.0,0.0
84750d9ffffffff,14.0,0.0,0.0
84750ddffffffff,13.0,0.0,0.0
8475187ffffffff,1.0,0.0,0.0
8475191ffffffff,2.0,0.0,0.0
8475293ffffffff,1.0,0.0,0.0
8475295ffffffff,161.0,12.0,0.0
8475299ffffffff,1.0,0.0,0.0
84752abffffffff,29.0,4.0,0.0
84752b5ffffffff,67.0,15.0,0.0
84752dbffffffff,1.0,0.0,0.0
8475ab9ffffffff,1.0,0.0,0.0
8475b01ffffffff,4.0,0.0,0.0
8475b05ffffffff,2.0,0.0,0.0
8475b07ffffffff,8.0,0.0,0.0
8475b0bffffffff,1.0,0.0,0.0
8475b33ffffffff,1.0,0.0,0.0
8475b47ffffffff,1.0,0.0,0.0
8482859ffffffff,3.0,0.0,0.0
84828d1ffffffff,3.0,0.0,0.0
8482aadffffffff,6.0,0.0,2.0
8482d07ffffffff,1.0,0.0,0.0
8482d1dffffffff,2.0,0.0,0.0
8482d27ffffffff,3.0,0.0,0.0
