cell_id,Cichlocolaptes leucophrus,Cichlocolaptes leucophrus leucophrus,Cichlocolaptes leucophrus holti
8481303ffffffff,7.0,0.0,0.0
8481307ffffffff,3.0,0.0,0.0
8481339ffffffff,14.0,1.0,0.0
8481343ffffffff,4.0,0.0,0.0
8481363ffffffff,138.0,2.0,0.0
84a8061ffffffff,6.0,0.0,0.0
84a8065ffffffff,3.0,0.0,0.0
84a8067ffffffff,72.0,0.0,10.0
84a8069ffffffff,15.0,0.0,0.0
84a806dffffffff,2.0,0.0,0.0
84a8101ffffffff,1.0,0.0,0.0
84a8105ffffffff,45.0,0.0,2.0
84a8107ffffffff,4.0,0.0,0.0
84a810bffffffff,16.0,0.0,0.0
84a810dffffffff,4.0,0.0,0.0
84a8123ffffffff,4.0,0.0,0.0
84a8125ffffffff,22.0,0.0,1.0
84a8127ffffffff,20.0,0.0,2.0
84a8129ffffffff,6.0,0.0,0.0
84a812dffffffff,117.0,0.0,1.0
84a8143ffffffff,2.0,0.0,0.0
84a8151ffffffff,8.0,0.0,0.0
84a8153ffffffff,10.0,0.0,0.0
84a8155ffffffff,93.0,0.0,10.0
84a8157ffffffff,203.0,0.0,10.0
84a815bffffffff,190.0,0.0,23.0
84a8167ffffffff,3.0,0.0,0.0
84a8225ffffffff,2.0,0.0,0.0
84a8261ffffffff,2.0,0.0,0.0
84a826dffffffff,18.0,0.0,0.0
84a8311ffffffff,56.0,0.0,2.0
84a8313ffffffff,40.0,0.0,3.0
84a8315ffffffff,6.0,0.0,0.0
84a8317ffffffff,7.0,0.0,0.0
84a8319ffffffff,14.0,0.0,0.0
84a831bffffffff,6.0,0.0,0.0
84a831dffffffff,37.0,0.0,2.0
84a8331ffffffff,1.0,0.0,0.0
84a833bffffffff,33.0,0.0,0.0
84a8351ffffffff,10.0,0.0,0.0
84a8353ffffffff,140.0,0.0,7.0
84a8357ffffffff,37.0,0.0,0.0
84a8359ffffffff,15.0,0.0,0.0
84a835bffffffff,46.0,0.0,0.0
84a835dffffffff,3.0,0.0,0.0
84a8805ffffffff,2.0,0.0,0.0
84a8825ffffffff,2.0,0.0,0.0
84a882dffffffff,25.0,7.0,0.0
84a8849ffffffff,13.0,2.0,0.0
84a884dffffffff,5.0,0.0,0.0
84a8867ffffffff,1.0,0.0,0.0
84a8917ffffffff,4.0,2.0,0.0
84a8919ffffffff,5.0,2.0,0.0
84a8a11ffffffff,6.0,0.0,0.0
84a8a13ffffffff,31.0,1.0,0.0
84a8a15ffffffff,4.0,0.0,0.0
84a8a19ffffffff,107.0,2.0,0.0
84a8a1dffffffff,5.0,0.0,0.0
84a8a23ffffffff,72.0,4.0,0.0
84a8a27ffffffff,24.0,0.0,0.0
84a8a39ffffffff,9.0,0.0,0.0
84a8a3dffffffff,95.0,2.0,0.0
84a8a53ffffffff,196.0,0.0,21.0
84a8ac9ffffffff,2.0,0.0,0.0
84a8ad9ffffffff,1.0,0.0,0.0
84a8b13ffffffff,2.0,0.0,0.0
84a9195ffffffff,15.0,0.0,0.0
84a919dffffffff,2.0,0.0,0.0
84a91b1ffffffff,5.0,0.0,0.0
84a91b3ffffffff,2.0,0.0,0.0
84a91b5ffffffff,10.0,0.0,0.0
84a91b7ffffffff,5.0,0.0,0.0
84a91d7ffffffff,5.0,0.0,0.0
