cell_id,Geositta cunicularia,Geositta cunicularia [frobeni Group],Geositta cunicularia georgei,Geositta cunicularia deserticolor,Geositta cunicularia fissirostris,Geositta cunicularia [cunicularia Group]
828e67fffffffff,25.0,0.0,0.0,0.0,0.0,0.0
82a907fffffffff,2.0,0.0,0.0,0.0,0.0,2.0
82a927fffffffff,1.0,0.0,0.0,0.0,0.0,1.0
82a967fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82b207fffffffff,18.0,0.0,0.0,1.0,0.0,0.0
82b20ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82b21ffffffffff,10.0,0.0,0.0,0.0,0.0,0.0
82b227fffffffff,6.0,0.0,0.0,3.0,0.0,0.0
82b247fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
82b25ffffffffff,13.0,0.0,0.0,0.0,0.0,0.0
82b2c7fffffffff,62.0,0.0,0.0,0.0,4.0,0.0
82b2cffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82b2dffffffffff,4.0,0.0,0.0,0.0,0.0,0.0
82b2e7fffffffff,97.0,0.0,0.0,0.0,5.0,0.0
82b2effffffffff,19.0,0.0,0.0,0.0,0.0,0.0
82b307fffffffff,3.0,3.0,0.0,0.0,0.0,0.0
82b337fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
82b357fffffffff,4.0,1.0,0.0,0.0,0.0,0.0
82b35ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82c21ffffffffff,5.0,0.0,0.0,0.0,0.0,0.0
82c2effffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82c2f7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82c307fffffffff,1.0,0.0,0.0,0.0,0.0,1.0
82c32ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0
82c347fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
82c357fffffffff,16.0,0.0,0.0,0.0,0.0,0.0
82c36ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0
82ce87fffffffff,2.0,0.0,0.0,0.0,0.0,1.0
82ce8ffffffffff,28.0,0.0,0.0,0.0,0.0,0.0
82ce9ffffffffff,28.0,0.0,0.0,0.0,0.0,0.0
82cf97fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82cfa7fffffffff,48.0,0.0,0.0,0.0,0.0,17.0
82cfb7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82df47fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
82df6ffffffffff,34.0,0.0,0.0,0.0,0.0,22.0
