cell_id,Sericornis frontalis,Sericornis frontalis laevigaster,Sericornis frontalis [frontalis Group]
839c05fffffffff,5.0,0.0,0.0
839c19fffffffff,1.0,1.0,0.0
839c21fffffffff,69.0,6.0,0.0
839c23fffffffff,131.0,22.0,0.0
839c25fffffffff,27.0,0.0,0.0
839d01fffffffff,23.0,0.0,0.0
839d0bfffffffff,2.0,0.0,0.0
839d0cfffffffff,228.0,30.0,0.0
839d0efffffffff,10.0,0.0,0.0
839d21fffffffff,52.0,1.0,0.0
839d24fffffffff,21.0,0.0,0.0
839d25fffffffff,57.0,0.0,0.0
839d2afffffffff,7.0,0.0,0.0
839d2cfffffffff,19.0,0.0,0.0
839d2dfffffffff,2.0,0.0,0.0
83b914fffffffff,54.0,0.0,4.0
83b916fffffffff,231.0,0.0,6.0
83b936fffffffff,49.0,0.0,0.0
83be08fffffffff,5996.0,0.0,620.0
83be09fffffffff,133.0,0.0,12.0
83be0afffffffff,482.0,0.0,37.0
83be0bfffffffff,364.0,0.0,33.0
83be0cfffffffff,2453.0,0.0,412.0
83be0dfffffffff,1368.0,0.0,394.0
83be0efffffffff,1129.0,0.0,125.0
83be18fffffffff,464.0,0.0,15.0
83be19fffffffff,260.0,0.0,16.0
83be1afffffffff,260.0,0.0,7.0
83be1bfffffffff,102.0,0.0,2.0
83be1dfffffffff,698.0,0.0,97.0
83be29fffffffff,337.0,0.0,41.0
83be2bfffffffff,40.0,0.0,6.0
83be40fffffffff,96.0,0.0,20.0
83be42fffffffff,2.0,0.0,0.0
83be44fffffffff,471.0,0.0,214.0
83be45fffffffff,316.0,0.0,23.0
83be46fffffffff,168.0,0.0,48.0
83be49fffffffff,211.0,0.0,11.0
83be4cfffffffff,4.0,0.0,0.0
83be4dfffffffff,100.0,0.0,13.0
83be56fffffffff,4.0,0.0,0.0
83be60fffffffff,958.0,0.0,197.0
83be61fffffffff,752.0,0.0,85.0
83be62fffffffff,1251.0,0.0,211.0
83be63fffffffff,8960.0,0.0,1281.0
83be64fffffffff,2.0,0.0,0.0
83be66fffffffff,358.0,0.0,71.0
83be68fffffffff,331.0,0.0,58.0
83be69fffffffff,136.0,0.0,8.0
83be6afffffffff,249.0,0.0,25.0
83be6bfffffffff,295.0,0.0,32.0
83be6cfffffffff,6.0,0.0,4.0
83be6efffffffff,591.0,0.0,75.0
83be70fffffffff,122.0,0.0,19.0
83be71fffffffff,467.0,0.0,156.0
83be72fffffffff,5179.0,0.0,94.0
83be73fffffffff,88.0,0.0,6.0
83be74fffffffff,1373.0,0.0,297.0
83be75fffffffff,522.0,0.0,104.0
83be76fffffffff,289.0,0.0,11.0
83be88fffffffff,594.0,3.0,6.0
83be89fffffffff,366.0,0.0,6.0
83be8afffffffff,2.0,0.0,0.0
83be8bfffffffff,115.0,4.0,0.0
83be8dfffffffff,7118.0,34.0,60.0
83bea9fffffffff,312.0,0.0,0.0
83beabfffffffff,1108.0,4.0,8.0
83bed4fffffffff,5.0,0.0,0.0
83bed5fffffffff,2.0,0.0,0.0
83bed6fffffffff,3.0,0.0,0.0
83bedefffffffff,74.0,0.0,0.0
83bee0fffffffff,73.0,0.0,0.0
83bee2fffffffff,67.0,0.0,1.0
83bee4fffffffff,40.0,0.0,2.0
83bee6fffffffff,52.0,0.0,0.0
83bef0fffffffff,321.0,0.0,14.0
83bef1fffffffff,7.0,0.0,0.0
83bef2fffffffff,516.0,3.0,7.0
83bef4fffffffff,100.0,0.0,3.0
83bef5fffffffff,143.0,0.0,2.0
83bef6fffffffff,2617.0,17.0,76.0
83bf4afffffffff,2.0,0.0,0.0
83bf59fffffffff,14.0,0.0,0.0
