cell_id,Trogon chrysochloros,Trogon chrysochloros muriciensis,Trogon chrysochloros chrysochloros
8481167ffffffff,2.0,0.0,0.0
8481303ffffffff,4.0,0.0,0.0
8481307ffffffff,6.0,0.0,0.0
8481321ffffffff,1.0,0.0,0.0
8481327ffffffff,1.0,0.0,0.0
8481339ffffffff,119.0,0.0,0.0
8481341ffffffff,2.0,0.0,0.0
8481343ffffffff,11.0,0.0,0.0
848134dffffffff,3.0,0.0,0.0
8481363ffffffff,106.0,0.0,0.0
8481851ffffffff,66.0,0.0,0.0
84a5969ffffffff,43.0,0.0,0.0
84a8001ffffffff,1.0,0.0,0.0
84a8019ffffffff,4.0,0.0,0.0
84a801bffffffff,6.0,0.0,0.0
84a802dffffffff,2.0,0.0,0.0
84a805dffffffff,1.0,0.0,0.0
84a8061ffffffff,9.0,0.0,0.0
84a8063ffffffff,2.0,0.0,0.0
84a8065ffffffff,5.0,0.0,0.0
84a8067ffffffff,169.0,0.0,0.0
84a8069ffffffff,16.0,0.0,0.0
84a806bffffffff,3.0,0.0,0.0
84a806dffffffff,5.0,0.0,0.0
84a8101ffffffff,43.0,0.0,0.0
84a8105ffffffff,96.0,0.0,0.0
84a8107ffffffff,2.0,0.0,0.0
84a8109ffffffff,28.0,0.0,0.0
84a810bffffffff,68.0,0.0,0.0
84a810dffffffff,1.0,0.0,0.0
84a8113ffffffff,2.0,0.0,0.0
84a8123ffffffff,2.0,0.0,0.0
84a8125ffffffff,18.0,0.0,0.0
84a8127ffffffff,24.0,0.0,0.0
84a8129ffffffff,20.0,0.0,0.0
84a812dffffffff,25.0,0.0,0.0
84a8151ffffffff,16.0,0.0,0.0
84a8153ffffffff,52.0,0.0,0.0
84a8155ffffffff,180.0,0.0,0.0
84a8157ffffffff,128.0,0.0,0.0
84a815bffffffff,289.0,0.0,0.0
84a8167ffffffff,3.0,0.0,0.0
84a81d9ffffffff,17.0,0.0,0.0
84a8203ffffffff,2.0,0.0,0.0
84a8207ffffffff,6.0,0.0,0.0
84a8213ffffffff,5.0,0.0,0.0
84a8215ffffffff,1.0,0.0,0.0
84a8219ffffffff,6.0,0.0,0.0
84a8229ffffffff,2.0,0.0,0.0
84a822bffffffff,11.0,0.0,0.0
84a8233ffffffff,1.0,0.0,0.0
84a8235ffffffff,2.0,0.0,0.0
84a8237ffffffff,3.0,0.0,0.0
