cell_id,Pachycephala melanura,Pachycephala melanura dammeriana,Pachycephala melanura [melanura Group]
847791dffffffff,1.0,0.0,0.0
8494187ffffffff,6.0,0.0,0.0
8494191ffffffff,5.0,0.0,0.0
84941a1ffffffff,5.0,0.0,0.0
84941abffffffff,4.0,0.0,0.0
84941bdffffffff,1.0,0.0,0.0
849450bffffffff,4.0,0.0,0.0
8494511ffffffff,134.0,0.0,0.0
8494515ffffffff,6.0,0.0,0.0
8494517ffffffff,1.0,0.0,0.0
849451dffffffff,143.0,0.0,0.0
8494535ffffffff,6.0,0.0,0.0
8494539ffffffff,5.0,0.0,0.0
849453dffffffff,3.0,0.0,0.0
8494559ffffffff,2.0,0.0,0.0
84945e5ffffffff,2.0,0.0,0.0
8494803ffffffff,212.0,0.0,0.0
849480bffffffff,23.0,0.0,0.0
849485bffffffff,2.0,0.0,0.0
8494903ffffffff,1.0,0.0,0.0
8494963ffffffff,2.0,0.0,0.0
8494a91ffffffff,2.0,0.0,0.0
8494a9dffffffff,1.0,0.0,0.0
8494aa7ffffffff,1.0,0.0,0.0
8494ae3ffffffff,41.0,0.0,0.0
8494ae7ffffffff,6.0,0.0,0.0
8494e21ffffffff,9.0,0.0,0.0
8494e29ffffffff,7.0,0.0,0.0
8495583ffffffff,13.0,13.0,0.0
849c195ffffffff,2.0,0.0,0.0
849c19dffffffff,2.0,0.0,0.0
849c431ffffffff,3.0,0.0,0.0
849c43bffffffff,4.0,0.0,0.0
849c589ffffffff,10.0,0.0,0.0
849c5d7ffffffff,4.0,0.0,0.0
849c5e3ffffffff,2.0,0.0,0.0
849c743ffffffff,23.0,0.0,0.0
849c747ffffffff,2.0,0.0,0.0
849c753ffffffff,6.0,0.0,0.0
849c901ffffffff,7.0,0.0,0.0
849c905ffffffff,3.0,0.0,0.0
849c907ffffffff,55.0,0.0,0.0
849caa1ffffffff,1.0,0.0,0.0
849cb59ffffffff,3.0,0.0,0.0
849cf0bffffffff,1.0,0.0,0.0
849cf19ffffffff,18.0,0.0,0.0
849cf3bffffffff,2.0,0.0,0.0
849cf53ffffffff,10.0,0.0,0.0
849cf63ffffffff,1.0,0.0,0.0
849d9b3ffffffff,2.0,0.0,0.0
84a6101ffffffff,1.0,0.0,0.0
84a6103ffffffff,2.0,0.0,0.0
84a6105ffffffff,2.0,0.0,0.0
84a6a55ffffffff,4.0,0.0,0.0
84a6a61ffffffff,4.0,0.0,0.0
84a6a63ffffffff,1.0,0.0,0.0
84a6a65ffffffff,2.0,0.0,0.0
84a6a6dffffffff,4.0,0.0,0.0
84a6b49ffffffff,8.0,0.0,0.0
84a79a7ffffffff,4.0,0.0,0.0
84a79b5ffffffff,1.0,0.0,0.0
