cell_id,Cardellina rubra,Cardellina rubra melanauris,Cardellina rubra rubra/rowleyi
8448141ffffffff,6.0,0.0,0.0
8448143ffffffff,1.0,0.0,0.0
844814bffffffff,34.0,0.0,0.0
8448331ffffffff,2.0,0.0,0.0
8448337ffffffff,513.0,73.0,0.0
844836dffffffff,43.0,0.0,17.0
8449801ffffffff,83.0,0.0,32.0
8449805ffffffff,8.0,0.0,0.0
8449809ffffffff,1.0,0.0,0.0
844980dffffffff,2.0,0.0,0.0
8449829ffffffff,1.0,0.0,0.0
844982dffffffff,22.0,0.0,0.0
8449853ffffffff,1.0,0.0,1.0
8449855ffffffff,22.0,0.0,0.0
8449857ffffffff,3.0,0.0,0.0
8449861ffffffff,219.0,0.0,35.0
8449863ffffffff,189.0,0.0,4.0
8449865ffffffff,433.0,0.0,51.0
8449867ffffffff,14.0,0.0,0.0
844986dffffffff,7.0,0.0,0.0
8449909ffffffff,6.0,0.0,0.0
844990bffffffff,19.0,0.0,0.0
844990dffffffff,4.0,0.0,0.0
8449911ffffffff,1.0,0.0,0.0
8449919ffffffff,14.0,0.0,0.0
844991dffffffff,14.0,0.0,4.0
8449943ffffffff,40.0,0.0,4.0
8449945ffffffff,22.0,0.0,0.0
844994bffffffff,3.0,0.0,0.0
8449951ffffffff,29.0,0.0,5.0
8449957ffffffff,20.0,0.0,0.0
8449959ffffffff,2193.0,0.0,386.0
844995bffffffff,99.0,0.0,11.0
844995dffffffff,146.0,0.0,24.0
8449963ffffffff,408.0,0.0,67.0
8449969ffffffff,1.0,0.0,0.0
844996bffffffff,167.0,0.0,53.0
8449a81ffffffff,7.0,0.0,0.0
8449a83ffffffff,1.0,0.0,0.0
8449a85ffffffff,309.0,0.0,84.0
8449a8dffffffff,1.0,0.0,0.0
8449aa1ffffffff,2.0,0.0,0.0
8449aa9ffffffff,3.0,0.0,0.0
8449ab5ffffffff,3.0,0.0,0.0
8449b19ffffffff,118.0,0.0,0.0
8449b1dffffffff,36.0,0.0,0.0
8449b33ffffffff,140.0,0.0,12.0
8449b37ffffffff,10.0,0.0,0.0
8449b57ffffffff,2.0,0.0,0.0
8449b67ffffffff,4.0,0.0,1.0
846d305ffffffff,407.0,0.0,111.0
846d307ffffffff,7.0,0.0,0.0
846d325ffffffff,8.0,0.0,4.0
846d329ffffffff,1.0,0.0,0.0
846d32bffffffff,1925.0,0.0,546.0
846d335ffffffff,194.0,0.0,74.0
846d337ffffffff,431.0,0.0,142.0
846d361ffffffff,4.0,0.0,0.0
846d363ffffffff,5.0,0.0,2.0
846d36dffffffff,11.0,0.0,0.0
