cell_id,Trochocercus cyanomelas,Trochocercus cyanomelas [bivittatus Group],Trochocercus cyanomelas cyanomelas/segregus
836ac0fffffffff,4.0,0.0,0.0
836ac1fffffffff,1.0,0.0,0.0
836ad8fffffffff,2.0,0.0,0.0
836adcfffffffff,4.0,0.0,0.0
836addfffffffff,1.0,0.0,0.0
837a65fffffffff,1.0,0.0,0.0
837b48fffffffff,23.0,0.0,0.0
837b4afffffffff,4.0,0.0,0.0
837b4bfffffffff,8.0,0.0,0.0
837b59fffffffff,141.0,0.0,0.0
837b6bfffffffff,3.0,0.0,0.0
837b6dfffffffff,2.0,0.0,0.0
839600fffffffff,5.0,0.0,0.0
839601fffffffff,2.0,0.0,0.0
839602fffffffff,3.0,0.0,0.0
839604fffffffff,2.0,0.0,0.0
839609fffffffff,1.0,0.0,0.0
839672fffffffff,1.0,0.0,0.0
839692fffffffff,17.0,0.0,0.0
839693fffffffff,6.0,0.0,0.0
8396b0fffffffff,3.0,0.0,0.0
8396b4fffffffff,6.0,0.0,0.0
8396b6fffffffff,1.0,0.0,0.0
839700fffffffff,3.0,0.0,0.0
839702fffffffff,9.0,0.0,0.0
839703fffffffff,6.0,0.0,0.0
839705fffffffff,3.0,0.0,0.0
839710fffffffff,40.0,0.0,0.0
839711fffffffff,27.0,0.0,0.0
839713fffffffff,10.0,0.0,0.0
83971cfffffffff,18.0,0.0,0.0
839728fffffffff,3.0,0.0,0.0
83972dfffffffff,135.0,0.0,10.0
83978bfffffffff,10.0,0.0,0.0
839793fffffffff,3.0,0.0,0.0
83ad36fffffffff,2.0,0.0,0.0
83bc09fffffffff,6.0,0.0,0.0
83bc19fffffffff,21.0,0.0,1.0
83bc1bfffffffff,3.0,0.0,0.0
83bc40fffffffff,2.0,0.0,0.0
83bc44fffffffff,24.0,0.0,3.0
83bc45fffffffff,89.0,0.0,17.0
83bc46fffffffff,2.0,0.0,0.0
83bc54fffffffff,4.0,0.0,0.0
83bc69fffffffff,69.0,0.0,6.0
83bc6afffffffff,55.0,0.0,11.0
83bc72fffffffff,2.0,0.0,0.0
83bc73fffffffff,15.0,0.0,0.0
83bc89fffffffff,17.0,0.0,0.0
83bcd0fffffffff,52.0,0.0,2.0
83bcd1fffffffff,2.0,0.0,0.0
83bcd2fffffffff,5.0,0.0,0.0
83bcd3fffffffff,11.0,0.0,1.0
83bcd4fffffffff,7.0,0.0,0.0
83bcdefffffffff,2.0,0.0,0.0
83bce2fffffffff,1.0,0.0,1.0
83bce4fffffffff,1.0,0.0,0.0
83bce6fffffffff,38.0,0.0,1.0
83bcf0fffffffff,27.0,2.0,1.0
83bcf2fffffffff,131.0,0.0,4.0
83bcf3fffffffff,1.0,0.0,0.0
83bcf4fffffffff,30.0,0.0,3.0
83bcf5fffffffff,76.0,0.0,7.0
83bcf6fffffffff,210.0,6.0,2.0
