cell_id,Phylloscopus trochiloides,Phylloscopus trochiloides viridanus,Phylloscopus trochiloides trochiloides/ludlowi,Phylloscopus trochiloides obscuratus
8208b7fffffffff,1.0,0.0,0.0,0.0
82099ffffffffff,2.0,0.0,0.0,0.0
8209a7fffffffff,3.0,0.0,0.0,0.0
82182ffffffffff,1.0,0.0,0.0,0.0
821947fffffffff,19.0,1.0,0.0,0.0
82194ffffffffff,6.0,0.0,0.0,0.0
821957fffffffff,1.0,0.0,0.0,0.0
82196ffffffffff,2.0,0.0,0.0,0.0
821977fffffffff,7.0,0.0,0.0,0.0
821e07fffffffff,2.0,0.0,0.0,0.0
821e0ffffffffff,2.0,0.0,0.0,0.0
821e27fffffffff,19.0,0.0,0.0,0.0
821e2ffffffffff,2.0,0.0,0.0,0.0
821e6ffffffffff,2.0,0.0,0.0,0.0
821e77fffffffff,2.0,0.0,0.0,0.0
821f07fffffffff,2.0,0.0,0.0,0.0
821f17fffffffff,2.0,0.0,0.0,0.0
821f2ffffffffff,15.0,15.0,0.0,0.0
821f37fffffffff,5.0,0.0,0.0,0.0
821f57fffffffff,2.0,0.0,0.0,0.0
821f77fffffffff,10.0,0.0,0.0,0.0
821f8ffffffffff,1.0,0.0,0.0,0.0
821fa7fffffffff,2.0,0.0,0.0,0.0
822017fffffffff,1.0,1.0,0.0,0.0
82201ffffffffff,9.0,3.0,0.0,0.0
82209ffffffffff,2.0,0.0,0.0,0.0
8220e7fffffffff,7.0,4.0,0.0,0.0
82240ffffffffff,2.0,0.0,0.0,0.0
822517fffffffff,8.0,8.0,0.0,0.0
822c0ffffffffff,1.0,0.0,0.0,0.0
822c57fffffffff,1.0,0.0,0.0,0.0
822c5ffffffffff,2.0,0.0,0.0,0.0
822d67fffffffff,2.0,0.0,0.0,0.0
823c07fffffffff,6.0,0.0,0.0,0.0
823c0ffffffffff,51.0,0.0,37.0,0.0
823c17fffffffff,2.0,0.0,0.0,0.0
823c1ffffffffff,48.0,0.0,1.0,0.0
823c37fffffffff,14.0,6.0,0.0,0.0
823c57fffffffff,16.0,0.0,2.0,0.0
823c5ffffffffff,148.0,0.0,44.0,10.0
823c8ffffffffff,36.0,0.0,0.0,8.0
823c97fffffffff,4.0,0.0,0.0,0.0
823caffffffffff,38.0,0.0,0.0,0.0
823cb7fffffffff,5.0,0.0,0.0,0.0
823cc7fffffffff,8.0,0.0,6.0,0.0
823ce7fffffffff,22.0,2.0,6.0,0.0
823ceffffffffff,3.0,0.0,0.0,0.0
823cf7fffffffff,105.0,0.0,23.0,1.0
823d07fffffffff,15.0,0.0,1.0,0.0
823d17fffffffff,49.0,2.0,0.0,0.0
823d1ffffffffff,8.0,0.0,0.0,0.0
823d27fffffffff,13.0,0.0,0.0,0.0
823d37fffffffff,12.0,0.0,2.0,0.0
823d87fffffffff,101.0,0.0,0.0,0.0
823d8ffffffffff,20.0,3.0,0.0,0.0
823d9ffffffffff,54.0,54.0,0.0,0.0
823da7fffffffff,18.0,2.0,0.0,0.0
823daffffffffff,23.0,0.0,0.0,0.0
823db7fffffffff,60.0,1.0,0.0,0.0
823f77fffffffff,3.0,0.0,0.0,0.0
8240c7fffffffff,9.0,0.0,0.0,8.0
8240e7fffffffff,14.0,0.0,4.0,2.0
8240effffffffff,14.0,0.0,7.0,0.0
82411ffffffffff,7.0,2.0,0.0,0.0
824167fffffffff,3.0,0.0,0.0,0.0
8241a7fffffffff,76.0,0.0,0.0,0.0
8241b7fffffffff,11.0,0.0,0.0,0.0
82424ffffffffff,2.0,0.0,0.0,0.0
824257fffffffff,5.0,0.0,0.0,0.0
8242c7fffffffff,20.0,0.0,0.0,0.0
8242cffffffffff,18.0,1.0,0.0,0.0
8242dffffffffff,46.0,0.0,0.0,0.0
8242e7fffffffff,1.0,1.0,0.0,0.0
8242effffffffff,14.0,0.0,0.0,0.0
824ba7fffffffff,25.0,0.0,0.0,0.0
824bb7fffffffff,9.0,0.0,0.0,0.0
826007fffffffff,16.0,0.0,0.0,0.0
82600ffffffffff,1.0,0.0,0.0,0.0
826017fffffffff,233.0,17.0,0.0,0.0
82601ffffffffff,35.0,0.0,0.0,0.0
826027fffffffff,58.0,0.0,0.0,0.0
826037fffffffff,347.0,8.0,10.0,0.0
826087fffffffff,2.0,0.0,0.0,0.0
82608ffffffffff,18.0,0.0,0.0,0.0
82609ffffffffff,1.0,0.0,0.0,0.0
8260a7fffffffff,55.0,0.0,0.0,0.0
8260affffffffff,53.0,0.0,0.0,0.0
8260b7fffffffff,67.0,0.0,0.0,0.0
826117fffffffff,2.0,0.0,0.0,0.0
82618ffffffffff,53.0,3.0,0.0,0.0
82640ffffffffff,44.0,0.0,0.0,8.0
82648ffffffffff,1.0,0.0,0.0,0.0
826497fffffffff,2.0,0.0,0.0,0.0
8264e7fffffffff,31.0,0.0,0.0,0.0
82659ffffffffff,3.0,0.0,0.0,0.0
