cell_id,Apus barbatus,Apus barbatus sladeniae,Apus barbatus [barbatus Group]
8258d7fffffffff,6.0,0.0,0.0
8258dffffffffff,6.0,0.0,0.0
826a5ffffffffff,4.0,0.0,0.0
826ac7fffffffff,29.0,0.0,5.0
826acffffffffff,19.0,0.0,18.0
826adffffffffff,72.0,0.0,9.0
826aeffffffffff,22.0,0.0,5.0
827a47fffffffff,88.0,0.0,0.0
827a4ffffffffff,34.0,0.0,0.0
827a67fffffffff,67.0,0.0,1.0
827a6ffffffffff,230.0,0.0,6.0
827b4ffffffffff,29.0,0.0,0.0
8282affffffffff,3.0,0.0,0.0
8282d7fffffffff,2.0,2.0,0.0
829627fffffffff,5.0,0.0,2.0
82962ffffffffff,2.0,0.0,0.0
829637fffffffff,5.0,0.0,0.0
82968ffffffffff,2.0,0.0,0.0
829697fffffffff,194.0,0.0,40.0
82969ffffffffff,3.0,0.0,0.0
8296a7fffffffff,2.0,0.0,0.0
8296b7fffffffff,13.0,0.0,4.0
829707fffffffff,55.0,0.0,9.0
82971ffffffffff,12.0,0.0,3.0
82972ffffffffff,108.0,0.0,18.0
829747fffffffff,3.0,0.0,0.0
82974ffffffffff,4.0,0.0,0.0
829757fffffffff,154.0,0.0,43.0
82975ffffffffff,12.0,0.0,3.0
82978ffffffffff,2.0,0.0,0.0
8297a7fffffffff,2.0,0.0,0.0
8297affffffffff,7.0,0.0,0.0
82ad37fffffffff,669.0,0.0,249.0
82ada7fffffffff,2.0,0.0,2.0
82adb7fffffffff,3.0,0.0,0.0
82bc0ffffffffff,5.0,0.0,1.0
82bc1ffffffffff,12.0,0.0,1.0
82bc47fffffffff,65.0,0.0,16.0
82bc4ffffffffff,41.0,0.0,15.0
82bc57fffffffff,13.0,0.0,0.0
82bc5ffffffffff,2.0,0.0,2.0
82bc6ffffffffff,358.0,0.0,116.0
82bc77fffffffff,15.0,0.0,6.0
82bcc7fffffffff,114.0,0.0,29.0
82bcd7fffffffff,420.0,0.0,125.0
82bcdffffffffff,45.0,0.0,5.0
82bce7fffffffff,355.0,0.0,115.0
82bceffffffffff,17.0,0.0,11.0
82bcf7fffffffff,221.0,0.0,85.0
