cell_id,Chondrohierax uncinatus,Chondrohierax uncinatus uncinatus,Chondrohierax uncinatus mirus
824507fffffffff,4.0,0.0,0.0
82450ffffffffff,3.0,0.0,0.0
824527fffffffff,446.0,0.0,0.0
82452ffffffffff,112.0,0.0,0.0
824537fffffffff,2.0,0.0,0.0
824837fffffffff,4.0,1.0,0.0
824887fffffffff,20.0,0.0,0.0
8248b7fffffffff,1253.0,32.0,0.0
824987fffffffff,7.0,0.0,0.0
824997fffffffff,38.0,0.0,0.0
8249affffffffff,2.0,2.0,0.0
8249b7fffffffff,12.0,0.0,0.0
825e67fffffffff,13.0,0.0,10.0
825e77fffffffff,4.0,0.0,0.0
825f47fffffffff,5.0,0.0,0.0
825f5ffffffffff,5.0,0.0,0.0
826617fffffffff,94.0,3.0,0.0
82661ffffffffff,7.0,1.0,0.0
826627fffffffff,3.0,0.0,0.0
82662ffffffffff,1.0,0.0,0.0
82665ffffffffff,2.0,0.0,0.0
8266a7fffffffff,48.0,1.0,0.0
8266b7fffffffff,85.0,0.0,0.0
8266c7fffffffff,34.0,0.0,0.0
8266d7fffffffff,38.0,6.0,0.0
8266dffffffffff,2.0,0.0,0.0
8266e7fffffffff,1.0,0.0,0.0
8266f7fffffffff,38.0,2.0,0.0
82674ffffffffff,7.0,0.0,0.0
82675ffffffffff,5.0,0.0,0.0
82679ffffffffff,3.0,0.0,0.0
826d27fffffffff,12.0,0.0,0.0
826d2ffffffffff,38.0,0.0,0.0
826d37fffffffff,7.0,0.0,0.0
826d67fffffffff,10.0,0.0,0.0
826d6ffffffffff,27.0,2.0,0.0
828137fffffffff,5.0,0.0,0.0
828a07fffffffff,3.0,1.0,0.0
828af7fffffffff,3.0,0.0,0.0
828b0ffffffffff,2.0,0.0,0.0
828f0ffffffffff,13.0,0.0,0.0
828f2ffffffffff,2.0,0.0,0.0
828f47fffffffff,3.0,3.0,0.0
828f57fffffffff,1.0,1.0,0.0
828f77fffffffff,5.0,2.0,0.0
82a8affffffffff,1.0,1.0,0.0
82a947fffffffff,9.0,0.0,0.0
82a94ffffffffff,6.0,0.0,0.0
82a957fffffffff,8.0,0.0,0.0
82a96ffffffffff,4.0,0.0,0.0
82b277fffffffff,10.0,0.0,0.0
82b347fffffffff,93.0,0.0,0.0
82b357fffffffff,2.0,0.0,0.0
82b35ffffffffff,5.0,0.0,0.0
