cell_id,Kleinothraupis atropileus,Kleinothraupis atropileus atropileus,Kleinothraupis atropileus auricularis
8466181ffffffff,1.0,0.0,0.0
84661bbffffffff,1.0,1.0,0.0
84662b7ffffffff,1.0,0.0,0.0
8466c25ffffffff,1.0,0.0,0.0
8466d31ffffffff,28.0,2.0,0.0
8466d37ffffffff,1.0,0.0,0.0
8466de1ffffffff,3.0,0.0,0.0
8466dedffffffff,1.0,0.0,0.0
8466e55ffffffff,2.0,1.0,0.0
8466e6dffffffff,10.0,4.0,0.0
848b617ffffffff,7.0,0.0,7.0
848b6cdffffffff,2.0,0.0,2.0
848e651ffffffff,2.0,0.0,2.0
848f733ffffffff,4.0,0.0,4.0
