cell_id,Piculus chrysochloros,Piculus chrysochloros xanthochlorus,Piculus chrysochloros capistratus,Piculus chrysochloros paraensis,Piculus chrysochloros laemostictus,Piculus chrysochloros chrysochloros,Piculus chrysochloros polyzonus
845f03dffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
845f107ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
845f143ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
845f163ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
845f29dffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
845f2b1ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
845f2b3ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
845f2bbffffffff,26.0,0.0,0.0,0.0,0.0,0.0,0.0
8466049ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
846608dffffffff,29.0,0.0,0.0,0.0,0.0,0.0,0.0
84660a7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8466103ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8466105ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8466107ffffffff,369.0,0.0,0.0,0.0,0.0,0.0,0.0
8466131ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8466139ffffffff,402.0,0.0,0.0,0.0,0.0,0.0,0.0
846613dffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
8466167ffffffff,21.0,0.0,0.0,0.0,0.0,0.0,0.0
8466201ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8466203ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8466213ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8466221ffffffff,297.0,0.0,0.0,0.0,0.0,0.0,0.0
846622bffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84662b7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84662cdffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8466311ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8466411ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8466415ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
846641dffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
8466437ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8466485ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84665a3ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84665abffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
84665bdffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0
84666ebffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8466c01ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8466c21ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8466c23ffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0
8466c27ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
