cell_id,Rauenia bonariensis,Rauenia bonariensis darwinii,Rauenia bonariensis [bonariensis Group]
8366d0fffffffff,7.0,0.0,0.0
8366d1fffffffff,25.0,2.0,0.0
8366d3fffffffff,2480.0,89.0,0.0
8366defffffffff,70.0,3.0,0.0
838b20fffffffff,474.0,0.0,41.0
838b21fffffffff,42.0,0.0,2.0
838b22fffffffff,46.0,0.0,9.0
838b24fffffffff,18.0,0.0,0.0
838b25fffffffff,121.0,0.0,6.0
838b26fffffffff,25.0,0.0,0.0
838b2cfffffffff,298.0,0.0,9.0
838b2dfffffffff,9.0,0.0,0.0
838b2efffffffff,3.0,0.0,0.0
838b60fffffffff,1.0,0.0,0.0
838b61fffffffff,1988.0,27.0,0.0
838b65fffffffff,11.0,0.0,0.0
838b66fffffffff,2.0,0.0,0.0
838b6cfffffffff,376.0,0.0,0.0
838e45fffffffff,2.0,0.0,0.0
838e60fffffffff,76.0,0.0,0.0
838e61fffffffff,27.0,0.0,0.0
838e62fffffffff,175.0,0.0,0.0
838e63fffffffff,10.0,0.0,0.0
838e64fffffffff,13.0,0.0,0.0
838e65fffffffff,13.0,0.0,0.0
838e66fffffffff,424.0,0.0,0.0
838e68fffffffff,6.0,0.0,0.0
838e69fffffffff,14.0,0.0,0.0
838e6afffffffff,6.0,0.0,0.0
838e6cfffffffff,29.0,0.0,0.0
838e6dfffffffff,295.0,0.0,0.0
838e6efffffffff,16.0,0.0,0.0
838f29fffffffff,25.0,16.0,0.0
838f2dfffffffff,102.0,3.0,0.0
838f42fffffffff,20.0,0.0,0.0
838f46fffffffff,4.0,0.0,0.0
838f50fffffffff,11.0,0.0,0.0
838f51fffffffff,335.0,0.0,0.0
838f54fffffffff,33.0,0.0,0.0
838f55fffffffff,266.0,5.0,0.0
838f56fffffffff,3.0,0.0,0.0
838f58fffffffff,121.0,0.0,0.0
838f59fffffffff,93.0,0.0,0.0
838f5bfffffffff,29.0,0.0,0.0
838f5cfffffffff,23.0,0.0,0.0
838f5dfffffffff,5.0,0.0,0.0
838f5efffffffff,9.0,0.0,0.0
838f72fffffffff,1.0,0.0,0.0
838f73fffffffff,3.0,0.0,0.0
838f74fffffffff,4.0,0.0,0.0
