cell_id,Artamus cinereus,Artamus cinereus normani/inkermani,Artamus cinereus [cinereus Group]
839431fffffffff,1.0,0.0,0.0
839451fffffffff,2.0,0.0,2.0
83945efffffffff,2.0,0.0,2.0
83948cfffffffff,2.0,0.0,2.0
8394cdfffffffff,2.0,0.0,2.0
8394edfffffffff,8.0,0.0,8.0
8394eefffffffff,2.0,0.0,2.0
839c4cfffffffff,2.0,0.0,2.0
839c6afffffffff,1.0,0.0,1.0
839c6dfffffffff,2.0,0.0,2.0
839c74fffffffff,2.0,2.0,0.0
839d21fffffffff,1.0,0.0,0.0
839d25fffffffff,1.0,0.0,0.0
83a702fffffffff,2.0,0.0,2.0
83a712fffffffff,4.0,0.0,4.0
83a716fffffffff,2.0,0.0,2.0
83a71bfffffffff,1.0,0.0,1.0
83a726fffffffff,4.0,0.0,0.0
83a730fffffffff,1.0,0.0,1.0
83b883fffffffff,1.0,0.0,1.0
83b885fffffffff,1.0,0.0,1.0
83b8a9fffffffff,2.0,0.0,2.0
83b995fffffffff,1.0,0.0,0.0
83be0dfffffffff,1.0,0.0,0.0
83be46fffffffff,2.0,0.0,0.0
83be53fffffffff,6.0,0.0,0.0
83be54fffffffff,2.0,0.0,0.0
83be88fffffffff,1.0,0.0,0.0
83bee0fffffffff,2.0,0.0,0.0
83beeefffffffff,2.0,0.0,0.0
83bef0fffffffff,2.0,0.0,0.0
83bef2fffffffff,7.0,0.0,0.0
83c993fffffffff,5.0,0.0,5.0
83c9b3fffffffff,4.0,0.0,4.0
