cell_id,Streptocitta albicollis,Streptocitta albicollis torquata,Streptocitta albicollis albicollis
8268c7fffffffff,9.0,1.0,0.0
8268cffffffffff,284.0,79.0,0.0
8268d7fffffffff,16.0,4.0,0.0
8268dffffffffff,3.0,1.0,0.0
829507fffffffff,35.0,0.0,10.0
82950ffffffffff,4.0,0.0,0.0
829527fffffffff,1.0,0.0,0.0
