cell_id,Vireo flavoviridis,Vireo flavoviridis [flavoviridis Group],Vireo flavoviridis forreri
8444249ffffffff,50.0,0.0,0.0
8445011ffffffff,1.0,0.0,0.0
8445013ffffffff,2.0,0.0,0.0
8445019ffffffff,26.0,0.0,0.0
844501bffffffff,42.0,0.0,0.0
8445053ffffffff,8.0,0.0,0.0
8445057ffffffff,8.0,0.0,0.0
8445059ffffffff,6.0,0.0,0.0
844505bffffffff,97.0,0.0,0.0
8445081ffffffff,2.0,0.0,0.0
8445083ffffffff,111.0,0.0,0.0
8445085ffffffff,113.0,0.0,0.0
8445087ffffffff,459.0,0.0,0.0
8445089ffffffff,2.0,0.0,0.0
844508bffffffff,5.0,0.0,0.0
844508dffffffff,86.0,0.0,0.0
8445091ffffffff,6.0,0.0,0.0
8445093ffffffff,11.0,0.0,0.0
8445095ffffffff,1.0,0.0,0.0
8445097ffffffff,2.0,0.0,0.0
8445099ffffffff,4.0,0.0,0.0
844509bffffffff,36.0,0.0,0.0
84450a1ffffffff,200.0,0.0,0.0
84450a3ffffffff,147.0,0.0,0.0
84450a5ffffffff,31.0,0.0,0.0
84450a7ffffffff,45.0,0.0,0.0
84450a9ffffffff,43.0,0.0,0.0
84450abffffffff,30.0,0.0,0.0
84450adffffffff,13.0,0.0,0.0
84450b1ffffffff,20.0,0.0,0.0
84450b5ffffffff,77.0,0.0,0.0
84450b9ffffffff,10.0,0.0,0.0
84450bdffffffff,56.0,0.0,0.0
84450c1ffffffff,12.0,0.0,0.0
84450c3ffffffff,4.0,0.0,0.0
84450c5ffffffff,83.0,0.0,0.0
84450c7ffffffff,2.0,0.0,0.0
84450cdffffffff,25.0,0.0,0.0
84450d1ffffffff,16.0,0.0,0.0
84450d3ffffffff,83.0,0.0,0.0
84450d5ffffffff,66.0,0.0,0.0
84450d9ffffffff,5.0,0.0,0.0
84450dbffffffff,1.0,0.0,0.0
84450ddffffffff,14.0,0.0,0.0
84450e1ffffffff,6.0,0.0,0.0
84450e3ffffffff,275.0,0.0,0.0
84450ebffffffff,76.0,0.0,0.0
844519bffffffff,3.0,0.0,0.0
8445203ffffffff,17.0,0.0,0.0
8445209ffffffff,2.0,0.0,0.0
844520bffffffff,4.0,0.0,0.0
8445211ffffffff,7.0,0.0,0.0
8445213ffffffff,40.0,0.0,0.0
8445215ffffffff,244.0,0.0,0.0
8445217ffffffff,199.0,0.0,0.0
8445219ffffffff,2.0,0.0,0.0
844521bffffffff,4.0,0.0,0.0
844521dffffffff,14.0,0.0,0.0
8445233ffffffff,332.0,0.0,0.0
8445239ffffffff,6.0,0.0,0.0
844523bffffffff,75.0,0.0,0.0
8445243ffffffff,13.0,0.0,0.0
8445247ffffffff,40.0,0.0,0.0
8445249ffffffff,78.0,0.0,0.0
8445251ffffffff,2.0,0.0,0.0
8445253ffffffff,1.0,0.0,0.0
8445255ffffffff,30.0,0.0,0.0
8445257ffffffff,18.0,0.0,0.0
844525bffffffff,9.0,0.0,0.0
844526bffffffff,3.0,0.0,0.0
8445281ffffffff,10.0,0.0,0.0
8445283ffffffff,9.0,0.0,0.0
8445285ffffffff,19.0,0.0,0.0
8445287ffffffff,25.0,0.0,0.0
8445289ffffffff,328.0,0.0,0.0
844528bffffffff,2.0,0.0,0.0
844528dffffffff,163.0,0.0,0.0
8445291ffffffff,3.0,0.0,0.0
8445297ffffffff,21.0,0.0,0.0
84452a1ffffffff,88.0,0.0,0.0
84452a3ffffffff,20.0,0.0,0.0
84452a5ffffffff,332.0,0.0,0.0
84452a7ffffffff,45.0,0.0,0.0
84452a9ffffffff,264.0,0.0,0.0
84452abffffffff,19.0,0.0,0.0
84452adffffffff,762.0,0.0,0.0
84452b3ffffffff,6.0,0.0,0.0
84452b5ffffffff,12.0,0.0,0.0
84452b7ffffffff,1.0,0.0,0.0
84452b9ffffffff,41.0,0.0,0.0
84452bdffffffff,100.0,0.0,0.0
84452c1ffffffff,37.0,0.0,0.0
84452c3ffffffff,307.0,0.0,0.0
84452c5ffffffff,138.0,0.0,0.0
84452c7ffffffff,499.0,0.0,0.0
84452c9ffffffff,9.0,0.0,0.0
84452cdffffffff,2.0,0.0,0.0
84452d5ffffffff,18.0,0.0,0.0
