cell_id,Ramphocelus passerinii,Ramphocelus passerinii passerinii,Ramphocelus passerinii costaricensis
834521fffffffff,1.0,1.0,0.0
834526fffffffff,10.0,0.0,0.0
83452efffffffff,17.0,5.0,0.0
8366b0fffffffff,1696.0,0.0,1694.0
8366b1fffffffff,1.0,0.0,1.0
8366b4fffffffff,1874.0,10.0,1852.0
8366b5fffffffff,729.0,2.0,709.0
8366b6fffffffff,235.0,0.0,235.0
836796fffffffff,2.0,2.0,0.0
83679afffffffff,1910.0,1904.0,0.0
83679bfffffffff,7.0,4.0,0.0
836d20fffffffff,18.0,18.0,0.0
836d21fffffffff,7.0,3.0,0.0
836d2cfffffffff,4.0,0.0,0.0
836d31fffffffff,6.0,4.0,0.0
836d61fffffffff,2.0,2.0,0.0
836d68fffffffff,21.0,10.0,2.0
836d69fffffffff,1248.0,995.0,22.0
836d6dfffffffff,5.0,5.0,0.0
