cell_id,Myrmornis torquata,Myrmornis torquata stictoptera,Myrmornis torquata torquata
825f07fffffffff,21.0,0.0,0.0
825f17fffffffff,10.0,0.0,0.0
825f2ffffffffff,16.0,0.0,0.0
825f47fffffffff,9.0,0.0,0.0
825f77fffffffff,14.0,0.0,0.0
826617fffffffff,187.0,14.0,0.0
8266a7fffffffff,2.0,1.0,0.0
828067fffffffff,5.0,0.0,0.0
82806ffffffffff,1.0,0.0,0.0
828077fffffffff,5.0,0.0,0.0
82814ffffffffff,69.0,0.0,3.0
828a17fffffffff,1.0,0.0,0.0
828a1ffffffffff,2.0,0.0,0.0
828a87fffffffff,10.0,0.0,0.0
828a9ffffffffff,7.0,0.0,0.0
828af7fffffffff,41.0,0.0,2.0
828b9ffffffffff,5.0,0.0,0.0
