cell_id,Cisticola subruficapilla,Cisticola subruficapilla newtoni,Cisticola subruficapilla [subruficapilla Group],Cisticola subruficapilla jamesi
848320dffffffff,3.0,0.0,0.0,0.0
84ac8e7ffffffff,1.0,0.0,0.0,0.0
84ac96dffffffff,2.0,0.0,0.0,0.0
84aca19ffffffff,3.0,0.0,0.0,0.0
84aca4bffffffff,3.0,0.0,0.0,0.0
84aca5dffffffff,2.0,0.0,0.0,0.0
84aca61ffffffff,5.0,0.0,0.0,0.0
84aca6bffffffff,11.0,0.0,0.0,0.0
84ad121ffffffff,2.0,0.0,0.0,0.0
84ad125ffffffff,2.0,0.0,0.0,0.0
84ad127ffffffff,7.0,0.0,0.0,0.0
84ad12bffffffff,2.0,0.0,0.0,0.0
84ad12dffffffff,5.0,0.0,0.0,0.0
84ad321ffffffff,125.0,0.0,16.0,0.0
84ad325ffffffff,8.0,0.0,1.0,0.0
84ad329ffffffff,509.0,0.0,167.0,0.0
84ad32dffffffff,4.0,0.0,0.0,0.0
84ad361ffffffff,38.0,0.0,1.0,0.0
84ad365ffffffff,41.0,0.0,11.0,0.0
84ad367ffffffff,150.0,0.0,50.0,0.0
84ad369ffffffff,314.0,0.0,83.0,0.0
84ad36dffffffff,69.0,0.0,14.0,0.0
84ad85bffffffff,2.0,0.0,0.0,0.0
84ad895ffffffff,2.0,0.0,0.0,0.0
84ad8b7ffffffff,3.0,0.0,0.0,0.0
84ad8bdffffffff,1.0,0.0,0.0,0.0
84ada01ffffffff,1.0,0.0,0.0,0.0
84ada03ffffffff,11.0,0.0,0.0,0.0
84ada07ffffffff,2.0,0.0,0.0,0.0
84ada1bffffffff,15.0,0.0,0.0,0.0
84ada1dffffffff,4.0,0.0,0.0,0.0
84ada39ffffffff,4.0,0.0,0.0,0.0
84ada4dffffffff,11.0,0.0,0.0,0.0
84ada53ffffffff,2.0,0.0,0.0,0.0
84ada5dffffffff,1.0,0.0,0.0,0.0
84ada65ffffffff,2.0,0.0,0.0,0.0
84adaadffffffff,3.0,0.0,1.0,0.0
84adacbffffffff,16.0,0.0,0.0,0.0
84adad5ffffffff,2.0,0.0,0.0,0.0
84adae7ffffffff,1.0,0.0,0.0,0.0
84adb45ffffffff,1.0,0.0,0.0,0.0
84adb53ffffffff,1.0,0.0,0.0,0.0
84bc401ffffffff,1.0,0.0,0.0,0.0
84bc403ffffffff,2.0,0.0,0.0,0.0
84bc40dffffffff,38.0,0.0,0.0,0.0
84bc411ffffffff,8.0,0.0,0.0,0.0
84bc41bffffffff,1.0,0.0,0.0,0.0
84bc41dffffffff,8.0,0.0,0.0,0.0
84bc431ffffffff,40.0,0.0,15.0,0.0
84bc433ffffffff,1.0,0.0,0.0,0.0
84bc437ffffffff,3.0,0.0,2.0,0.0
84bc453ffffffff,5.0,0.0,0.0,0.0
84bc455ffffffff,5.0,0.0,1.0,0.0
84bc45bffffffff,3.0,0.0,0.0,0.0
84bc469ffffffff,2.0,0.0,0.0,0.0
84bc481ffffffff,26.0,0.0,2.0,0.0
84bc487ffffffff,1.0,0.0,0.0,0.0
84bc48bffffffff,2.0,0.0,0.0,0.0
84bc48dffffffff,3.0,0.0,0.0,0.0
84bc491ffffffff,5.0,0.0,2.0,0.0
84bc493ffffffff,1.0,0.0,0.0,0.0
84bc497ffffffff,4.0,0.0,0.0,0.0
84bc499ffffffff,1.0,0.0,1.0,0.0
84bc49bffffffff,26.0,0.0,2.0,0.0
84bc49dffffffff,8.0,0.0,0.0,0.0
84bc4a3ffffffff,3.0,0.0,0.0,0.0
84bc4b7ffffffff,2.0,0.0,0.0,0.0
84bc4bbffffffff,13.0,0.0,0.0,0.0
84bc4bdffffffff,23.0,0.0,0.0,0.0
84bc4c7ffffffff,1.0,0.0,0.0,0.0
84bc4c9ffffffff,1.0,0.0,0.0,0.0
84bc4d1ffffffff,1.0,0.0,0.0,0.0
84bc4d3ffffffff,1.0,0.0,0.0,0.0
84bc4d5ffffffff,74.0,0.0,13.0,0.0
84bc4d7ffffffff,2.0,0.0,1.0,0.0
84bc4d9ffffffff,28.0,0.0,2.0,0.0
84bc4dbffffffff,1.0,0.0,0.0,0.0
84bc4ddffffffff,87.0,0.0,12.0,0.0
84bc4e1ffffffff,2.0,0.0,2.0,0.0
84bc4e3ffffffff,2.0,0.0,0.0,0.0
84bc4e9ffffffff,3.0,0.0,3.0,0.0
84bc4ebffffffff,6.0,0.0,0.0,0.0
84bc501ffffffff,2.0,0.0,0.0,0.0
84bc50bffffffff,2.0,0.0,0.0,0.0
84bc519ffffffff,2.0,0.0,0.0,0.0
84bc51bffffffff,2.0,0.0,0.0,0.0
84bc549ffffffff,1.0,0.0,0.0,0.0
84bc559ffffffff,4.0,0.0,0.0,0.0
84bc5c1ffffffff,1.0,0.0,0.0,0.0
84bc5c9ffffffff,2.0,0.0,0.0,0.0
84bc5d7ffffffff,2.0,0.0,0.0,0.0
84bc5edffffffff,8.0,0.0,0.0,0.0
84bc683ffffffff,16.0,0.0,7.0,0.0
84bc687ffffffff,116.0,0.0,50.0,0.0
84bc695ffffffff,21.0,0.0,1.0,0.0
84bc697ffffffff,472.0,0.0,116.0,0.0
84bc6a1ffffffff,2.0,0.0,0.0,0.0
84bc6a3ffffffff,84.0,0.0,19.0,0.0
84bc6a7ffffffff,3.0,0.0,0.0,0.0
84bc6abffffffff,55.0,0.0,12.0,0.0
