cell_id,Euplectes capensis,Euplectes capensis phoenicomerus,Euplectes capensis xanthomelas,Euplectes capensis [capensis Group]
825287fffffffff,3.0,0.0,2.0,0.0
825297fffffffff,2.0,0.0,0.0,0.0
82529ffffffffff,113.0,0.0,32.0,0.0
8258dffffffffff,2.0,0.0,0.0,0.0
826a4ffffffffff,1.0,0.0,0.0,0.0
826a5ffffffffff,3.0,0.0,0.0,0.0
826ac7fffffffff,30.0,0.0,0.0,2.0
826acffffffffff,6.0,0.0,0.0,0.0
826adffffffffff,314.0,0.0,0.0,18.0
826aeffffffffff,4.0,0.0,0.0,0.0
827a47fffffffff,185.0,0.0,0.0,0.0
827a4ffffffffff,62.0,0.0,0.0,0.0
827a67fffffffff,247.0,0.0,0.0,0.0
827a6ffffffffff,727.0,0.0,0.0,0.0
827ac7fffffffff,4.0,0.0,2.0,0.0
827acffffffffff,104.0,0.0,36.0,0.0
827adffffffffff,7.0,0.0,0.0,0.0
827b4ffffffffff,26.0,0.0,0.0,0.0
827b6ffffffffff,7.0,0.0,0.0,0.0
8282d7fffffffff,43.0,16.0,0.0,0.0
828317fffffffff,2.0,0.0,0.0,1.0
828337fffffffff,39.0,0.0,0.0,13.0
8283a7fffffffff,2.0,0.0,0.0,0.0
829607fffffffff,24.0,0.0,0.0,4.0
82960ffffffffff,59.0,0.0,0.0,1.0
829617fffffffff,1.0,0.0,0.0,0.0
829627fffffffff,83.0,0.0,0.0,11.0
82962ffffffffff,28.0,0.0,0.0,1.0
829637fffffffff,4.0,0.0,0.0,0.0
829697fffffffff,511.0,0.0,0.0,24.0
82969ffffffffff,4.0,0.0,0.0,0.0
8296a7fffffffff,13.0,0.0,0.0,0.0
8296affffffffff,6.0,0.0,0.0,4.0
8296b7fffffffff,97.0,0.0,0.0,16.0
8296e7fffffffff,2.0,0.0,0.0,0.0
829707fffffffff,75.0,0.0,0.0,0.0
82970ffffffffff,27.0,0.0,0.0,0.0
829717fffffffff,97.0,0.0,0.0,0.0
82971ffffffffff,132.0,0.0,0.0,11.0
82972ffffffffff,165.0,0.0,0.0,22.0
829737fffffffff,5.0,0.0,0.0,0.0
829757fffffffff,34.0,0.0,0.0,5.0
829777fffffffff,7.0,0.0,0.0,0.0
829787fffffffff,2.0,0.0,0.0,0.0
82978ffffffffff,18.0,0.0,0.0,1.0
82979ffffffffff,12.0,0.0,0.0,0.0
8297affffffffff,26.0,0.0,0.0,8.0
82ad37fffffffff,1156.0,0.0,0.0,322.0
82bc0ffffffffff,4.0,0.0,0.0,0.0
82bc1ffffffffff,5.0,0.0,0.0,0.0
82bc47fffffffff,231.0,0.0,0.0,7.0
82bc4ffffffffff,140.0,0.0,0.0,22.0
82bc57fffffffff,4.0,0.0,0.0,0.0
82bc6ffffffffff,1022.0,0.0,0.0,213.0
82bc77fffffffff,28.0,0.0,0.0,0.0
82bc8ffffffffff,1.0,0.0,0.0,0.0
82bcc7fffffffff,26.0,0.0,0.0,6.0
82bcd7fffffffff,197.0,0.0,0.0,51.0
82bcdffffffffff,6.0,0.0,0.0,3.0
82bce7fffffffff,329.0,0.0,0.0,66.0
82bceffffffffff,3.0,0.0,0.0,0.0
82bcf7fffffffff,74.0,0.0,0.0,22.0
