cell_id,Coua cristata,Coua cristata cristata/dumonti,Coua cristata pyropyga/maxima
83a204fffffffff,1.0,0.0,0.0
83a222fffffffff,1.0,0.0,0.0
83a223fffffffff,12.0,3.0,0.0
83a231fffffffff,1.0,0.0,0.0
83a2a3fffffffff,202.0,4.0,15.0
83a2a4fffffffff,95.0,0.0,14.0
83a2a6fffffffff,3.0,0.0,2.0
83a2aefffffffff,15.0,0.0,0.0
83a308fffffffff,1.0,0.0,0.0
83a309fffffffff,4.0,0.0,0.0
83a30afffffffff,1.0,1.0,0.0
83a30cfffffffff,3.0,0.0,0.0
83a30efffffffff,13.0,1.0,0.0
83a318fffffffff,5.0,1.0,0.0
83a319fffffffff,305.0,37.0,0.0
83a31dfffffffff,4.0,0.0,0.0
83a356fffffffff,17.0,0.0,0.0
83a376fffffffff,17.0,1.0,0.0
83a388fffffffff,2.0,0.0,0.0
83a389fffffffff,1.0,0.0,0.0
83a38bfffffffff,2.0,0.0,0.0
83a38cfffffffff,4.0,0.0,0.0
83a38dfffffffff,40.0,2.0,0.0
83a38efffffffff,3.0,0.0,0.0
83a399fffffffff,338.0,2.0,41.0
83a39dfffffffff,7.0,0.0,0.0
83a3a9fffffffff,2.0,0.0,0.0
83a3abfffffffff,7.0,0.0,0.0
83a3adfffffffff,7.0,0.0,0.0
