cell_id,Ploceus cucullatus,Ploceus cucullatus collaris,Ploceus cucullatus [cucullatus Group],Ploceus cucullatus nigriceps/graueri,Ploceus cucullatus spilonotus
834ba0fffffffff,44.0,0.0,0.0,0.0,0.0
834c88fffffffff,191.0,0.0,0.0,0.0,0.0
834c89fffffffff,53.0,0.0,1.0,0.0,0.0
834c8afffffffff,16.0,0.0,0.0,0.0,0.0
834cc6fffffffff,148.0,0.0,3.0,0.0,0.0
834cd0fffffffff,114.0,0.0,1.0,0.0,0.0
834cd2fffffffff,5.0,0.0,0.0,0.0,0.0
834cd4fffffffff,220.0,0.0,1.0,0.0,0.0
834cd5fffffffff,46.0,0.0,2.0,0.0,0.0
834cd6fffffffff,68.0,0.0,0.0,0.0,0.0
834cf2fffffffff,37.0,0.0,0.0,0.0,0.0
834cf3fffffffff,174.0,0.0,1.0,0.0,0.0
835282fffffffff,6.0,0.0,0.0,0.0,0.0
835283fffffffff,15.0,0.0,0.0,0.0,0.0
835285fffffffff,2.0,0.0,0.0,0.0,0.0
835286fffffffff,2.0,0.0,0.0,0.0,0.0
835291fffffffff,19.0,0.0,0.0,0.0,0.0
835293fffffffff,6.0,0.0,3.0,0.0,0.0
835298fffffffff,35.0,0.0,0.0,0.0,0.0
835299fffffffff,6.0,0.0,0.0,0.0,0.0
83529afffffffff,2.0,0.0,0.0,0.0,0.0
83529bfffffffff,88.0,0.0,8.0,0.0,0.0
83529efffffffff,3.0,0.0,0.0,0.0,0.0
8352b1fffffffff,1.0,0.0,0.0,0.0,0.0
8352d3fffffffff,4.0,0.0,0.0,0.0,0.0
835402fffffffff,13.0,0.0,3.0,0.0,0.0
835408fffffffff,8.0,0.0,0.0,0.0,0.0
835410fffffffff,49.0,0.0,14.0,0.0,0.0
835411fffffffff,34.0,0.0,9.0,0.0,0.0
835413fffffffff,22.0,0.0,4.0,0.0,0.0
835415fffffffff,5.0,0.0,3.0,0.0,0.0
835418fffffffff,15.0,0.0,7.0,0.0,0.0
835419fffffffff,9.0,0.0,6.0,0.0,0.0
83541afffffffff,393.0,0.0,118.0,0.0,0.0
83541bfffffffff,226.0,0.0,57.0,0.0,0.0
83541efffffffff,13.0,0.0,8.0,0.0,0.0
835440fffffffff,32.0,0.0,2.0,0.0,0.0
835444fffffffff,11.0,0.0,0.0,0.0,0.0
835449fffffffff,2.0,0.0,0.0,0.0,0.0
8354a9fffffffff,914.0,0.0,117.0,0.0,0.0
8354acfffffffff,32.0,0.0,7.0,0.0,0.0
8354adfffffffff,134.0,0.0,21.0,0.0,0.0
8354c4fffffffff,16.0,0.0,0.0,0.0,0.0
8354c5fffffffff,19.0,0.0,0.0,0.0,0.0
8354ccfffffffff,9.0,0.0,0.0,0.0,0.0
8354e0fffffffff,2.0,0.0,0.0,0.0,0.0
8354e1fffffffff,8.0,0.0,0.0,0.0,0.0
8354e2fffffffff,35.0,0.0,0.0,0.0,0.0
8354e3fffffffff,4.0,0.0,0.0,0.0,0.0
8354e4fffffffff,63.0,0.0,14.0,0.0,0.0
8354e5fffffffff,94.0,0.0,27.0,0.0,0.0
8354e6fffffffff,4.0,0.0,0.0,0.0,0.0
8354e8fffffffff,1.0,0.0,0.0,0.0,0.0
8354eafffffffff,18.0,0.0,0.0,0.0,0.0
8354ecfffffffff,6.0,0.0,0.0,0.0,0.0
8354eefffffffff,10.0,0.0,0.0,0.0,0.0
8354f0fffffffff,5.0,0.0,0.0,0.0,0.0
8354f1fffffffff,46.0,0.0,0.0,0.0,0.0
8354f3fffffffff,15.0,0.0,0.0,0.0,0.0
8354f4fffffffff,170.0,0.0,44.0,0.0,0.0
8354f5fffffffff,67.0,0.0,0.0,0.0,0.0
8354f6fffffffff,17.0,0.0,4.0,0.0,0.0
83580bfffffffff,2.0,0.0,0.0,0.0,0.0
835851fffffffff,4.0,0.0,0.0,0.0,0.0
835858fffffffff,2.0,0.0,0.0,0.0,0.0
83585dfffffffff,2.0,0.0,0.0,0.0,0.0
835883fffffffff,6.0,0.0,4.0,0.0,0.0
835886fffffffff,2.0,0.0,0.0,0.0,0.0
83588bfffffffff,2.0,0.0,0.0,0.0,0.0
83588dfffffffff,2.0,0.0,0.0,0.0,0.0
835890fffffffff,75.0,0.0,13.0,0.0,0.0
835891fffffffff,6.0,0.0,0.0,0.0,0.0
835894fffffffff,12.0,0.0,2.0,0.0,0.0
835895fffffffff,2.0,0.0,0.0,0.0,0.0
835896fffffffff,49.0,0.0,9.0,0.0,0.0
83589cfffffffff,4.0,0.0,2.0,0.0,0.0
8358a4fffffffff,2.0,0.0,2.0,0.0,0.0
8358a6fffffffff,6.0,0.0,0.0,0.0,0.0
8358b3fffffffff,4.0,0.0,3.0,0.0,0.0
8358b5fffffffff,1.0,0.0,0.0,0.0,0.0
8358c3fffffffff,3.0,0.0,0.0,0.0,0.0
8358c4fffffffff,6.0,0.0,0.0,0.0,0.0
8358c6fffffffff,2.0,0.0,0.0,0.0,0.0
8358c8fffffffff,1.0,0.0,0.0,0.0,0.0
8358cdfffffffff,2.0,0.0,0.0,0.0,0.0
8358d2fffffffff,5.0,0.0,0.0,0.0,0.0
8358d3fffffffff,19.0,0.0,11.0,0.0,0.0
8358dbfffffffff,4.0,0.0,0.0,0.0,0.0
8358dcfffffffff,3.0,0.0,0.0,0.0,0.0
8358defffffffff,20.0,0.0,2.0,0.0,0.0
8358e2fffffffff,70.0,0.0,0.0,0.0,0.0
8358e4fffffffff,11.0,0.0,0.0,0.0,0.0
8358e6fffffffff,38.0,0.0,0.0,0.0,0.0
8358eafffffffff,2.0,0.0,0.0,0.0,0.0
8358f4fffffffff,2.0,0.0,0.0,0.0,0.0
8358f5fffffffff,60.0,0.0,0.0,0.0,0.0
835982fffffffff,1.0,0.0,0.0,0.0,0.0
83598bfffffffff,1.0,0.0,0.0,0.0,0.0
83598dfffffffff,2.0,0.0,0.0,0.0,0.0
835991fffffffff,9.0,0.0,0.0,0.0,0.0
835993fffffffff,2.0,0.0,0.0,0.0,0.0
835998fffffffff,12.0,0.0,1.0,0.0,0.0
83599afffffffff,13.0,0.0,3.0,0.0,0.0
83599efffffffff,19.0,0.0,4.0,0.0,0.0
835e40fffffffff,2.0,0.0,0.0,0.0,0.0
835e42fffffffff,14.0,0.0,0.0,0.0,0.0
835e46fffffffff,13.0,0.0,0.0,0.0,0.0
835f58fffffffff,2.0,0.0,0.0,0.0,0.0
83662cfffffffff,19.0,0.0,0.0,0.0,0.0
836720fffffffff,9.0,0.0,0.0,0.0,0.0
836722fffffffff,1.0,0.0,0.0,0.0,0.0
836724fffffffff,18.0,0.0,0.0,0.0,0.0
836725fffffffff,240.0,0.0,1.0,0.0,0.0
836726fffffffff,96.0,0.0,0.0,0.0,0.0
836741fffffffff,7.0,0.0,0.0,0.0,0.0
836742fffffffff,6.0,0.0,0.0,0.0,0.0
836743fffffffff,101.0,0.0,0.0,0.0,0.0
83674cfffffffff,3.0,0.0,0.0,0.0,0.0
83674efffffffff,158.0,0.0,0.0,0.0,0.0
836755fffffffff,11.0,0.0,0.0,0.0,0.0
83675cfffffffff,43.0,0.0,0.0,0.0,0.0
836a45fffffffff,13.0,0.0,0.0,0.0,0.0
836a49fffffffff,10.0,0.0,0.0,0.0,0.0
836a4bfffffffff,2.0,0.0,0.0,0.0,0.0
836a50fffffffff,2.0,0.0,2.0,0.0,0.0
836a58fffffffff,4.0,0.0,0.0,0.0,0.0
836a5afffffffff,68.0,0.0,8.0,0.0,0.0
836a61fffffffff,7.0,0.0,0.0,0.0,0.0
836a69fffffffff,31.0,0.0,0.0,0.0,0.0
836a6bfffffffff,2.0,0.0,0.0,2.0,0.0
836a9efffffffff,7.0,0.0,0.0,0.0,0.0
836ab2fffffffff,1.0,0.0,0.0,0.0,0.0
836ac0fffffffff,175.0,0.0,19.0,0.0,0.0
836ac1fffffffff,399.0,0.0,82.0,0.0,0.0
836ac2fffffffff,7.0,0.0,0.0,0.0,0.0
836ac3fffffffff,517.0,0.0,83.0,0.0,0.0
836ac5fffffffff,2.0,0.0,2.0,0.0,0.0
836ac8fffffffff,793.0,0.0,149.0,0.0,0.0
836ac9fffffffff,77.0,0.0,7.0,0.0,0.0
836acafffffffff,2.0,0.0,0.0,0.0,0.0
836accfffffffff,83.0,0.0,29.0,0.0,0.0
836acdfffffffff,67.0,0.0,9.0,0.0,0.0
836acefffffffff,333.0,0.0,46.0,0.0,0.0
836ad8fffffffff,228.0,0.0,39.0,5.0,0.0
836ad9fffffffff,6.0,0.0,1.0,0.0,0.0
836adafffffffff,3.0,0.0,1.0,0.0,0.0
836adcfffffffff,363.0,0.0,43.0,0.0,0.0
836addfffffffff,76.0,0.0,9.0,0.0,0.0
836adefffffffff,16.0,0.0,5.0,0.0,0.0
836ae8fffffffff,104.0,0.0,26.0,0.0,0.0
836aeafffffffff,309.0,0.0,53.0,0.0,0.0
836aebfffffffff,83.0,0.0,10.0,0.0,0.0
836aecfffffffff,1.0,0.0,0.0,0.0,0.0
836aeefffffffff,73.0,0.0,16.0,0.0,0.0
836af5fffffffff,1.0,0.0,0.0,0.0,0.0
836b6efffffffff,10.0,0.0,2.0,0.0,0.0
837505fffffffff,2.0,0.0,0.0,0.0,0.0
837508fffffffff,81.0,0.0,40.0,0.0,0.0
837509fffffffff,29.0,0.0,11.0,0.0,0.0
83750afffffffff,2.0,0.0,0.0,0.0,0.0
83750cfffffffff,2.0,0.0,0.0,0.0,0.0
83750dfffffffff,737.0,0.0,268.0,0.0,0.0
837518fffffffff,1.0,0.0,1.0,0.0,0.0
837519fffffffff,3.0,0.0,0.0,0.0,0.0
83751dfffffffff,2.0,0.0,0.0,0.0,0.0
837520fffffffff,93.0,0.0,36.0,0.0,0.0
837521fffffffff,5.0,0.0,0.0,0.0,0.0
837522fffffffff,1.0,0.0,0.0,0.0,0.0
837525fffffffff,3.0,0.0,3.0,0.0,0.0
837528fffffffff,1.0,0.0,0.0,0.0,0.0
