cell_id,Terpsiphone rufiventer,Terpsiphone rufiventer [rufiventer Group],Terpsiphone rufiventer tricolor/neumanni,Terpsiphone rufiventer smithii
8454c4bffffffff,2.0,0.0,0.0,0.0
8454c51ffffffff,3.0,3.0,0.0,0.0
8454e35ffffffff,3.0,0.0,0.0,0.0
8454e51ffffffff,1.0,0.0,0.0,0.0
8454ea1ffffffff,2.0,0.0,0.0,0.0
8454ea9ffffffff,2.0,0.0,0.0,0.0
8454eadffffffff,2.0,0.0,0.0,0.0
8454ec5ffffffff,2.0,0.0,0.0,0.0
8454ee3ffffffff,2.0,0.0,0.0,0.0
846aee3ffffffff,1.0,0.0,0.0,0.0
8475a67ffffffff,1.0,0.0,0.0,0.0
847a4ddffffffff,3.0,3.0,0.0,0.0
