cell_id,Oenanthe oenanthe,Oenanthe oenanthe leucorhoa,Oenanthe oenanthe oenanthe/libanotica
830120fffffffff,2.0,0.0,0.0
830122fffffffff,2.0,0.0,0.0
830124fffffffff,3.0,0.0,0.0
830125fffffffff,2.0,0.0,2.0
830126fffffffff,34.0,0.0,7.0
830130fffffffff,224.0,0.0,8.0
830131fffffffff,71.0,0.0,0.0
830135fffffffff,402.0,0.0,21.0
830259fffffffff,2.0,0.0,0.0
83025cfffffffff,5.0,0.0,0.0
83041afffffffff,2.0,0.0,0.0
8304cdfffffffff,2.0,0.0,0.0
8304ebfffffffff,1.0,0.0,0.0
830588fffffffff,3.0,0.0,0.0
83058cfffffffff,9.0,0.0,0.0
830604fffffffff,2.0,0.0,0.0
830622fffffffff,1.0,0.0,0.0
830626fffffffff,4.0,2.0,0.0
83062cfffffffff,1.0,0.0,0.0
830631fffffffff,2.0,0.0,0.0
830635fffffffff,2.0,0.0,0.0
830636fffffffff,3.0,0.0,0.0
830656fffffffff,10.0,0.0,0.0
830688fffffffff,3.0,1.0,0.0
830689fffffffff,16.0,7.0,0.0
83068dfffffffff,4.0,0.0,0.0
8306c9fffffffff,2.0,0.0,0.0
8306d1fffffffff,39.0,14.0,0.0
8306d5fffffffff,42.0,27.0,0.0
8306d6fffffffff,1.0,0.0,0.0
8306dcfffffffff,1.0,0.0,0.0
8306ddfffffffff,3.0,1.0,0.0
8306e6fffffffff,1.0,0.0,0.0
8306f2fffffffff,3.0,3.0,0.0
830740fffffffff,3.0,0.0,0.0
830741fffffffff,37.0,11.0,0.0
830742fffffffff,23.0,10.0,0.0
830743fffffffff,164.0,22.0,0.0
830744fffffffff,16.0,7.0,0.0
830745fffffffff,43.0,11.0,0.0
830746fffffffff,108.0,31.0,0.0
83074efffffffff,140.0,79.0,0.0
830751fffffffff,28.0,2.0,0.0
830753fffffffff,30.0,0.0,0.0
830755fffffffff,31.0,18.0,0.0
830758fffffffff,213.0,37.0,0.0
83075cfffffffff,83.0,8.0,0.0
83075dfffffffff,388.0,82.0,0.0
83075efffffffff,195.0,42.0,0.0
830762fffffffff,54.0,33.0,0.0
830763fffffffff,60.0,21.0,0.0
830770fffffffff,42.0,35.0,0.0
830771fffffffff,21.0,11.0,0.0
830773fffffffff,235.0,139.0,0.0
830775fffffffff,12.0,7.0,0.0
8307a9fffffffff,2.0,0.0,0.0
830802fffffffff,4.0,0.0,0.0
830805fffffffff,2.0,0.0,0.0
830806fffffffff,11.0,0.0,0.0
830810fffffffff,26.0,0.0,0.0
830812fffffffff,46.0,0.0,1.0
830814fffffffff,37.0,0.0,0.0
830815fffffffff,12.0,0.0,0.0
830816fffffffff,3.0,0.0,1.0
830818fffffffff,2.0,0.0,0.0
830819fffffffff,16.0,0.0,0.0
83081dfffffffff,7.0,0.0,0.0
830828fffffffff,2.0,0.0,0.0
83082dfffffffff,2.0,0.0,0.0
830830fffffffff,2.0,0.0,0.0
830831fffffffff,1.0,0.0,0.0
830832fffffffff,1.0,0.0,0.0
830833fffffffff,14.0,0.0,0.0
830836fffffffff,57.0,0.0,2.0
830880fffffffff,21.0,0.0,2.0
830882fffffffff,7.0,0.0,2.0
830883fffffffff,24.0,0.0,0.0
830884fffffffff,3.0,0.0,0.0
830885fffffffff,4.0,0.0,0.0
830886fffffffff,149.0,0.0,27.0
830888fffffffff,35.0,0.0,3.0
83088afffffffff,1.0,0.0,0.0
83088efffffffff,19.0,0.0,9.0
830890fffffffff,36.0,0.0,0.0
830893fffffffff,49.0,0.0,0.0
830895fffffffff,34.0,0.0,11.0
830896fffffffff,56.0,0.0,0.0
830898fffffffff,61.0,0.0,1.0
830899fffffffff,93.0,0.0,16.0
83089afffffffff,232.0,0.0,2.0
83089bfffffffff,58.0,0.0,1.0
83089cfffffffff,8.0,0.0,0.0
83089dfffffffff,14.0,0.0,0.0
83089efffffffff,53.0,0.0,1.0
8308a0fffffffff,2.0,0.0,0.0
8308a3fffffffff,7.0,0.0,0.0
8308a4fffffffff,4.0,0.0,0.0
8308a5fffffffff,13.0,0.0,0.0
8308a6fffffffff,4.0,0.0,0.0
8308b0fffffffff,2.0,0.0,0.0
8308b1fffffffff,34.0,0.0,0.0
8308b3fffffffff,10.0,0.0,0.0
8308b4fffffffff,6.0,0.0,0.0
8308b5fffffffff,4.0,0.0,0.0
8308b6fffffffff,11.0,0.0,0.0
8308c1fffffffff,2.0,0.0,0.0
8308c2fffffffff,9.0,0.0,2.0
8308c6fffffffff,6.0,0.0,0.0
8308c8fffffffff,62.0,0.0,1.0
8308c9fffffffff,2.0,0.0,0.0
8308cdfffffffff,14.0,0.0,0.0
8308cefffffffff,11.0,0.0,0.0
8308d0fffffffff,2.0,0.0,0.0
8308d1fffffffff,44.0,0.0,1.0
8308d4fffffffff,17.0,0.0,0.0
8308d5fffffffff,27.0,0.0,0.0
8308d8fffffffff,29.0,0.0,0.0
8308dbfffffffff,2.0,0.0,0.0
8308ddfffffffff,3.0,0.0,0.0
8308defffffffff,2.0,0.0,0.0
8308e1fffffffff,1.0,0.0,0.0
8308e3fffffffff,1.0,0.0,0.0
8308e4fffffffff,15.0,0.0,0.0
8308e5fffffffff,1.0,0.0,0.0
8308e6fffffffff,2.0,0.0,0.0
8308e8fffffffff,8.0,0.0,0.0
8308e9fffffffff,1.0,0.0,1.0
8308eafffffffff,15.0,0.0,4.0
8308ebfffffffff,1.0,0.0,0.0
8308ecfffffffff,22.0,0.0,0.0
8308edfffffffff,9.0,0.0,1.0
