cell_id,Dryobates pubescens,Dryobates pubescens pubescens/medianus,Dryobates pubescens leucurus/glacialis,Dryobates pubescens gairdnerii/turati
830c14fffffffff,2.0,0.0,0.0,0.0
830c1bfffffffff,2.0,0.0,0.0,0.0
830c23fffffffff,2.0,0.0,0.0,0.0
830c29fffffffff,1.0,0.0,0.0,0.0
830c41fffffffff,63.0,0.0,0.0,0.0
830c42fffffffff,675.0,0.0,0.0,0.0
830c44fffffffff,16.0,0.0,0.0,0.0
830c45fffffffff,15.0,0.0,0.0,0.0
830c46fffffffff,44.0,0.0,0.0,0.0
830c50fffffffff,20.0,0.0,0.0,0.0
830c51fffffffff,126.0,0.0,0.0,0.0
830c54fffffffff,7.0,0.0,0.0,0.0
830c55fffffffff,129.0,0.0,0.0,0.0
830c5afffffffff,235.0,0.0,0.0,0.0
830c60fffffffff,1.0,0.0,0.0,0.0
830c62fffffffff,22.0,0.0,0.0,0.0
830c63fffffffff,4.0,0.0,0.0,0.0
830c65fffffffff,1.0,0.0,0.0,0.0
830c68fffffffff,2.0,0.0,0.0,0.0
830c6afffffffff,4.0,0.0,0.0,0.0
830c70fffffffff,85.0,0.0,0.0,0.0
830c71fffffffff,39.0,0.0,0.0,0.0
830c73fffffffff,2806.0,6.0,0.0,0.0
830c74fffffffff,36.0,4.0,0.0,0.0
830ce9fffffffff,2.0,0.0,0.0,0.0
830cecfffffffff,6.0,0.0,0.0,0.0
830cedfffffffff,1.0,0.0,0.0,0.0
830d48fffffffff,2.0,0.0,0.0,0.0
830d58fffffffff,11.0,0.0,0.0,0.0
830d59fffffffff,2.0,0.0,0.0,0.0
830d5afffffffff,288.0,17.0,0.0,0.0
830d5efffffffff,6.0,0.0,0.0,0.0
830e49fffffffff,608.0,0.0,0.0,0.0
830e4bfffffffff,85.0,0.0,0.0,0.0
830e4dfffffffff,843.0,0.0,0.0,0.0
830e5bfffffffff,38.0,0.0,0.0,0.0
830e69fffffffff,7.0,0.0,0.0,0.0
830e9afffffffff,2.0,0.0,0.0,0.0
830ec8fffffffff,2.0,0.0,0.0,0.0
830ec9fffffffff,78.0,5.0,0.0,0.0
830ecafffffffff,11.0,0.0,0.0,0.0
